Geneid	Chr	Start	End	Strand	Length	SRR11247594	SRR11247595	SRR11247596	SRR11247597	SRR11247598	SRR9592126	SRR9592127	SRR9592128	SRR9592129	SRR9592130	SRR9592131	SRR9592132	SRR9592133	SRR9592134	SRR9592135	SRR9592136	SRR9592137	SRR9592138	SRR9592139	SRR9592140	SRR9592141	SRR9592142	SRR9592143	SRR9592144	SRR9592145	SRR9592146	SRR9592147	SRR9592148	SRR9592149	SRR9592150	SRR9592151	SRR9592152	SRR9592153	SRR9592154	SRR9592155	SRR9592156	SRR9592157	SRR9592158	SRR9592159	SRR9592160	SRR9592161	SRR9592162	SRR9592163	SRR9592164	SRR9592165	SRR9974581	SRR9974582	SRR9974583	SRR9974584	SRR9974585	SRR9974586	SRR9974587	SRR9974588	SRR9974589	SRR9974590
gene:PF3D7_1224400	12	994255	996438	+	2184	2518	1780	2362	5050	3176	5422	2645	2195	2521	509	374	5186	5595	4584	3200	915	789	3488	5640	4064	3490	853	750	5353	2892	1480	3829	4677	1230	4243	4867	1348	1069	1805	2056	2311	1521	1123	1530	3733	1926	3208	816	5319	6094	4623	3969	510	2613	3574	854	3	3315	1057	532
gene:PF3D7_1224500	12	998353	999275	+	923	376	249	235	535	295	512	408	890	619	7299	4702	219	250	961	623	5706	5085	567	403	648	1191	7226	6791	821	373	7564	695	1009	4846	846	1193	5810	440	763	632	675	15928	11634	262	601	1172	1990	7072	342	917	723	533	3031	467	799	3597	1	772	4402	4830
gene:PF3D7_1224600	12	1000679	1001945	-	1267	293	213	290	587	113	804	250	861	1468	320	225	221	210	2097	1517	262	227	444	770	1658	1856	258	308	439	838	530	513	2050	491	498	2294	526	156	208	1288	1306	852	568	233	550	1037	1657	312	392	349	363	1260	255	310	1647	408	2	1488	480	209
gene:PF3D7_1224700	12	1003201	1007586	-	4386	4303	3000	2085	4390	3918	5078	3540	1394	736	4828	3260	10360	11432	875	647	3999	3507	3633	3675	949	1140	4715	2565	6318	500	4821	4225	1540	2890	5148	1925	3506	2012	3583	727	866	7376	5537	1919	4465	1089	1827	3969	7429	8909	5294	761	1941	2729	1150	2219	14	1258	2842	2649
gene:PF3D7_1224800	12	1009289	1010251	+	963	557	403	298	666	470	671	492	348	256	1723	1130	952	1084	193	167	1187	1006	484	672	221	460	1627	1334	788	123	1784	676	384	1462	677	407	1625	318	525	235	257	3254	2363	367	852	448	702	1369	806	1024	662	212	717	462	273	1019	0	276	1349	856
gene:PF3D7_1224900	12	1010832	1011342	-	511	724	469	631	1424	617	1393	693	676	721	1028	814	893	1006	918	689	750	638	935	1726	1219	1221	1329	1025	1298	674	1390	1036	1164	840	996	1209	991	388	596	757	672	2523	1851	520	1188	647	1081	1060	1240	1286	1231	1003	603	622	865	590	3	794	802	648
gene:PF3D7_1225000	12	1012310	1017848	-	5539	18	13	55	100	20	101	37	687	518	140	114	62	89	704	507	302	257	66	82	672	651	300	195	116	320	546	63	1216	447	67	1461	454	14	28	526	522	410	299	21	43	586	885	218	26	102	110	453	260	42	914	283	2	1044	380	146
gene:PF3D7_1225100	12	1018506	1024008	+	5503	56	41	77	156	36	158	82	1018	749	590	481	49	36	1493	1059	1120	897	117	114	1129	919	1184	893	174	520	1834	134	1716	1614	207	2024	1792	36	47	686	750	2077	1565	26	95	842	1465	749	63	176	148	816	764	91	1289	1173	0	1333	1502	549
gene:PF3D7_1225200	12	1024455	1028018	-	3564	2853	1988	2134	4466	2163	5932	2155	2613	1992	3335	2136	6301	6861	3994	2812	4481	3925	3518	4813	3549	3256	4921	3030	5283	2260	6105	3144	3739	3253	3672	4337	3761	1115	1918	1965	2067	6714	4928	1289	3206	2175	3654	3091	4361	4512	4419	3347	2534	2065	2789	2349	5	2892	3058	2082
gene:PF3D7_1225300	12	1029862	1031388	+	1527	1941	1383	1721	3483	1650	4044	1859	1252	1545	1023	812	4531	5005	2923	2056	1290	1187	3193	5228	2335	2372	2154	1346	4159	1489	2762	2556	2402	1709	2781	2524	1932	922	1546	1533	1494	2635	1991	1306	3091	1463	2338	1294	4304	4467	3567	2081	1075	1617	1776	1217	4	1793	1568	980
gene:PF3D7_1225400	12	1031825	1032565	-	741	715	521	620	1328	795	1356	564	412	868	152	108	823	952	912	663	176	169	669	858	828	1309	125	196	953	586	244	798	1000	171	785	941	271	325	538	735	799	403	315	461	987	714	1040	189	971	1012	826	873	98	532	783	156	6	658	193	143
gene:PF3D7_1225500	12	1033551	1035112	+	1562	1920	1365	1611	3518	2011	4163	1860	1874	2009	461	403	3494	4108	3607	2512	669	617	2748	5042	3567	3134	880	688	3614	2157	1195	2899	4096	1066	3295	4012	1212	704	1224	1768	1985	1293	987	1159	2813	1638	2772	701	4468	4592	3141	2971	498	1890	3067	758	11	2643	926	461
gene:PF3D7_1225600	12	1035261	1038155	-	2895	4540	3250	4173	8341	5463	8852	4882	3925	4886	1963	1670	7581	8762	7214	5056	3401	2994	5989	8902	6426	7925	3987	3706	8579	4459	5089	6780	6080	4143	6771	6868	4683	2118	3626	4341	4627	5579	4239	3209	7659	4597	7576	3025	9806	10041	7457	6157	2060	4219	4770	3042	10	4422	3967	2106
gene:PF3D7_1225700	12	1039410	1043915	-	4506	2630	1839	2377	5099	3446	8254	3017	2707	3043	1861	1747	5795	6523	3157	2185	2916	2580	4766	8003	2876	4071	3718	3561	6199	2102	5348	4815	4461	4838	5634	5287	5209	1738	2801	2796	2895	6678	4988	2211	5002	3661	6110	2627	6715	6504	5267	2941	2248	3099	3394	3439	10	3484	4334	1842
gene:PF3D7_1225800	12	1045995	1049831	+	3837	4983	3449	4100	8423	4857	10812	5056	3937	6285	9579	8312	11445	12750	9447	6766	15447	13491	8013	11802	6980	8913	16140	13785	10974	4872	19003	7285	8165	12854	8014	9622	14287	2811	4945	5764	6207	26457	19896	3921	9221	7380	11924	12662	9781	10113	9482	6812	7661	4756	6162	9234	18	6408	11456	8721
gene:PF3D7_1225900	12	1050280	1052400	-	2121	62	46	114	161	63	157	107	711	294	1752	1533	66	49	559	426	2018	1842	128	116	410	513	3235	1769	191	207	3042	149	787	1706	245	950	1852	76	115	309	298	5460	3932	54	109	575	869	2250	87	245	155	284	1255	99	582	1288	0	624	1479	1479
gene:PF3D7_1226000	12	1053296	1056282	-	2987	52	26	67	134	24	128	58	493	264	180	123	53	43	579	396	379	319	125	105	280	444	411	305	182	130	567	198	553	573	188	641	679	15	38	278	297	391	313	48	103	471	744	320	55	228	169	213	228	116	415	447	0	387	508	215
gene:PF3D7_1226100	12	1058202	1059152	+	951	133	92	193	428	100	290	227	132	173	320	328	133	130	1480	1018	536	432	422	397	603	632	894	657	639	264	976	1265	41	786	1101	30	999	55	136	171	202	427	353	505	1176	505	843	797	137	834	507	380	435	767	20	603	1	34	767	576
gene:PF3D7_1226200	12	1059718	1061469	-	1752	84	53	84	187	43	209	80	64	22	28	10	227	233	88	58	59	52	273	500	101	34	53	18	178	67	41	276	41	6	288	52	11	47	88	16	11	28	21	111	284	18	29	48	316	585	207	86	20	149	36	10	0	28	10	38
gene:PF3D7_1226300	12	1065796	1066683	+	888	9883	6782	6242	12701	8058	12253	9656	4411	7250	7521	6017	17251	19332	7165	4908	8082	7023	10078	15064	7625	12114	9213	11243	14080	4451	12608	11052	9422	8830	11497	11255	9704	6435	11109	6420	6702	17521	12939	6415	14306	7796	12870	10017	15284	16911	12053	6390	5163	7325	7440	6710	29	7526	7800	6683
gene:PF3D7_1226400	12	1067470	1071309	-	3840	873	612	704	1387	480	1569	748	2365	1561	2495	1785	1137	1203	3923	2834	3686	3113	1088	1727	3218	2272	4089	2418	1303	1719	4683	1456	3329	2751	1648	3652	3262	373	596	1430	1549	6500	4684	527	1197	1613	2799	3025	1261	1566	1120	2496	2032	906	2499	1926	4	2483	2580	2063
gene:PF3D7_1226500	12	1072459	1076976	+	4518	99	64	128	226	58	285	102	1289	801	426	271	109	96	1493	1031	691	581	202	179	937	1199	833	572	246	480	1243	238	1722	759	305	2008	867	47	105	707	694	872	716	89	209	1141	1889	575	84	267	214	700	520	166	1321	571	0	1398	686	413
gene:PF3D7_1226600	12	1077868	1078776	-	909	154	111	85	196	64	194	139	963	513	2327	1335	88	95	541	372	2330	2121	197	169	505	890	2420	2152	251	237	2901	245	968	1789	253	1138	2007	166	260	462	438	4266	3062	134	328	1100	1661	1871	164	315	219	328	1155	151	787	1295	0	756	1651	1313
gene:PF3D7_1226700	12	1081198	1083108	+	1911	1948	1380	1744	3804	1641	4267	1848	1483	2638	893	602	3099	3438	3498	2460	868	749	2884	4452	3482	3867	1054	1041	3993	2299	1664	2564	3708	1332	3036	4043	1496	850	1461	2409	2527	2086	1617	1471	3557	2114	3406	949	3868	4080	3336	3253	677	1686	2862	932	8	2760	1319	606
gene:PF3D7_1226800	12	1085387	1087264	+	1878	1503	1035	329	654	459	942	688	576	461	4211	2865	454	522	1221	873	2548	2221	411	326	643	702	5464	3163	496	371	4820	765	738	1702	864	920	1891	493	862	462	549	7706	5506	375	854	564	900	3867	411	919	465	521	1926	496	624	1252	4	570	1529	2629
gene:PF3D7_1226900	12	1088536	1090023	-	1488	674	489	197	389	253	290	324	565	313	1006	590	142	153	532	378	1282	1055	165	84	432	524	1173	630	225	221	1474	522	570	766	504	651	1006	262	412	265	285	1869	1266	244	607	333	550	829	212	486	197	288	615	290	474	622	4	444	772	622
gene:PF3D7_1227000	12	1092160	1092651	-	492	88	82	38	111	84	75	132	26	13	1392	1044	67	59	21	20	1315	1135	55	52	30	31	1161	773	77	15	832	164	16	455	232	32	516	113	164	17	21	3136	2310	69	132	30	46	1199	70	173	98	30	350	98	24	320	0	19	415	792
gene:PF3D7_1227100	12	1093543	1095771	-	2229	537	394	636	1154	452	1823	689	4809	3721	1596	1416	731	799	4464	3319	2778	2463	1124	1345	4269	5133	3973	3066	1529	2115	5956	1315	6864	3200	1318	8242	3375	356	637	3461	3735	3899	2885	507	1236	4679	7514	2322	973	1220	1251	3070	2496	849	5325	2290	0	5200	2627	1558
gene:PF3D7_1227200	12	1098129	1104223	+	6095	878	565	854	1676	629	1784	808	1093	1657	1678	1687	1281	1333	2785	1894	3167	2715	1810	1726	2619	2434	3425	2413	1857	1714	4462	1379	2839	2396	1650	3844	2952	430	746	1536	1718	4608	3324	647	1584	1664	2661	2826	1716	1801	1652	2324	1832	904	2191	1757	3	2568	2339	1882
gene:PF3D7_1227300	12	1105251	1108739	+	3489	247	148	75	147	99	226	158	76	25	2682	1792	110	90	48	55	1588	1416	124	167	130	33	2285	1196	134	34	1646	305	94	635	437	133	778	176	268	22	24	4246	3107	104	228	28	41	2391	213	359	122	71	650	222	76	493	1	92	687	1665
gene:PF3D7_1227400	12	1109151	1112669	-	3519	1288	935	1064	2178	1324	3160	1624	1385	1622	4444	3293	2514	2874	4720	3178	4518	3898	1806	3150	2548	2322	4738	3939	2534	1710	5122	2226	2981	3443	2762	3623	3802	820	1415	1592	1553	10825	7911	1057	2515	1724	2804	4902	2526	2987	2097	2345	2047	1460	2174	2525	6	2220	2956	3171
gene:PF3D7_1227500	12	1114025	1121093	-	7069	864	564	493	883	636	1010	1040	504	246	9875	9411	309	404	322	209	12572	11006	621	474	347	727	13099	14322	963	200	14159	1381	221	10675	1777	239	12653	845	1319	498	545	33593	24753	801	1895	1338	2230	15597	612	1724	841	322	5961	888	132	7652	4	162	10218	10460
gene:PF3D7_1227600	12	1124788	1128340	+	3553	1003	715	558	1068	465	1113	813	866	613	8856	6487	549	585	1857	1422	8922	7915	1170	823	819	1410	11238	9180	1706	443	13143	1415	764	6578	1727	968	7774	803	1424	759	840	18039	13204	566	1325	2071	3346	11132	745	2024	1479	616	5482	837	562	4617	1	704	5852	7519
gene:PF3D7_1227700	12	1128939	1131686	-	2748	4837	3437	3001	5884	4431	6483	4629	1259	2495	9329	5914	9737	11004	3533	2566	3945	3574	4473	6742	2618	3766	3168	3914	6438	1913	2629	6301	3329	1426	6844	3698	1823	2834	5004	2230	2461	13618	10062	3446	8247	2191	3510	7312	8022	9687	5632	2705	1150	4064	2546	1011	19	2522	1452	4920
gene:PF3D7_1227800	12	1134370	1137648	-	3279	4290	2755	3513	7210	4494	9215	4770	3595	5448	939	694	8450	9699	7645	5609	1309	996	6579	11426	7270	7898	1403	1491	8913	4534	2541	6310	8639	2017	6766	9849	2243	2616	4377	4998	5140	1933	1405	3477	8385	4466	7201	1224	10071	9797	7554	6789	1038	4045	6526	1502	8	6480	1831	829
gene:PF3D7_1227900	12	1138608	1140302	+	1695	895	610	741	1562	759	1978	555	1305	802	343	241	1635	1749	2170	1563	573	545	885	1017	1611	1152	729	383	1254	965	917	878	1610	777	1002	1636	987	181	317	700	771	980	709	415	977	685	1217	472	1042	1079	1008	1370	379	590	1260	607	2	1128	771	316
gene:PF3D7_1228000	12	1140943	1141386	+	444	44	35	24	61	23	90	52	169	49	201	225	47	54	76	58	487	414	90	111	109	80	606	276	82	53	609	61	112	411	57	143	410	14	36	57	70	931	713	19	52	172	241	348	66	84	78	58	260	45	68	257	1	94	341	245
gene:PF3D7_1228100	12	1141583	1143194	-	1612	117	73	81	140	57	140	104	302	103	520	425	72	69	121	85	926	838	130	156	117	157	809	650	136	55	829	125	131	1042	151	198	1197	73	96	119	127	1929	1448	46	133	295	435	636	94	145	109	87	360	88	140	751	0	157	991	435
gene:PF3D7_1228200	12	1143660	1146116	+	2457	132	89	49	99	31	98	75	382	140	243	161	104	141	207	124	355	283	72	45	95	305	299	239	77	53	544	105	357	406	127	440	530	33	78	156	166	747	571	27	75	384	684	212	59	96	74	76	242	71	271	280	0	283	428	156
gene:PF3D7_1228300	12	1148111	1151461	+	3351	746	472	332	577	379	698	750	1149	696	6067	5647	290	311	435	332	6807	6204	615	520	401	1037	8325	7111	768	211	9190	1260	795	5911	1476	1193	6403	654	1180	719	742	13380	9593	338	891	2094	3434	8294	521	1298	654	279	3956	750	586	4202	3	829	5093	5410
gene:PF3D7_1228400	12	1153352	1157557	+	4206	2473	1678	2148	4515	2148	6431	2623	2921	3421	1445	1464	6925	7625	6375	4649	1917	1645	4513	8624	5220	4314	2137	1884	5085	3141	3427	4891	6175	2495	5317	7166	2784	1350	2296	3038	3354	4125	3207	2085	4925	3089	5149	2110	5901	5767	4222	4356	1445	3071	4553	1717	14	4858	2273	1510
gene:PF3D7_1228500	12	1158554	1160062	+	1509	271	172	138	246	165	288	236	1297	688	1703	1089	127	153	645	433	1736	1516	211	215	546	987	1845	1647	323	252	2276	420	1315	2371	584	1589	2351	163	266	669	711	3430	2602	193	392	1305	2084	1708	187	589	298	369	939	249	1019	1701	3	1007	1859	1189
gene:PF3D7_1228600	12	1160729	1162960	-	2232	27685	19489	5558	11176	13421	21438	16054	332	852	271870	142312	9392	10075	1037	780	102646	90302	8698	4791	1301	599	94127	118581	12036	789	76892	24690	689	30347	32085	339	39376	27853	47197	2195	2286	449351	328284	19123	47210	1696	2604	225180	14239	26430	10034	1160	32608	16005	516	21681	57	207	32183	150226
gene:PF3D7_1228700	12	1165508	1169148	+	3641	463	322	239	550	252	519	517	455	180	4666	3693	207	200	168	101	4402	3915	432	271	207	339	7269	5382	522	108	6677	806	267	4453	946	368	5138	328	568	229	219	12680	9672	506	1239	512	827	6310	286	1014	414	172	2773	507	204	3222	1	227	4115	4196
gene:PF3D7_1228800	12	1169557	1179186	-	9630	2826	2006	2138	4303	2262	5869	3099	4549	6916	16312	16123	4212	4758	7848	5571	22133	19769	3872	4066	7128	11673	22819	24384	4793	4807	27674	6202	8240	18017	7188	11382	21243	2683	4667	6682	7166	43562	31994	2525	6207	9819	15993	26071	3164	6184	4068	6779	11604	3969	6466	12881	15	7575	17182	17220
gene:PF3D7_1228900	12	1180670	1185483	-	4814	1232	856	1075	2190	914	4550	1831	4835	4144	1329	1101	3311	3631	4625	3349	1976	1661	1755	2830	3977	5819	2328	2326	2182	2017	3737	2915	6413	3960	2863	7687	4296	911	1584	3959	4089	4518	3281	930	2186	4792	7831	2035	1685	1759	1833	2705	1572	1881	5029	2835	32	5143	3630	1372
gene:PF3D7_1229000	12	1186415	1191919	+	5505	1587	1103	1434	2699	1745	3761	1697	1275	1668	1161	1305	2983	3442	2021	1405	1847	1626	2321	4022	1849	2558	2015	1982	3302	1222	2876	2593	2315	2615	2901	2765	2956	1024	1640	1609	1754	4264	3098	1127	2655	1814	3208	1838	3460	3474	2694	1856	1185	1590	1797	1861	8	1935	2306	1211
gene:PF3D7_1229100	12	1192888	1199214	-	6327	20352	13983	17101	34713	20900	48347	21938	4096	16645	2991	2500	40600	45551	59153	42118	5957	5271	41683	72234	34971	20970	5657	5116	50950	31450	8383	37409	18708	4786	41398	26470	5513	13104	21702	14338	15285	6873	5055	16422	38040	7576	12770	5839	56129	52423	43396	44340	3404	23807	14089	3552	83	17306	4554	3972
gene:PF3D7_1229300	12	1204991	1207963	+	2973	1319	892	703	1538	493	1167	643	394	1143	12284	4906	761	840	9182	6578	6063	5223	1379	1718	3597	1472	5826	3969	1560	3131	4933	1654	1319	1729	1923	1600	2270	859	1418	863	913	15239	11182	630	1470	382	627	7895	1332	1977	1307	4302	2030	947	1062	1283	10	1024	1865	5189
gene:PF3D7_1229400	12	1208912	1209542	+	631	7495	5095	4850	9793	7802	20345	9370	12236	10198	9839	6688	17366	19007	4928	3629	11193	10076	7484	14287	5875	13142	14262	13375	10442	3069	20384	8355	11404	16180	8379	12285	17187	5643	9531	9538	10181	24271	17788	4804	11282	15126	25224	9200	8949	7848	8911	4271	8148	5482	8750	11806	20	8278	13568	6289
gene:PF3D7_1229500	12	1211788	1213563	+	1776	4273	2748	4030	7636	4396	9371	5380	8626	12849	3042	2543	8150	9151	12741	9095	4417	3789	6830	13912	12882	18419	6160	7207	8285	7728	9912	7328	17806	6986	7103	20593	7152	2469	4264	11032	11893	8259	6171	3471	8314	12667	21153	4668	8128	7669	7006	11141	4309	4631	13934	5047	10	13620	5910	3061
gene:PF3D7_1229600	12	1214043	1217715	-	3673	487	362	317	637	309	718	658	1398	845	4885	3872	251	293	500	375	5610	4910	443	405	510	1527	5825	5661	641	281	6978	1068	1234	5675	1221	1743	6269	525	806	884	882	13365	9598	495	1114	2137	3725	5628	441	937	655	379	2866	596	989	4074	4	1156	5012	3811
gene:PF3D7_1229700	12	1218181	1218766	+	586	64	52	62	132	41	118	101	404	152	938	615	40	35	125	88	915	729	67	76	86	272	710	790	133	40	893	109	190	1234	153	215	1462	56	75	182	175	2846	2086	56	113	473	769	829	41	122	113	70	338	74	147	860	0	130	1157	571
gene:PF3D7_1229800	12	1219136	1226465	-	7330	7018	4604	1315	2869	1971	3203	2928	58	96	7536	4966	2080	2306	78	50	1866	1834	1925	1128	269	137	854	2139	2419	190	548	4107	10	99	4846	37	162	4544	7637	73	64	7690	5841	1966	4479	83	135	6149	3116	5041	2121	273	235	2581	7	95	8	15	142	4144
gene:PF3D7_1229900.1	12	1228063	1233005	-	4943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1229900.2	12	1228063	1233005	-	4943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1230000	12	1233696	1241287	+	7592	1272	855	974	2043	702	2536	992	2420	2639	3692	3185	2948	3252	4750	3407	5983	5150	1512	1465	3405	4637	6773	5391	1973	1953	8795	2777	4580	6419	3136	5332	7989	577	991	2791	3129	10679	7815	936	2212	3871	6455	5279	1331	2045	1623	2739	3657	1712	3412	4697	10	3643	6592	3552
gene:PF3D7_1230100	12	1242025	1243599	-	1575	291	213	159	294	85	148	182	70	28	692	380	97	134	75	48	223	213	129	77	51	84	210	181	133	26	130	360	40	129	410	65	168	134	226	11	12	727	528	142	281	30	58	447	132	374	103	41	77	260	27	84	0	30	128	317
gene:PF3D7_1230300	12	1249768	1250657	-	890	81	46	50	82	26	50	61	83	19	277	147	36	42	20	23	87	84	38	43	43	22	140	100	40	20	100	118	52	81	120	63	101	47	78	15	8	230	180	56	133	30	33	164	34	112	45	37	45	78	43	80	1	44	76	133
gene:PF3D7_1230400	12	1251914	1253067	-	1154	166	101	97	217	68	197	219	670	555	1505	1154	71	69	496	342	1613	1506	206	200	296	795	1756	1751	285	184	2433	243	722	2105	309	924	2364	141	242	479	523	3938	2824	106	247	912	1477	1564	101	269	246	236	932	146	592	1522	1	633	1796	1050
gene:PF3D7_1230500	12	1253973	1255481	-	1509	1203	848	1111	2221	992	2531	988	935	1311	269	174	2737	2948	2472	1732	306	272	1802	2835	1868	1943	364	377	2481	1232	770	1484	1831	569	1519	1967	586	409	746	1120	1266	457	383	678	1565	1144	1829	291	2005	1858	2029	1830	303	949	1454	383	8	1358	536	221
gene:PF3D7_1230600	12	1256690	1258104	+	1415	382	277	286	472	152	914	384	1350	976	725	617	648	695	1460	993	937	773	485	528	969	1539	1395	1165	526	374	2447	784	1547	1398	726	1786	1621	155	335	990	987	1779	1318	206	619	1569	2577	828	309	507	467	569	1012	483	1246	1019	1	1216	1257	533
gene:PF3D7_1230700	12	1259620	1262088	+	2469	6873	4837	5189	10252	5583	13102	8025	2732	5552	7560	6547	14175	16103	5651	4211	9339	8111	10314	18245	6416	7551	10776	10404	14242	4503	13477	8649	4825	7442	8820	7295	7616	4578	7905	4803	4744	16662	11820	5417	12814	4877	7969	11428	13006	13301	11925	6258	5373	5400	3700	5451	18	4841	6099	7702
gene:PF3D7_1230800	12	1263661	1265593	+	1933	3771	2679	3277	7046	3483	8278	3374	3842	3708	1877	1481	5069	5691	6789	4924	3157	2647	4537	6523	4985	5509	3054	2512	5853	3035	4234	5088	5630	2875	5806	6150	3611	1529	2499	3593	3644	5578	4100	2290	5576	3539	5866	2539	6296	6517	5292	4555	1778	3235	4395	2212	15	4248	2902	1692
gene:PF3D7_1230900	12	1267368	1270181	+	2814	9097	6175	7596	15412	8659	18207	8866	3819	4187	994	657	14438	16403	8893	6482	1902	1669	14723	24522	8394	6587	2063	1581	19750	4838	3078	13735	7315	1682	14478	8514	1814	4806	8369	4079	4468	2247	1575	6532	15625	3778	6290	1417	21686	21959	16493	6931	1338	8496	5683	1247	34	5850	1487	919
gene:PF3D7_1231000	12	1271140	1274855	+	3716	1717	1170	577	1277	791	1416	1063	404	232	2119	1736	1109	1202	658	474	2832	2582	782	517	425	550	2956	1979	941	253	2900	1938	349	3015	2026	418	3473	782	1359	319	365	7540	5674	875	2263	642	1087	2450	943	1351	851	373	1308	1211	236	2079	1	276	2982	1606
gene:PF3D7_1231100	12	1276257	1277734	+	1478	2356	1713	1554	3135	1444	3974	1760	2167	3037	7550	4819	1944	2191	4114	2916	5045	4607	1847	2421	2798	4832	5795	6098	2845	1761	6276	2687	3497	4045	2771	3703	4595	1573	2546	2835	2930	12984	9297	1531	3627	2958	4785	5888	2112	2439	2458	2602	2519	1798	2626	2978	6	2593	3733	4061
gene:PF3D7_1231200	12	1278460	1279611	-	1152	3693	2638	895	2022	1417	2734	2059	109	69	691	788	1130	1259	23	13	146	147	1171	946	101	100	184	385	1184	78	169	3140	27	423	3115	32	529	3202	5342	79	77	1470	1024	1238	2945	114	193	881	1880	2726	961	90	69	1962	15	294	11	24	440	600
gene:PF3D7_1231300	12	1286498	1289356	-	2859	663	456	162	350	222	436	282	8	22	704	450	247	286	41	19	102	108	167	99	44	27	42	161	167	26	46	702	5	4	887	6	14	529	879	11	15	947	678	280	640	15	26	462	275	445	150	52	24	531	5	5	2	5	18	298
gene:PF3D7_1231400	12	1290685	1297069	-	6385	5115	3532	1226	2656	1932	3817	3293	693	519	1435	1927	2046	2213	485	384	880	765	1886	1664	485	397	1129	1141	2280	330	1023	4758	668	1301	5378	851	1565	4437	7178	504	480	4054	2998	1740	3967	394	650	2255	3493	5342	1866	474	437	3094	546	918	4	576	1266	1550
gene:PF3D7_1231500	12	1299608	1300027	+	420	1035	771	578	1216	454	1164	683	540	612	344	298	849	960	415	285	399	344	828	1439	565	838	531	469	1129	372	790	787	730	625	865	828	726	409	753	569	525	982	758	536	1125	576	944	488	951	1027	938	533	325	624	523	478	4	538	593	328
gene:PF3D7_1231600	12	1301098	1304604	-	3507	1421	927	1496	2760	894	3806	1002	2222	2200	3144	2447	612	667	3455	2528	3936	3493	2592	3851	2344	3376	6221	3817	2955	1756	7441	2097	2903	4155	2628	3493	4701	602	1029	2147	2256	8427	6007	1110	2749	2448	4001	4285	2581	2970	2464	2510	3069	1400	2242	3044	5	2399	3849	2942
gene:PF3D7_1231700	12	1306524	1306968	-	445	118	58	112	200	20	476	100	409	149	258	248	17	16	198	141	392	312	426	1278	197	201	635	338	306	125	822	164	275	469	227	321	521	30	36	121	142	724	537	80	164	321	475	298	300	333	243	174	335	107	224	329	6	182	494	210
gene:PF3D7_1231800	12	1314696	1320170	+	5475	6429	4594	5706	11867	3618	12262	2871	1716	1590	2890	2569	5358	5873	10499	7618	10538	9339	10311	13308	2646	1932	8019	3534	12634	2396	10290	5950	2272	4557	7179	3178	5537	1714	2674	1557	1713	7102	5204	2516	6013	1645	2936	3997	9767	8446	10650	3420	4289	3675	1766	3336	13	2205	4459	2730
gene:PF3D7_1231900	12	1321980	1325240	+	3261	157	96	122	270	168	407	213	858	839	686	669	508	535	678	452	968	896	209	287	841	1155	1026	1049	308	469	1403	447	1042	1132	477	1291	1373	154	233	762	845	2167	1656	90	320	865	1418	941	218	363	246	681	515	301	880	910	0	820	1099	623
gene:PF3D7_1232000	12	1325484	1327339	-	1856	80	51	66	110	44	138	80	571	406	1198	929	44	51	655	440	1671	1490	105	113	605	650	1989	1356	138	305	2005	154	893	1200	208	1021	1365	70	102	454	470	3291	2524	61	117	598	979	1473	74	201	118	401	837	105	661	1002	0	667	1159	996
gene:PF3D7_1232100	12	1328311	1331371	-	3061	1609	1088	553	1066	463	1183	1147	6296	4027	9919	5444	357	374	6459	4687	7347	6609	1029	702	5827	6539	11695	8081	1221	2612	14671	1542	9554	8627	1825	11834	9785	878	1671	3886	4136	15446	11328	663	1616	5986	9962	8696	720	1569	1141	3715	6118	945	7467	6192	2	7891	8183	5793
gene:PF3D7_1232200	12	1333134	1334896	+	1763	300	206	202	422	85	193	148	540	152	1803	930	90	88	612	402	1892	1602	302	151	278	352	2187	1446	416	137	2839	257	180	1302	309	313	1522	119	222	192	195	2856	1987	112	305	503	900	1549	105	346	346	216	1118	179	143	900	1	196	1231	1049
gene:PF3D7_1232300	12	1336272	1337213	+	942	37	49	59	110	24	106	62	145	46	296	305	44	47	106	70	375	301	63	128	64	104	633	490	98	45	699	110	73	883	110	77	952	25	41	51	51	1171	951	33	112	138	207	444	75	132	63	54	315	78	53	614	1	49	811	257
gene:PF3D7_1232400	12	1337710	1338816	-	1107	1865	1337	1120	2314	1237	2635	1527	799	873	1127	980	2615	2814	1732	1389	1570	1361	1326	2229	1119	1160	1174	1297	2015	714	1577	2092	1191	1232	2125	1342	1464	913	1594	627	767	3005	2134	826	2107	718	1190	1582	2282	2508	1656	1059	637	1401	934	856	3	856	1192	1058
gene:PF3D7_1232500	12	1339845	1343314	-	3470	9825	6832	2383	4724	3027	4852	5140	88	122	12388	9137	3328	3674	100	77	6794	6135	2898	1488	288	124	6521	6187	3460	222	6018	8313	58	3316	7970	22	4155	6034	10628	186	133	19944	14369	3311	7698	105	178	10769	4806	6415	3102	274	2459	5379	38	2327	18	23	3338	7357
