Geneid	Chr	Start	End	Strand	Length	ERR435801	ERR435802	ERR435803	ERR435804	ERR435805	ERR435806	ERR435807	ERR435808
gene:PBANKA_113440	11	1272024	1274255	-	2232	556	3337	983	311	271	439	470	336
gene:PBANKA_113450	11	1275327	1279900	+	4574	77	583	120	62	12	28	47	22
gene:PBANKA_113460	11	1280671	1281672	-	1002	21	207	22	9	10	11	17	8
gene:PBANKA_113470	11	1282958	1283870	+	913	45	431	59	112	210	137	187	162
gene:PBANKA_113480	11	1284510	1286225	+	1716	31	249	28	32	17	13	24	28
gene:PBANKA_113490	11	1288017	1290629	+	2613	2727	20243	2334	1043	719	1135	2591	2004
gene:PBANKA_113500	11	1291846	1292307	-	462	119	1005	83	152	138	116	157	140
gene:PBANKA_113510	11	1296144	1296599	+	456	128	1025	213	426	391	285	224	195
gene:PBANKA_113520	11	1297079	1299892	-	2814	69	668	26	86	100	95	128	83
gene:PBANKA_113530	11	1300713	1309874	-	9162	242	1379	313	44	8	11	32	24
gene:PBANKA_113540	11	1311480	1313600	-	2121	27	215	17	19	11	9	17	13
gene:PBANKA_113550	11	1314347	1316639	-	2293	84	614	61	163	277	216	310	266
gene:PBANKA_113560	11	1317423	1320476	+	3054	26	166	8	17	9	10	12	10
gene:PBANKA_113570	11	1322259	1323945	-	1687	474	3986	678	484	112	153	306	198
gene:PBANKA_113580	11	1326827	1327318	+	492	79	638	40	101	118	107	109	92
gene:PBANKA_113590	11	1328998	1338549	+	9552	32	271	11	6	8	4	7	8
gene:PBANKA_113600	11	1339332	1340167	+	836	26	202	15	37	48	32	29	31
gene:PBANKA_113610	11	1341318	1346627	+	5310	50	472	31	10	2	5	14	6
gene:PBANKA_113620	11	1347675	1348208	-	534	35	311	12	49	47	48	32	34
gene:PBANKA_113630	11	1349256	1350479	-	1224	36	282	42	57	71	59	44	37
gene:PBANKA_113640	11	1351240	1352659	-	1420	52	430	17	93	72	53	46	34
gene:PBANKA_113650	11	1353543	1354670	-	1128	15	104	3	16	22	12	9	12
gene:PBANKA_113660	11	1355370	1356329	+	960	30	206	13	26	39	26	36	16
gene:PBANKA_113670	11	1357402	1368560	+	11159	162	1401	413	319	33	34	71	27
gene:PBANKA_113690	11	1369720	1373822	-	4103	36	399	25	18	8	9	24	9
gene:PBANKA_113700	11	1377594	1381043	+	3450	604	5229	472	330	38	71	169	122
gene:PBANKA_113710	11	1381690	1383891	-	2202	3	29	2	2	2	1	4	3
gene:PBANKA_113720	11	1386906	1390593	+	3688	113	1175	45	58	40	30	40	31
gene:PBANKA_113730	11	1392134	1398057	+	5924	319	2414	304	71	86	78	71	61
gene:PBANKA_113740	11	1398888	1400669	+	1782	77	578	37	96	234	179	263	229
gene:PBANKA_113750	11	1400911	1401449	-	539	3	49	4	8	23	17	25	15
gene:PBANKA_113760	11	1403257	1403661	-	405	79	673	28	96	64	62	58	46
gene:PBANKA_113770	11	1405202	1406250	+	1049	218	1975	79	297	257	179	194	154
gene:PBANKA_113780	11	1407746	1415866	+	8121	40	369	8	13	9	10	11	6
gene:PBANKA_113790	11	1416556	1417380	-	825	31	420	18	47	43	29	65	45
gene:PBANKA_113800	11	1420373	1420969	+	597	138	1255	94	198	233	177	155	149
gene:PBANKA_113810	11	1421792	1423408	-	1617	2825	21743	1881	4201	10864	9808	18637	14670
gene:PBANKA_113820	11	1425338	1426765	-	1428	712	7912	314	583	455	413	616	429
gene:PBANKA_113830	11	1428290	1428871	+	582	128	1072	58	119	122	110	104	91
gene:PBANKA_113840	11	1430819	1436587	+	5769	468	2999	358	60	26	31	76	54
gene:PBANKA_113850	11	1437953	1440244	+	2292	144	1022	105	114	117	106	165	132
gene:PBANKA_113860	11	1440836	1442095	+	1260	40	316	26	37	66	59	74	54
gene:PBANKA_113870	11	1444912	1449165	+	4254	40	282	34	6	12	2	12	7
gene:PBANKA_113880	11	1450648	1456944	+	6297	384	3136	164	102	37	59	144	97
gene:PBANKA_113890	11	1457791	1462533	+	4743	55	329	67	37	40	19	33	36
gene:PBANKA_113900	11	1463109	1466468	+	3360	11	59	2	4	7	9	14	12
gene:PBANKA_113910	11	1467183	1470383	+	3201	23	134	13	21	14	16	14	8
gene:PBANKA_113920	11	1470708	1472218	-	1511	12	62	12	8	14	3	14	8
gene:PBANKA_113930	11	1472859	1473800	+	942	6	57	14	16	16	9	13	7
gene:PBANKA_113940	11	1474241	1476936	-	2696	7	68	7	7	4	2	7	3
gene:PBANKA_113950	11	1477866	1480375	+	2510	28	182	16	16	16	22	23	17
gene:PBANKA_113960	11	1481015	1481557	-	543	2	15	1	5	2	6	2	2
gene:PBANKA_113970	11	1482448	1484457	+	2010	27	177	11	18	16	16	19	8
gene:PBANKA_113980	11	1485596	1488841	+	3246	126	1122	72	87	63	108	205	146
gene:PBANKA_113990	11	1490746	1491285	+	540	92	850	91	153	81	54	63	51
gene:PBANKA_114000	11	1493482	1495809	+	2328	57	473	32	37	22	28	42	27
gene:PBANKA_114010	11	1496845	1502331	-	5487	587	4887	594	114	22	21	100	58
gene:PBANKA_114020	11	1504097	1507549	-	3453	99	957	162	88	33	31	38	35
gene:PBANKA_114030	11	1509455	1518264	+	8810	180	1288	262	59	32	28	42	19
gene:PBANKA_114040	11	1519548	1521083	+	1536	44	318	14	32	29	19	41	22
gene:PBANKA_114050	11	1521913	1524372	+	2460	72	516	22	17	2	2	11	5
gene:PBANKA_114060	11	1524985	1526403	-	1419	235	1799	283	701	611	572	930	713
gene:PBANKA_114070	11	1527286	1528832	-	1547	5	37	11	12	34	10	12	21
gene:PBANKA_114080	11	1529469	1530401	+	933	35	128	26	21	23	20	24	23
gene:PBANKA_114090	11	1530660	1531260	-	601	176	1370	87	273	526	380	371	319
gene:PBANKA_114100	11	1532178	1532333	+	156	42	310	40	106	185	112	99	74
gene:PBANKA_114110	11	1532921	1534975	-	2055	103	757	81	134	34	40	43	32
gene:PBANKA_114120	11	1536121	1537686	-	1566	20	126	15	20	15	24	14	12
gene:PBANKA_114130	11	1538581	1540026	+	1446	24	203	12	21	30	25	38	34
gene:PBANKA_114140	11	1541027	1543406	+	2380	533	3400	374	394	811	807	1439	1085
gene:PBANKA_114150	11	1543781	1545140	-	1360	887	6799	528	652	792	792	1471	1085
gene:PBANKA_114160	11	1548038	1549689	+	1652	1100	7411	578	781	959	1154	1966	1489
gene:PBANKA_114170	11	1550578	1551355	-	778	665	5540	842	2193	3333	2361	2510	2245
gene:PBANKA_114180	11	1553028	1553312	+	285	181	1026	111	179	203	178	209	175
gene:PBANKA_114190	11	1554563	1555194	+	632	1262	11992	1090	1790	3440	3428	5675	4222
gene:PBANKA_114200	11	1556166	1556609	+	444	39	260	23	28	131	94	70	74
gene:PBANKA_114210	11	1557064	1568135	-	11072	285	2000	185	206	163	220	318	225
gene:PBANKA_114230	11	1570580	1573975	-	3396	181	1282	184	109	95	88	97	69
gene:PBANKA_114240	11	1576700	1577149	+	450	153	1260	78	162	263	198	218	180
gene:PBANKA_114250	11	1578295	1579935	-	1641	300	2487	251	216	160	159	230	173
gene:PBANKA_114260	11	1581802	1582797	+	996	23	154	21	26	21	25	31	16
gene:PBANKA_114270	11	1582963	1585239	-	2277	179	1159	96	211	302	269	305	254
gene:PBANKA_114280	11	1588841	1591307	+	2467	274	1882	177	106	44	53	133	69
gene:PBANKA_114290	11	1592518	1593501	-	984	78	558	40	115	182	126	163	93
gene:PBANKA_114300	11	1594594	1595706	+	1113	56	579	36	36	24	47	53	37
gene:PBANKA_114310	11	1596915	1598370	+	1456	12	138	14	14	17	25	39	14
gene:PBANKA_114320	11	1598515	1599905	-	1391	13	120	4	10	10	8	5	5
gene:PBANKA_114330	11	1601200	1604178	+	2979	606	3738	1071	626	175	324	517	322
gene:PBANKA_114340	11	1605356	1606576	+	1221	1415	7621	645	867	736	793	1091	735
gene:PBANKA_114350	11	1607283	1608435	-	1153	64	509	52	82	69	53	68	40
gene:PBANKA_114360	11	1609448	1613104	+	3657	295	2739	158	142	79	69	146	110
gene:PBANKA_114370	11	1614502	1618419	+	3918	26205	222066	18359	2716	6312	13560	56932	30115
gene:PBANKA_114380	11	1619835	1620602	+	768	3380	27243	2062	2969	9103	8560	15214	11491
gene:PBANKA_114390	11	1621162	1621845	-	684	72	599	69	39	99	146	310	219
gene:PBANKA_114400	11	1622789	1624037	-	1249	47	416	16	42	42	40	53	38
gene:PBANKA_114410	11	1625769	1627817	-	2049	68	596	43	37	15	9	35	16
gene:PBANKA_114420	11	1629724	1631418	+	1695	56	408	27	78	136	130	133	99
gene:PBANKA_114430	11	1631513	1633296	-	1784	43	331	23	50	51	54	60	31
gene:PBANKA_114440	11	1634465	1636960	+	2496	34	289	23	44	46	44	50	39
gene:PBANKA_114450	11	1637490	1637768	-	279	25	209	25	27	37	15	21	17
gene:PBANKA_114460	11	1639045	1640529	-	1485	40	329	33	59	28	25	33	20
gene:PBANKA_114470	11	1641894	1646387	-	4494	71	495	23	21	6	5	10	2
gene:PBANKA_114480	11	1648334	1649875	+	1542	415	3657	202	422	336	368	581	385
gene:PBANKA_114490	11	1651304	1654453	+	3150	19	150	11	10	10	12	15	11
gene:PBANKA_114500	11	1655195	1656466	-	1272	14	164	15	18	5	14	15	10
gene:PBANKA_114510	11	1657766	1664074	+	6309	78	539	46	5	10	23	21	10
gene:PBANKA_114520	11	1664600	1666033	-	1434	70	649	33	34	31	45	38	20
gene:PBANKA_114530	11	1667439	1675586	+	8148	36	240	11	8	6	4	14	9
gene:PBANKA_114540	11	1676086	1677674	-	1589	16	109	3	9	2	1	5	3
gene:PBANKA_114550	11	1679639	1683004	+	3366	29	209	33	17	4	5	10	3
gene:PBANKA_114560	11	1683947	1686610	-	2664	9	35	5	2	2	1	6	2
gene:PBANKA_114570	11	1687796	1688868	-	1073	21	192	8	15	6	10	23	14
gene:PBANKA_114580	11	1695580	1696372	+	793	93	984	50	124	234	254	331	306
gene:PBANKA_114590	11	1697529	1698624	+	1096	21	345	20	17	51	55	104	85
gene:PBANKA_114600	11	1700254	1702342	-	2089	3	30	2	1	0	2	5	3
gene:PBANKA_114610	11	1703672	1704253	-	582	0	1	0	0	1	1	3	0
gene:PBANKA_114620	11	1707059	1707842	+	784	0	5	0	0	1	1	4	1
gene:PBANKA_114630	11	1710345	1711500	+	1156	13	60	4	17	8	6	15	11
gene:PBANKA_114640	11	1713920	1715048	+	1129	1	20	1	3	3	0	3	2
gene:PBANKA_114655	11	1721174	1721576	+	403	0	1	0	1	0	0	0	0
gene:PBANKA_114660	11	1724434	1725351	+	918	12	61	6	8	5	6	3	3
gene:PBANKA_114670	11	1728473	1729717	+	1245	2	55	3	4	3	4	4	2
gene:PBANKA_120005	12	3	515	+	513	2	6	2	3	0	2	2	0
gene:PBANKA_120010	12	1963	3140	-	1178	2	45	3	4	6	9	4	2
gene:PBANKA_120020	12	6144	7061	-	918	3	28	5	5	6	4	1	4
gene:PBANKA_120030	12	9248	10542	-	1295	1	2	0	0	0	1	1	0
gene:PBANKA_120040	12	12947	14171	-	1225	12	83	7	6	6	5	13	6
gene:PBANKA_120060	12	22479	29232	-	6754	120	1046	33	15	2	5	32	22
gene:PBANKA_120070	12	33944	35233	+	1290	1398	10990	1789	3718	1916	1917	2311	1901
gene:PBANKA_120080	12	37467	39842	+	2376	370	3593	444	1336	739	609	642	480
gene:PBANKA_120090	12	40318	41564	-	1247	94	740	86	77	21	18	27	17
gene:PBANKA_120100	12	42760	44313	+	1554	17	72	2	10	2	2	6	2
gene:PBANKA_120110	12	46009	48747	+	2739	43	505	22	14	4	15	24	9
gene:PBANKA_120120	12	49878	54101	+	4224	57	519	42	3	6	1	11	6
gene:PBANKA_120130	12	55695	56605	+	911	66	563	101	160	205	186	190	142
gene:PBANKA_120140	12	58818	61913	+	3096	39	271	19	9	13	10	24	14
gene:PBANKA_120150	12	63346	64040	+	695	39	238	18	35	96	110	80	66
gene:PBANKA_120160	12	65733	66474	+	742	112	1048	45	119	70	77	58	47
gene:PBANKA_120170	12	67158	67616	-	459	105	735	135	353	168	145	142	140
gene:PBANKA_120180	12	69427	74574	-	5148	90	766	53	40	12	19	26	28
gene:PBANKA_120190	12	75865	76753	-	889	194	1793	263	536	509	369	395	308
gene:PBANKA_120200	12	79580	80416	+	837	20928	171982	13788	21935	40181	41759	88587	67535
gene:PBANKA_120210	12	81608	85048	-	3441	453	3614	269	146	97	151	301	222
gene:PBANKA_120220	12	87840	91421	-	3582	98	702	47	17	7	7	25	17
gene:PBANKA_120230	12	93167	94129	+	963	14	87	7	8	13	14	22	18
gene:PBANKA_120240	12	94488	95454	-	967	743	6396	1025	2867	2549	1989	1947	1664
gene:PBANKA_120250	12	97633	105446	-	7814	303	1997	141	40	43	19	52	31
gene:PBANKA_120260	12	107800	110733	-	2934	760	5966	772	297	204	312	437	298
gene:PBANKA_120270	12	113644	115791	-	2148	1695	13565	1140	409	377	596	1201	744
gene:PBANKA_120280	12	119358	119960	-	603	91	805	44	70	47	43	70	58
gene:PBANKA_120290	12	121327	125131	+	3805	11	152	5	6	16	16	13	10
gene:PBANKA_120300	12	125349	126656	-	1308	10	82	7	12	16	18	13	17
gene:PBANKA_120310	12	127338	128763	+	1426	16	58	3	13	18	11	12	8
gene:PBANKA_120320	12	129322	130275	+	954	30	189	17	24	15	20	12	11
gene:PBANKA_120330	12	130541	132652	-	2112	86	591	76	67	27	39	85	53
gene:PBANKA_120340	12	133396	136353	+	2958	356	2080	267	408	1372	1077	1662	1269
gene:PBANKA_120345	12	136527	137019	-	493	187	1012	172	216	643	595	1109	828
gene:PBANKA_120350	12	137451	138440	-	990	34	214	20	18	12	16	37	27
gene:PBANKA_120360	12	139017	140010	-	994	35	261	31	38	153	149	203	150
gene:PBANKA_120370	12	141455	145282	-	3828	131	775	57	15	3	5	9	2
gene:PBANKA_120380	12	147118	148883	-	1766	1008	4868	1317	837	1099	1649	2350	1905
gene:PBANKA_120390	12	150086	152390	-	2305	368	2474	306	491	762	645	890	706
gene:PBANKA_120400	12	154666	155443	+	778	42	257	47	52	48	62	34	32
gene:PBANKA_120410	12	156409	158112	+	1704	627	5281	486	422	127	190	297	186
gene:PBANKA_120420	12	158625	160049	-	1425	2959	17824	2253	1177	3245	3362	7097	5116
gene:PBANKA_120430	12	161514	162680	-	1167	116	827	68	136	437	300	360	296
gene:PBANKA_120440	12	165204	165844	-	641	214	2101	129	281	225	199	265	184
gene:PBANKA_120450	12	168221	169321	-	1101	304	2149	194	516	850	603	796	636
gene:PBANKA_120460	12	169844	172408	-	2565	1016	6572	469	550	636	763	1664	1198
gene:PBANKA_120470	12	173006	173866	+	861	225	1303	144	178	336	342	759	595
gene:PBANKA_120480	12	174222	174803	-	582	206	1306	119	163	176	179	368	273
gene:PBANKA_120490	12	175860	176907	+	1048	66	389	72	100	113	112	67	67
gene:PBANKA_120500	12	178650	179932	+	1283	69	443	54	74	48	48	63	38
gene:PBANKA_120510	12	181540	183008	+	1469	603	3981	336	946	1151	1012	1361	1136
gene:PBANKA_120520	12	184149	185862	+	1714	101	742	62	123	599	458	556	493
gene:PBANKA_120530	12	185960	186738	-	779	159	1221	90	218	738	648	793	599
gene:PBANKA_120540	12	187615	190003	-	2389	1087	8542	1128	1090	686	709	1296	905
gene:PBANKA_120550	12	193098	195094	+	1997	39	331	20	12	9	11	24	23
gene:PBANKA_120560	12	196252	196911	+	660	22	121	18	27	40	33	28	29
gene:PBANKA_120570	12	197720	198073	+	354	21	112	11	29	40	16	30	25
gene:PBANKA_120580	12	198910	199239	+	330	90	747	42	92	104	89	103	77
gene:PBANKA_120590	12	200376	204572	-	4197	433	3297	365	51	16	9	34	19
gene:PBANKA_120600	12	208527	211016	-	2490	686	4264	477	448	200	361	516	335
gene:PBANKA_120610	12	213199	214812	+	1614	121	848	78	124	63	77	90	54
gene:PBANKA_120620	12	217949	223933	+	5985	65	418	26	7	17	17	37	19
gene:PBANKA_120630	12	227320	238080	+	10761	808	6463	769	74	34	45	84	59
gene:PBANKA_120640	12	238750	239922	-	1173	78	528	61	83	130	148	233	197
gene:PBANKA_120650	12	240942	242330	+	1389	14	109	10	13	26	11	16	20
gene:PBANKA_120660	12	242903	244631	-	1729	70	636	32	36	50	46	63	47
gene:PBANKA_120670	12	247183	250119	+	2937	177	1189	86	72	52	70	179	112
gene:PBANKA_120680	12	252528	253685	+	1158	3	38	8	6	4	8	11	9
gene:PBANKA_120690	12	255348	257505	-	2158	415	6047	186	524	307	239	501	374
gene:PBANKA_120700	12	259613	261022	-	1410	385	2777	940	1264	214	211	244	172
gene:PBANKA_120710	12	262675	264112	+	1438	75	510	73	108	31	39	50	35
gene:PBANKA_120720	12	264968	266022	-	1055	18	160	15	23	8	8	13	4
gene:PBANKA_120730	12	267051	267875	+	825	13	127	9	27	34	37	14	19
gene:PBANKA_120740	12	268446	269636	+	1191	17	195	10	20	24	17	11	8
gene:PBANKA_120750	12	270522	273068	+	2547	7	94	4	2	2	0	2	1
gene:PBANKA_120760	12	273595	275361	-	1767	35	246	21	37	10	17	18	5
gene:PBANKA_120770	12	276909	277913	+	1005	31	228	28	25	15	17	17	15
gene:PBANKA_120780	12	278644	279894	-	1251	13	113	10	14	22	15	24	13
gene:PBANKA_120790	12	281821	283011	+	1191	64	516	25	24	25	23	80	43
gene:PBANKA_120800	12	283492	285093	-	1602	315	3012	150	232	193	227	453	325
gene:PBANKA_120810	12	286682	290577	-	3896	175	1043	144	113	73	87	165	111
gene:PBANKA_120820	12	291819	300786	-	8968	549	3363	303	32	14	13	30	25
gene:PBANKA_120830	12	302850	305182	+	2333	13	166	20	15	15	18	14	10
gene:PBANKA_120840	12	305277	306070	-	794	21	221	13	21	60	47	68	49
gene:PBANKA_120850	12	307092	307952	+	861	14	55	4	7	7	2	7	8
gene:PBANKA_120860	12	308625	313424	-	4800	74	609	52	29	5	11	21	12
gene:PBANKA_120870	12	316029	316886	+	858	108	757	118	194	347	271	334	245
gene:PBANKA_120880	12	316902	318802	-	1901	335	2203	234	176	884	1046	1534	1095
gene:PBANKA_120890	12	319215	320830	+	1616	584	3161	391	825	1345	1134	1806	1335
gene:PBANKA_120900	12	321693	322458	-	766	212	2158	164	257	478	483	526	438
gene:PBANKA_120910	12	323980	325505	+	1526	52	521	36	84	175	133	146	116
gene:PBANKA_120920	12	325755	326621	-	867	27	209	23	26	38	33	53	19
gene:PBANKA_120930	12	327750	329343	+	1594	21	191	16	27	35	29	27	20
gene:PBANKA_120940	12	330196	331201	-	1006	2338	16469	2497	3630	6661	5765	9107	6980
gene:PBANKA_120950	12	333440	335909	-	2470	121	1030	61	71	51	70	92	92
gene:PBANKA_120960	12	337071	337809	+	739	73	485	32	88	241	196	173	146
gene:PBANKA_120970	12	338583	340382	+	1800	842	5250	422	794	1136	1095	987	784
gene:PBANKA_120980	12	340964	341776	-	813	76	571	24	68	92	74	68	50
gene:PBANKA_120990	12	343626	344153	-	528	6769	39494	6251	10202	21355	17329	28539	22297
gene:PBANKA_121000	12	344581	346221	-	1641	667	3513	532	1317	1332	1186	1483	1212
gene:PBANKA_121010	12	347921	349027	+	1107	262	1982	131	159	112	107	217	158
gene:PBANKA_121020	12	352527	355439	+	2913	1054	7095	1332	218	94	148	255	169
gene:PBANKA_121030	12	356633	358429	-	1797	213	1484	129	321	599	442	544	431
gene:PBANKA_121040	12	359711	362894	+	3184	14	108	11	8	24	24	21	18
gene:PBANKA_121050	12	364013	365236	-	1224	104	870	55	93	67	76	117	77
gene:PBANKA_121060	12	366887	367754	+	868	69	629	39	77	148	158	222	160
gene:PBANKA_121070	12	368785	369705	-	921	177	1720	91	223	164	148	122	94
gene:PBANKA_121080	12	371512	372668	-	1157	25	271	14	34	24	19	21	22
gene:PBANKA_121090	12	374296	376077	-	1782	1049	10488	462	801	352	351	508	419
gene:PBANKA_121100	12	378055	379689	-	1635	121	959	91	127	56	51	99	76
gene:PBANKA_121110	12	381367	385487	+	4121	78	659	37	30	6	6	20	12
gene:PBANKA_121120	12	386333	388597	+	2265	10	56	8	6	13	7	10	6
gene:PBANKA_121130	12	389502	390748	-	1247	238	2059	126	144	77	84	102	56
gene:PBANKA_121140	12	392636	394790	+	2155	62	387	16	56	60	58	42	31
gene:PBANKA_121150	12	395746	399502	-	3757	208	1559	332	207	46	59	108	88
gene:PBANKA_121160	12	403242	405725	+	2484	75	616	47	35	16	12	22	17
gene:PBANKA_121170	12	406535	408334	-	1800	64	501	33	41	20	26	32	21
gene:PBANKA_121180	12	409462	413073	-	3612	6	38	2	6	6	10	19	17
gene:PBANKA_121190	12	417082	421499	+	4418	624	4862	439	248	87	120	288	173
gene:PBANKA_121200	12	423305	429706	+	6402	229	1783	106	54	26	38	36	24
gene:PBANKA_121210	12	430294	431475	+	1182	4	55	4	20	24	18	2	6
gene:PBANKA_121220	12	432201	434105	+	1905	16	102	5	4	22	22	35	26
gene:PBANKA_121230	12	434958	438068	-	3111	157	1177	67	64	17	40	64	38
gene:PBANKA_121240	12	439589	441426	-	1838	29	234	9	25	66	45	76	59
gene:PBANKA_121250	12	442343	446305	+	3963	155	1151	55	47	20	36	79	54
gene:PBANKA_121260	12	447562	450257	+	2696	11	95	13	10	26	9	20	10
gene:PBANKA_121270	12	452608	458934	+	6327	241	2072	240	35	12	16	21	21
gene:PBANKA_121280	12	459751	460725	+	975	54	396	34	60	23	30	31	25
gene:PBANKA_121290	12	461823	465767	+	3945	638	5168	979	843	135	235	493	314
gene:PBANKA_121300	12	466419	473567	-	7149	787	4238	803	32	34	39	71	31
gene:PBANKA_121310	12	479822	480673	+	852	443	3685	180	432	343	297	291	249
gene:PBANKA_121320	12	481022	485132	-	4111	44	350	29	41	13	18	46	19
gene:PBANKA_121330	12	485759	491425	-	5667	137	1140	74	23	9	14	20	13
gene:PBANKA_121340	12	494313	495254	+	942	35	329	40	41	18	28	30	32
gene:PBANKA_121350	12	496177	497262	-	1086	22	142	29	29	15	7	17	14
gene:PBANKA_121360	12	498364	500998	-	2635	640	4776	267	434	524	582	1163	807
gene:PBANKA_121370	12	501704	503149	+	1446	1605	12988	1345	2165	2522	2945	6526	4557
gene:PBANKA_121380	12	503841	505166	+	1326	122	1059	69	109	88	88	90	81
gene:PBANKA_121390	12	505633	507234	-	1602	36	221	14	43	97	68	94	78
gene:PBANKA_121400	12	508279	510311	-	2033	179	1694	78	142	75	95	183	116
gene:PBANKA_121410	12	511142	513098	-	1957	28	199	13	27	46	27	21	29
gene:PBANKA_121420	12	514310	515798	+	1489	352	2850	156	395	330	333	353	282
gene:PBANKA_121430	12	517612	519171	+	1560	1649	14346	1165	1990	2623	2497	5026	3604
gene:PBANKA_121440	12	521354	522859	+	1506	174	1032	125	99	124	134	273	178
gene:PBANKA_121450	12	523602	524333	-	732	1	23	1	5	1	1	7	5
gene:PBANKA_121460	12	525766	527556	+	1791	324	2145	229	300	369	358	573	469
gene:PBANKA_121470	12	528411	531296	-	2886	451	3936	281	114	35	42	147	75
gene:PBANKA_121480	12	535453	537384	+	1932	1106	5895	1402	982	709	1236	1629	1209
gene:PBANKA_121490	12	537880	540236	-	2357	389	3102	445	469	345	338	468	296
gene:PBANKA_121500	12	541319	542714	-	1396	663	4011	604	1176	1100	828	862	750
gene:PBANKA_121510	12	544391	547681	+	3291	254	1647	82	47	35	39	100	61
gene:PBANKA_121520	12	547880	549103	-	1224	5	23	1	1	0	3	2	1
gene:PBANKA_121530	12	549558	550835	-	1278	70	464	65	84	102	74	66	60
gene:PBANKA_121540	12	551963	556498	-	4536	427	2921	558	209	79	111	177	144
gene:PBANKA_121550	12	558014	558592	+	579	135	919	192	423	2425	1779	1697	1297
gene:PBANKA_121560	12	560276	561558	+	1283	135	1239	127	300	222	195	177	138
gene:PBANKA_121570	12	562072	563148	-	1077	156	786	93	150	290	235	250	206
gene:PBANKA_121580	12	564565	572069	+	7505	273	1648	270	197	60	68	105	77
gene:PBANKA_121590	12	572649	576437	-	3789	60	326	41	17	3	3	18	7
gene:PBANKA_121600	12	578288	579199	+	912	410	2100	717	763	430	518	672	533
gene:PBANKA_121610	12	579524	581992	-	2469	19	164	31	53	40	27	44	26
gene:PBANKA_121620	12	584108	585790	+	1683	50	338	16	25	27	21	31	21
gene:PBANKA_121630	12	587113	591438	+	4326	329	1707	243	146	247	290	588	372
gene:PBANKA_121640	12	592086	594005	+	1920	9	78	1	7	23	13	20	18
gene:PBANKA_121650	12	595587	596099	+	513	241	2207	120	467	280	197	192	167
gene:PBANKA_121660	12	597007	601224	-	4218	1098	6427	678	654	820	808	1932	1437
gene:PBANKA_121670	12	604074	611258	-	7185	522	3746	676	80	32	42	118	94
gene:PBANKA_121680	12	614397	620268	+	5872	399	2356	272	34	39	36	61	40
gene:PBANKA_121690	12	620822	623157	-	2336	35	415	36	68	41	36	64	43
gene:PBANKA_121700	12	624405	627020	+	2616	67	395	28	44	25	23	32	24
gene:PBANKA_121710	12	627546	628953	-	1408	35	257	14	34	50	29	42	33
gene:PBANKA_121720	12	631396	634443	+	3048	49	321	12	28	38	39	62	34
gene:PBANKA_121730	12	635397	637487	+	2091	149	1185	68	158	109	100	111	82
gene:PBANKA_121740	12	638932	643782	+	4851	130	1057	50	25	4	17	25	18
gene:PBANKA_121750	12	644133	645919	-	1787	49	387	35	28	26	36	58	29
gene:PBANKA_121760	12	647437	648373	-	937	744	6858	598	1612	7560	6034	6445	5151
gene:PBANKA_121770	12	650715	652218	-	1504	405	3588	155	222	196	214	277	232
gene:PBANKA_121780	12	656023	657601	-	1579	50	415	35	62	98	58	84	69
gene:PBANKA_121790	12	658427	659586	+	1160	33	249	18	44	192	105	104	84
gene:PBANKA_121800	12	660231	661664	-	1434	27	189	17	30	17	23	41	23
gene:PBANKA_121810	12	666016	675630	+	9615	73727	604343	85939	9471	1059	1793	9558	5554
gene:PBANKA_121820	12	676881	678488	-	1608	153	1319	75	86	49	44	77	51
gene:PBANKA_121830	12	679769	681352	-	1584	504	3729	343	351	381	422	726	519
gene:PBANKA_121840	12	682140	683629	-	1490	315	2085	262	624	1065	1055	1317	992
gene:PBANKA_121850	12	685393	686883	-	1491	389	3215	259	810	1839	1510	1227	1063
gene:PBANKA_121860	12	689516	690355	+	840	92	934	50	136	103	69	66	47
gene:PBANKA_121870	12	691409	692731	+	1323	116	719	83	123	114	114	134	94
gene:PBANKA_121880	12	692987	701588	-	8602	101	633	54	45	43	42	85	75
gene:PBANKA_121890	12	703024	703776	-	753	66	455	44	87	332	281	314	284
gene:PBANKA_121900	12	704616	706973	-	2358	202	1361	213	187	132	124	109	102
gene:PBANKA_121910	12	708433	709345	-	913	1246	9382	659	1396	2189	1893	3668	2887
gene:PBANKA_121920	12	710252	710878	-	627	247	2883	110	416	296	244	236	206
gene:PBANKA_121930	12	714324	716834	+	2511	476	4440	248	164	62	77	113	84
gene:PBANKA_121940	12	718053	718913	-	861	15	87	7	16	14	7	7	6
gene:PBANKA_121950	12	720062	723231	+	3170	77	525	30	53	90	78	57	45
gene:PBANKA_121960	12	725135	728248	+	3114	46	315	21	14	6	7	14	7
gene:PBANKA_121970	12	728942	729688	-	747	134	884	70	142	133	92	96	54
gene:PBANKA_121980	12	730332	737588	-	7257	14	179	10	5	9	6	17	10
gene:PBANKA_121990	12	738873	742407	-	3535	130	719	64	40	16	22	47	34
gene:PBANKA_122000	12	743697	744274	+	578	70	501	38	73	98	74	67	44
gene:PBANKA_122010	12	744825	748455	-	3631	67	504	37	53	41	38	55	49
gene:PBANKA_122020	12	750377	752476	-	2100	9	83	1	4	2	7	8	2
gene:PBANKA_122030	12	754826	755959	-	1134	434	3168	524	587	174	180	256	199
gene:PBANKA_122040	12	757026	757223	+	198	108	615	168	304	170	117	90	95
