Geneid	Chr	Start	End	Strand	Length	SRR3134662	SRR3134663	SRR3134664	SRR3134665	SRR3134666	SRR3134667
gene:PF3D7_1241300	12	1757517	1759199	-	1683	6513	2324	2395	1863	2523	1590
gene:PF3D7_1241400	12	1760416	1766391	-	5976	13943	3378	3800	3450	3822	3712
gene:PF3D7_1241500	12	1771996	1773258	-	1263	2493	1368	1161	972	1396	1129
gene:PF3D7_1241600	12	1774901	1776582	+	1682	1661	545	597	606	614	650
gene:PF3D7_1241700	12	1778154	1779411	+	1258	8152	2639	2571	2660	2570	2567
gene:PF3D7_1241800	12	1780012	1782648	-	2637	10342	4458	4171	4726	5036	4575
gene:PF3D7_1241900	12	1784380	1786410	+	2031	15662	5871	6078	5544	6924	5687
gene:PF3D7_1242000	12	1787236	1788831	-	1596	12320	4754	4987	4800	5509	5588
gene:PF3D7_1242100	12	1790557	1790763	+	207	200	164	112	47	130	81
gene:PF3D7_1242200	12	1791156	1793075	+	1920	8639	3241	3377	2953	3556	2803
gene:PF3D7_1242300	12	1793532	1794835	-	1304	2113	812	747	834	962	734
gene:PF3D7_1242400	12	1795845	1797860	+	2016	1136	474	543	309	621	390
gene:PF3D7_1242500	12	1798643	1799788	+	1146	2766	1063	1000	825	1030	767
gene:PF3D7_1242600	12	1800562	1802310	+	1749	2720	1164	1047	949	1166	1008
gene:PF3D7_1242700	12	1803653	1804483	+	831	19048	6584	6778	7524	7897	7250
gene:PF3D7_1242800	12	1805380	1807356	-	1977	17249	5726	6613	6487	7834	6586
gene:PF3D7_1242900	12	1808878	1809622	-	745	5860	2155	2098	2257	2460	2209
gene:PF3D7_1243000	12	1811790	1812698	+	909	7146	3041	2976	3108	3442	3045
gene:PF3D7_1243100	12	1813507	1814235	-	729	6823	2917	2571	3078	2837	2909
gene:PF3D7_1243200	12	1815311	1815562	+	252	131	102	105	47	87	57
gene:PF3D7_1243300	12	1816069	1816448	-	380	129	74	34	87	36	69
gene:PF3D7_1243400	12	1818738	1820069	+	1332	68	89	48	74	46	67
gene:PF3D7_1243500	12	1820881	1822595	-	1715	6281	2253	2028	2357	2193	2059
gene:PF3D7_1243600	12	1825959	1826884	+	926	13391	3848	4421	3999	5001	3559
gene:PF3D7_1243700	12	1829660	1831057	+	1398	9127	3473	3401	3556	4004	3415
gene:PF3D7_1243800	12	1831484	1832949	-	1466	597	278	222	253	285	260
gene:PF3D7_1243900	12	1834064	1840736	-	6673	34770	12142	12684	12258	14270	12877
gene:PF3D7_1244000	12	1842399	1845651	-	3253	9004	3823	3275	3630	3754	3322
gene:PF3D7_1244100	12	1847677	1852156	+	4480	6355	2918	2786	2514	3310	2448
gene:PF3D7_1244200	12	1852844	1855681	-	2838	6877	2640	2558	2476	2911	2327
gene:PF3D7_1244400	12	1859656	1863846	+	4191	4344	1904	1712	1714	1973	1738
gene:PF3D7_1244500	12	1864229	1866661	-	2433	5425	2281	2042	2031	2377	1966
gene:PF3D7_1244600	12	1868533	1869531	-	999	4638	1599	1693	1505	1743	1371
gene:PF3D7_1244700	12	1871919	1872911	+	993	17662	6199	6362	6855	6998	6836
gene:PF3D7_1244800	12	1873194	1875287	-	2094	8024	3147	3247	3164	3456	2928
gene:PF3D7_1244900	12	1877039	1880041	+	3003	3879	1602	1553	1673	1818	1623
gene:PF3D7_1245000	12	1880036	1881406	-	1371	5301	1773	2048	1258	2171	1313
gene:PF3D7_1245100	12	1883469	1887681	+	4213	9216	3357	3452	2771	3971	2726
gene:PF3D7_1245200	12	1888250	1892698	-	4449	1027	489	428	440	541	426
gene:PF3D7_1245300	12	1893069	1893903	+	835	301	149	96	139	83	89
gene:PF3D7_1245400	12	1894942	1895967	+	1026	6405	2314	2287	2393	2609	2388
gene:PF3D7_1245500	12	1896891	1899837	+	2947	3245	1366	1206	1313	1386	1230
gene:PF3D7_1245600	12	1900249	1905066	-	4818	9492	3963	3425	3444	3957	3118
gene:PF3D7_1245800	12	1908149	1909764	+	1616	11361	4684	3887	4663	4361	4328
gene:PF3D7_1245900	12	1910963	1911898	+	936	322	173	127	132	139	131
gene:PF3D7_1246000	12	1912457	1914595	+	2139	4080	1487	1462	1555	1697	1624
gene:PF3D7_1246100	12	1915749	1917798	+	2050	8778	3227	3252	3066	3735	2933
gene:PF3D7_1246200	12	1920784	1921914	+	1131	507308	152462	176846	184245	202505	183965
gene:PF3D7_1246300	12	1925642	1929438	+	3797	7904	2770	2668	2515	2823	2253
gene:PF3D7_1246400	12	1931970	1932584	+	615	207472	64124	71015	75229	78722	76805
gene:PF3D7_1246500	12	1933761	1935467	-	1707	1849	818	715	722	850	774
gene:PF3D7_1246600	12	1936522	1937694	+	1173	14853	5058	5474	5528	5993	5885
gene:PF3D7_1246700	12	1938643	1939965	+	1323	4050	1812	1646	1791	2123	1931
gene:PF3D7_1246800	12	1941365	1942491	+	1127	10075	3952	3892	3752	4319	3588
gene:PF3D7_1246900	12	1943358	1945803	-	2446	23203	8647	8394	8733	9170	8382
gene:PF3D7_1247000.2	12	1946914	1948733	+	1820	0	0	0	0	0	0
gene:PF3D7_1247000.1	12	1946914	1948733	+	1820	0	0	0	0	0	0
gene:PF3D7_1247100	12	1949594	1950493	+	900	1497	722	650	624	695	618
gene:PF3D7_1247200	12	1950989	1951513	-	525	2324	941	800	832	909	881
gene:PF3D7_1247300	12	1952568	1954624	+	2057	2266	986	838	851	907	918
gene:PF3D7_1247400	12	1955124	1956038	-	915	3677	1550	1417	1423	1679	1338
gene:PF3D7_1247500	12	1959612	1962341	+	2730	15175	4491	4854	4233	5228	3895
gene:PF3D7_1247600	12	1962774	1964258	-	1485	940	440	509	266	510	378
gene:PF3D7_1247700	12	1964862	1966025	-	1164	4066	1258	1344	1247	1528	1314
gene:PF3D7_1247800	12	1968163	1971074	+	2912	245204	98735	79263	103998	86815	95881
gene:PF3D7_1247900	12	1972438	1973076	+	639	2615	971	922	1045	948	926
gene:PF3D7_1248000	12	1973584	1974246	+	663	458	241	180	161	230	141
gene:PF3D7_1248100	12	1975172	1976437	+	1266	6808	2816	2675	2585	3103	2559
gene:PF3D7_1248200	12	1977865	1978938	+	1074	15863	5705	6165	5964	6868	6321
gene:PF3D7_1248300	12	1979786	1980199	-	414	1567	602	604	598	634	563
gene:PF3D7_1248400	12	1981906	1982763	+	858	269651	106504	100217	107369	111554	113979
gene:PF3D7_1248500	12	1983480	1984349	-	870	33981	10157	10866	10494	12014	9657
gene:PF3D7_1248600	12	1988237	1990745	+	2509	6213	2063	2301	1903	2462	2101
gene:PF3D7_1248700	12	1994775	2000744	+	5970	47753	15040	16655	14385	18548	14711
gene:PF3D7_1248800	12	2001987	2002271	+	285	2750	1001	983	1170	1094	1112
gene:PF3D7_1248900	12	2002723	2004030	-	1308	31008	10975	12017	12521	13991	12163
gene:PF3D7_1249000	12	2005175	2007193	-	2019	826	364	333	286	368	314
gene:PF3D7_1249100	12	2008194	2009708	+	1515	38914	16083	14157	17208	15982	16697
gene:PF3D7_1249200	12	2010428	2011101	+	674	1196	512	461	383	532	424
gene:PF3D7_1249300	12	2012643	2015726	+	3084	11129	4005	4193	3937	4850	3712
gene:PF3D7_1249400	12	2016325	2016756	-	432	2793	969	1009	1071	1073	1039
gene:PF3D7_1249500	12	2017364	2018469	-	1106	2448	725	768	601	784	603
gene:PF3D7_1249600	12	2018995	2022007	-	3013	6314	2125	2467	1958	2879	1967
gene:PF3D7_1249700	12	2023455	2026181	-	2727	2919	1337	1177	1209	1375	1101
gene:PF3D7_1249800	12	2030004	2039852	-	9849	8384	3354	3412	3075	4626	3132
gene:PF3D7_1249900	12	2041293	2043212	-	1920	10390	3526	3711	3126	4103	2941
gene:PF3D7_1250000	12	2044120	2044626	+	507	9057	2932	3263	3481	3723	3422
gene:PF3D7_1250100	12	2045070	2054429	-	9360	18540	6293	5817	5747	6128	5738
gene:PF3D7_1250200	12	2059108	2063227	+	4120	6614	1955	2250	2118	2483	2119
gene:PF3D7_1250300	12	2064987	2066040	+	1054	14079	4243	4801	4713	5300	4632
gene:PF3D7_1250400	12	2067400	2069370	+	1971	160749	63993	63778	55169	70514	66227
gene:PF3D7_1250500	12	2070094	2071073	+	980	2531	972	930	1009	1008	923
gene:PF3D7_1250600	12	2071602	2073641	-	2040	9557	3921	3562	3803	4279	3422
gene:PF3D7_1250700	12	2075792	2076517	+	726	964	567	433	532	523	476
gene:PF3D7_1250800	12	2077718	2082887	+	5170	8847	4053	3012	3561	3300	3280
gene:PF3D7_1250900	12	2083353	2084318	-	966	174	73	63	66	74	48
gene:PF3D7_1251000	12	2085370	2086959	-	1590	11358	3879	4113	4503	4452	4341
gene:PF3D7_1251100	12	2089484	2090220	+	737	3346	1239	1245	1479	1407	1435
gene:PF3D7_1251200	12	2092087	2094231	+	2145	9990	3498	3478	3778	3864	3657
gene:PF3D7_1251300	12	2095062	2096508	-	1447	17732	6061	5933	7125	6944	7361
gene:PF3D7_1251400	12	2097436	2098845	-	1410	1244	523	498	356	542	446
gene:PF3D7_1251500	12	2099852	2101969	+	2118	7561	2842	2672	2814	2983	2688
gene:PF3D7_1251600	12	2103117	2105255	+	2139	8939	3330	3553	3002	3841	3045
gene:PF3D7_1251700	12	2106216	2108293	-	2078	3554	1372	1301	1197	1348	1152
gene:PF3D7_1251800	12	2108960	2110927	-	1968	7696	2974	3197	2641	3531	2464
gene:PF3D7_1252100	12	2114628	2122487	-	7860	950	835	389	657	404	601
gene:PF3D7_1252200	12	2125435	2126571	+	1137	2151	1221	685	1125	716	924
gene:PF3D7_1252300	12	2128400	2128786	-	387	439	270	139	271	194	206
gene:PF3D7_1252500	12	2145266	2146616	-	1351	2392	1058	954	971	1033	909
gene:PF3D7_1252600	12	2150554	2151915	+	1362	588	293	192	306	178	282
gene:PF3D7_1252700	12	2154618	2156124	+	1507	8087	2691	2827	2639	3141	2477
gene:PF3D7_1252800	12	2159573	2161615	+	2043	908	463	328	391	405	351
gene:PF3D7_1252900	12	2162707	2163145	-	439	84	73	36	82	22	58
gene:PF3D7_1253000	12	2168181	2169759	+	1579	3720	1367	1295	1288	1315	1324
gene:PF3D7_1253100	12	2171342	2172349	+	1008	785	433	343	295	434	256
gene:PF3D7_1253200	12	2173799	2174322	-	524	80	47	51	28	44	33
gene:PF3D7_1253400	12	2180419	2182869	+	2451	141	78	37	72	38	50
gene:PF3D7_1253500	12	2183464	2184168	-	705	13	5	1	3	0	1
gene:PF3D7_1253700	12	2190483	2191770	-	1288	6	0	3	2	6	2
gene:PF3D7_1253800	12	2196157	2197122	+	966	2	1	1	0	0	0
gene:PF3D7_1254000	12	2201495	2202686	+	1192	2	3	1	3	0	3
gene:PF3D7_1254100	12	2204724	2205714	+	991	3	0	0	2	3	0
gene:PF3D7_1254200	12	2207830	2209115	+	1286	38	6	17	4	16	4
gene:PF3D7_1254300	12	2211543	2212554	+	1012	0	0	0	0	0	3
gene:PF3D7_1254400	12	2214671	2216019	+	1349	3	0	3	1	1	1
gene:PF3D7_1254500	12	2218452	2219533	+	1082	0	0	3	0	0	1
gene:PF3D7_1254600	12	2221835	2222848	+	1014	2	1	0	1	0	0
gene:PF3D7_1254700	12	2224997	2226201	-	1205	11	2	1	1	7	6
gene:PF3D7_1254800	12	2228632	2229740	-	1109	1	3	7	2	0	4
gene:PF3D7_1254900	12	2232691	2232903	+	213	0	0	0	0	0	0
gene:PF3D7_1255000	12	2234600	2235792	+	1193	0	0	0	0	1	2
gene:PF3D7_1255100	12	2238210	2239417	+	1208	9	21	6	9	6	10
gene:PF3D7_1255200	12	2241271	2248962	-	7692	62	823	16	727	28	567
gene:PF3D7_1300100	13	21364	28787	+	7424	4143	1425	1536	1485	1759	1605
gene:PF3D7_1300200	13	30605	31881	-	1277	1282	141	451	129	465	107
gene:PF3D7_1300300	13	33959	44742	-	10784	578	102	168	111	232	117
gene:PF3D7_1300400	13	47583	48769	+	1187	3	4	1	5	4	6
gene:PF3D7_1300500	13	50662	51857	+	1196	58	37	15	24	13	25
gene:PF3D7_1300600	13	54067	55259	-	1193	43	19	8	19	11	17
gene:PF3D7_1300700	13	57109	58422	-	1314	57	20	9	13	17	16
gene:PF3D7_1300800	13	60097	61172	-	1076	25	6	5	5	5	5
gene:PF3D7_1300900	13	62515	63547	-	1033	7	4	5	3	3	5
gene:PF3D7_1301200	13	73099	74413	-	1315	420	307	144	317	164	247
gene:PF3D7_1301400	13	82718	84018	+	1301	607	466	184	343	189	340
gene:PF3D7_1301500	13	85563	86624	-	1062	686	395	253	359	286	301
gene:PF3D7_1301600	13	89319	93352	-	4034	3360	1713	1083	1531	1191	1312
gene:PF3D7_1301700	13	99548	100521	+	974	223	172	69	149	97	136
gene:PF3D7_1301900	13	109695	110268	-	574	5215	1608	1855	1486	2034	1672
gene:PF3D7_1302000	13	112792	113815	-	1024	788	417	259	399	300	286
gene:PF3D7_1302100	13	121636	122289	-	654	36839	14460	12101	16362	13108	15618
gene:PF3D7_1302200	13	123726	124415	-	690	88	25	38	29	37	32
gene:PF3D7_1302300	13	126611	127141	-	531	1569	387	407	415	407	397
gene:PF3D7_1302400	13	129717	131086	-	1370	65228	25474	21893	27927	24341	27901
gene:PF3D7_1302500	13	131849	140594	-	8746	13287	4973	5068	4926	6038	4600
gene:PF3D7_1302600	13	142860	144095	-	1236	3178	1355	1213	1351	1458	1232
gene:PF3D7_1302700	13	145174	150198	+	5025	8219	3546	3069	3219	3397	2812
gene:PF3D7_1302800	13	150783	151635	-	853	18314	7136	7041	7576	7803	7753
gene:PF3D7_1302900	13	154992	157394	+	2403	1797	853	676	740	736	735
gene:PF3D7_1303000	13	158144	158778	+	635	8649	3322	3168	3797	3384	3544
gene:PF3D7_1303100	13	159024	159915	+	892	6947	2226	2283	2529	2574	2771
gene:PF3D7_1303200.2	13	160488	161660	-	1173	0	0	0	0	0	0
gene:PF3D7_1303200.1	13	160488	161660	-	1173	0	0	0	0	0	0
gene:PF3D7_1303300	13	162917	163879	+	963	901	448	495	283	536	381
gene:PF3D7_1303400	13	165013	168081	-	3069	14868	5475	5649	5381	6614	5047
gene:PF3D7_1303500	13	169874	175789	-	5916	21552	8215	8231	7508	9890	7167
gene:PF3D7_1303600	13	178783	179353	+	571	1140	463	447	357	450	331
gene:PF3D7_1303700	13	180549	184517	+	3969	4666	1958	1974	1672	2301	1782
gene:PF3D7_1303800	13	184845	212660	-	27816	14594	4842	5896	4691	7026	5371
gene:PF3D7_1303900	13	215291	216331	+	1041	6821	2312	2506	2612	3009	2426
gene:PF3D7_1304000	13	216652	220029	-	3378	15464	5506	5934	4866	6952	4711
gene:PF3D7_1304100	13	221816	224720	-	2905	1144	420	415	398	458	366
gene:PF3D7_1304200.1	13	226669	228290	-	1622	0	0	0	0	0	0
gene:PF3D7_1304200.2	13	226669	228873	-	2205	5	3	2	1	0	2
gene:PF3D7_1304300	13	231083	231724	+	642	324	145	114	106	139	140
gene:PF3D7_1304400	13	232493	234447	-	1955	5245	2151	2108	1924	2529	1860
gene:PF3D7_1304500	13	235800	236435	-	636	11905	4720	4654	5107	5482	5431
gene:PF3D7_1304600	13	237361	241233	+	3873	724	428	323	302	406	312
gene:PF3D7_1304700	13	241657	243192	+	1536	1847	731	718	641	758	661
gene:PF3D7_1304900	13	245199	246175	+	977	1708	823	623	745	802	702
gene:PF3D7_1305000	13	247312	251751	+	4440	7650	3346	3044	2832	3521	2683
gene:PF3D7_1305100	13	252526	253788	-	1263	5017	1828	1678	1773	1977	1773
gene:PF3D7_1305200	13	255130	256116	+	987	3077	1225	1216	1132	1376	1187
gene:PF3D7_1305300	13	256430	267182	-	10753	5865	2904	2486	2436	3149	2225
gene:PF3D7_1305400	13	268785	270737	-	1953	2864	1212	1249	1126	1317	1182
gene:PF3D7_1305500	13	271411	273726	+	2316	327	201	175	114	187	149
gene:PF3D7_1305600	13	274073	275200	-	1128	2661	1056	841	996	899	821
gene:PF3D7_1305700	13	277139	277729	+	591	1127	483	375	466	422	391
gene:PF3D7_1305800	13	278294	279133	+	840	313	157	148	101	167	119
gene:PF3D7_1305900	13	279990	281701	-	1712	6261	2780	2303	2698	2703	2920
gene:PF3D7_1306000	13	283475	287500	+	4026	367	388	180	233	180	222
gene:PF3D7_1306100	13	288163	288561	+	399	1184	485	482	494	505	485
gene:PF3D7_1306200	13	289564	291000	-	1437	2468	1005	843	888	983	859
gene:PF3D7_1306300	13	293442	296607	+	3166	2250	925	885	980	1039	964
gene:PF3D7_1306400	13	297178	298359	-	1182	26450	9069	9478	9840	10647	9313
gene:PF3D7_1306500	13	300988	313929	+	12942	5691	2635	2480	2222	3079	2235
gene:PF3D7_1306600	13	315042	316784	-	1743	2319	897	830	853	929	674
gene:PF3D7_1306700	13	318332	319735	-	1404	1535	716	571	722	602	616
gene:PF3D7_1306800	13	320815	322017	-	1203	3080	1194	1114	1158	1225	1061
gene:PF3D7_1306900	13	323472	325032	+	1561	6339	2296	2251	2036	2433	1875
gene:PF3D7_1307000	13	325215	326371	-	1157	897	518	352	516	445	533
gene:PF3D7_1307100	13	327893	330928	+	3036	1090	691	452	534	484	528
gene:PF3D7_1307200	13	331558	332526	-	969	15799	6101	5921	6136	6035	6524
gene:PF3D7_1307300	13	333597	335489	+	1893	3470	1716	1379	1241	1597	1210
gene:PF3D7_1307400	13	335852	337263	-	1412	703	273	219	243	229	300
gene:PF3D7_1307500	13	338189	338455	-	267	2734	828	987	912	1112	940
gene:PF3D7_1307600	13	339927	341888	-	1962	6771	2420	2369	2520	2835	2187
gene:PF3D7_1307700	13	344525	348232	+	3708	5756	2149	1994	1806	2301	1587
gene:PF3D7_1307800	13	348743	350788	-	2046	5352	2444	2028	2145	2200	2090
gene:PF3D7_1307900	13	351840	354818	-	2979	1674	871	738	594	900	706
gene:PF3D7_1308000	13	356709	359201	+	2493	5912	2454	2239	2166	2547	2078
gene:PF3D7_1308100	13	360169	360627	+	459	3119	1162	1143	1217	1263	1314
gene:PF3D7_1308200	13	361166	368495	-	7330	12602	5386	4887	5029	5803	4970
gene:PF3D7_1308300	13	372260	372646	+	387	24527	6722	8297	7708	9246	7618
gene:PF3D7_1308400	13	373487	392072	-	18586	7349	3173	2748	2720	3457	2569
gene:PF3D7_1308500	13	393857	394936	-	1080	4676	1622	1775	1360	1856	1565
gene:PF3D7_1308600	13	396734	400951	-	4218	339	207	160	165	197	139
gene:PF3D7_1308700	13	401577	403400	+	1824	2297	965	1020	935	1024	1008
gene:PF3D7_1308800	13	403788	406703	-	2916	12075	4269	4090	4875	4725	4583
gene:PF3D7_1308900	13	408580	412101	-	3522	12992	3814	4193	3733	4572	3441
gene:PF3D7_1309000	13	415916	416998	-	1083	5213	1831	1812	1904	2085	1702
gene:PF3D7_1309100	13	418820	420121	+	1302	27047	8893	9712	9765	10421	9788
gene:PF3D7_1309200	13	424232	427036	+	2805	19102	6937	7125	6428	7941	6037
gene:PF3D7_1309300	13	427457	429643	-	2187	19687	6597	7011	6090	8044	6026
gene:PF3D7_1309400	13	431892	435875	+	3984	112354	42810	37670	41303	40025	41623
gene:PF3D7_1309500	13	436676	437305	-	630	1799	663	635	629	748	681
gene:PF3D7_1309600	13	438510	439376	+	867	1705	474	676	526	728	555
gene:PF3D7_1309700	13	440265	445283	+	5019	1957	904	779	821	956	651
gene:PF3D7_1309800	13	445611	446658	-	1048	5494	1885	1767	1987	1925	2012
gene:PF3D7_1309900	13	447424	448101	+	678	809	331	354	373	388	406
gene:PF3D7_1310000	13	448907	449668	+	762	3458	1810	1874	1027	2245	1367
gene:PF3D7_1310100	13	450398	453415	+	3018	800	436	342	320	458	311
gene:PF3D7_1310200	13	454061	454636	+	576	522	226	160	217	178	217
gene:PF3D7_1310300	13	455792	456535	-	744	614	267	276	259	257	227
gene:PF3D7_1310400	13	458961	462368	+	3408	4782	2023	1881	1821	1949	1646
gene:PF3D7_1310500	13	463385	464002	-	618	1357	558	473	458	570	476
gene:PF3D7_1310600	13	465091	466552	-	1462	1880	781	667	844	785	744
gene:PF3D7_1310700	13	468232	468663	-	432	34024	11987	9831	13381	10419	12413
gene:PF3D7_1310800	13	470595	475002	-	4408	4333	2283	1514	2042	1731	1672
gene:PF3D7_1310900	13	476223	477134	+	912	4811	2021	1694	2207	1950	2112
gene:PF3D7_1311000	13	477424	477852	-	429	904	391	302	413	385	357
gene:PF3D7_1311100	13	479353	480840	+	1488	1197	506	437	465	500	450
gene:PF3D7_1311200	13	481499	483082	-	1584	3592	1556	1573	1074	1737	1187
gene:PF3D7_1311300	13	484205	485463	+	1259	3256	1033	1118	958	1188	958
gene:PF3D7_1311400	13	487511	488824	+	1314	4320	1614	1770	1562	1926	1461
gene:PF3D7_1311500	13	489927	491609	-	1683	12754	4762	4643	5106	5346	4540
gene:PF3D7_1311600	13	494453	496294	+	1842	14552	5613	5831	5032	6770	5360
gene:PF3D7_1311700	13	497534	498013	-	480	14536	5233	4863	6113	5268	6312
gene:PF3D7_1311800	13	501790	505047	+	3258	9463	3828	3683	3834	4245	3471
gene:PF3D7_1311900	13	507900	509735	+	1836	7657	2769	2564	2806	2825	2530
gene:PF3D7_1312000	13	511396	512607	+	1212	11296	4268	4238	4291	4895	4549
gene:PF3D7_1312100	13	513068	517326	-	4259	7086	3975	3243	2966	3749	3062
gene:PF3D7_1312200	13	518107	519367	+	1261	2748	1180	1164	977	1341	1026
gene:PF3D7_1312300	13	519599	520441	-	843	2679	1072	949	1161	1039	1049
gene:PF3D7_1312400	13	521050	524436	+	3387	3883	1728	1268	1466	1335	1345
gene:PF3D7_1312450	13	525028	525219	-	192	963	348	278	346	294	351
gene:PF3D7_1312500	13	526863	527060	-	198	2263	854	788	896	875	835
gene:PF3D7_1312600	13	529976	531265	+	1290	26728	9494	9626	10848	11009	10492
gene:PF3D7_1312700	13	532270	533958	-	1689	9150	3189	3182	3249	3693	3289
gene:PF3D7_1312800	13	536702	544523	-	7822	34686	12998	12083	11901	14143	12496
gene:PF3D7_1312900	13	548586	552841	+	4256	24535	7740	8342	7173	9440	6756
gene:PF3D7_1313000	13	553752	554251	-	500	1680	672	554	665	622	662
gene:PF3D7_1313100	13	556285	565251	+	8967	480	383	201	263	236	224
gene:PF3D7_1313200	13	566236	568233	+	1998	166	126	83	99	86	97
gene:PF3D7_1313300	13	568664	569535	+	872	2073	824	772	920	869	930
gene:PF3D7_1313400	13	569840	572332	-	2493	3531	1276	1441	1102	1438	1298
gene:PF3D7_1313500	13	573169	578479	-	5311	1345	531	458	446	511	469
gene:PF3D7_1313600	13	579526	585615	-	6090	7169	2097	2475	1831	2523	1705
gene:PF3D7_1313700	13	587015	587809	-	795	4136	1496	1451	1516	1684	1548
gene:PF3D7_1313800	13	588800	599198	-	10399	2926	1764	1356	1262	1642	1258
gene:PF3D7_1313900	13	600666	601868	-	1203	876	431	456	242	488	276
gene:PF3D7_1314000	13	602983	606600	+	3618	3780	1428	1450	1197	1728	1142
gene:PF3D7_1314100	13	607794	610052	+	2259	4555	1639	1614	1489	1805	1522
gene:PF3D7_1314200	13	611332	618888	+	7557	1568	725	458	686	572	644
gene:PF3D7_1314300	13	619131	620525	-	1395	1920	809	659	771	697	759
gene:PF3D7_1314400	13	621387	621876	-	490	2959	1092	1167	1099	1227	1120
gene:PF3D7_1314500	13	622691	623715	-	1025	2755	1196	1027	1232	1221	1248
gene:PF3D7_1314600	13	624785	626011	+	1227	759	404	286	337	327	302
gene:PF3D7_1314700	13	626481	628675	-	2195	9066	3715	3226	3689	3502	3387
gene:PF3D7_1314800	13	629766	630444	-	679	277	114	106	126	107	133
gene:PF3D7_1314900	13	632336	634510	+	2175	3336	1452	1197	1294	1285	1160
gene:PF3D7_1315000	13	636812	637612	+	801	819	538	461	255	489	358
gene:PF3D7_1315100	13	638286	639389	+	1104	2404	1067	914	1026	933	989
gene:PF3D7_1315200	13	639681	642890	-	3210	2051	1241	867	1010	1052	984
gene:PF3D7_1315300	13	644714	646392	+	1679	13160	4439	5152	4144	5607	4649
gene:PF3D7_1315400	13	647986	650511	-	2526	16157	5244	5533	5309	6359	5211
gene:PF3D7_1315500	13	652794	653838	-	1045	2216	843	889	813	1005	781
gene:PF3D7_1315600	13	655207	657259	-	2053	10523	2885	3435	2816	3664	2322
gene:PF3D7_1315700	13	658595	659545	+	951	12835	3959	4240	4069	4439	4194
gene:PF3D7_1315800	13	660018	661262	-	1245	6227	2414	2644	2033	2945	2444
gene:PF3D7_1315900	13	663741	667929	+	4189	6779	2823	3042	2738	3607	2577
gene:PF3D7_1316000	13	668360	670745	-	2386	204099	78716	75377	83359	86750	84744
gene:PF3D7_1316100	13	673717	678522	+	4806	2005	738	695	580	810	621
gene:PF3D7_1316200	13	680039	680855	+	817	1014	423	365	277	379	351
gene:PF3D7_1316300	13	681363	682149	-	787	78393	32087	25247	35620	28252	33155
gene:PF3D7_1316400	13	683084	684476	+	1393	3080	933	1145	941	1053	986
gene:PF3D7_1316500	13	685951	688671	+	2721	6624	2440	2327	2753	2723	2695
gene:PF3D7_1316600	13	691014	694125	+	3112	3360	1485	1334	1413	1427	1182
gene:PF3D7_1316700	13	695732	697985	+	2254	58841	22745	21308	23173	23733	23856
gene:PF3D7_1316800	13	698218	699922	-	1705	5887	2256	2192	2369	2483	2303
gene:PF3D7_1316900	13	701047	703923	-	2877	4094	1527	1653	1240	1660	1284
gene:PF3D7_1317000	13	708346	710268	+	1923	2522	1272	1057	1117	1184	1023
gene:PF3D7_1317100	13	711944	714961	+	3018	40968	13969	14305	13489	16305	12294
gene:PF3D7_1317200	13	721961	729979	+	8019	15224	3850	4734	3257	4447	3422
gene:PF3D7_1317300	13	730859	732293	-	1435	3405	1391	1251	1413	1472	1442
gene:PF3D7_1317400	13	733245	733862	+	618	6342	2765	2513	2848	2647	2824
gene:PF3D7_1317500	13	734604	734873	-	270	845	417	283	292	333	314
gene:PF3D7_1317600	13	735538	738068	+	2531	3503	1585	1472	1380	1486	1309
gene:PF3D7_1317700	13	738480	738953	-	474	1557	503	532	501	630	482
gene:PF3D7_1317800	13	740527	741454	+	928	13372	4285	4438	4306	4888	4000
gene:PF3D7_1317900	13	741926	744850	-	2925	2035	1115	835	965	1054	878
gene:PF3D7_1318000	13	745947	746525	-	579	39	10	7	17	17	16
gene:PF3D7_1318100	13	748387	748971	-	585	2752	1165	1045	1288	1291	1242
gene:PF3D7_1318200	13	750316	751518	+	1203	2501	1268	888	1017	1051	1022
gene:PF3D7_1318300	13	753910	759432	+	5523	11603	4078	4068	3548	4775	3513
gene:PF3D7_1318400	13	760326	764139	-	3814	19462	7533	6952	6806	7750	6390
gene:PF3D7_1318500	13	766140	767770	+	1631	1306	550	617	449	699	551
gene:PF3D7_1318600	13	768049	769650	+	1602	6650	2342	2461	2489	2981	2668
gene:PF3D7_1318700	13	770646	772895	-	2250	36637	15144	13954	13794	15571	15798
gene:PF3D7_1318800	13	774790	776745	-	1956	22198	8094	7828	8166	8678	7799
gene:PF3D7_1318900	13	779934	781679	+	1746	4793	2285	1812	2308	2050	2225
gene:PF3D7_1319000	13	784110	786992	+	2883	18680	6385	6615	6022	7350	5962
gene:PF3D7_1319100	13	789437	791848	+	2412	1173	549	526	440	709	427
gene:PF3D7_1319200	13	792381	794987	-	2607	5495	2142	2265	1886	2453	2020
gene:PF3D7_1319300	13	795939	798353	-	2415	4585	2152	1957	2114	2423	2094
gene:PF3D7_1319400	13	801712	806029	+	4318	29120	10280	10567	9924	12202	9544
gene:PF3D7_1319500	13	807219	807443	+	225	337	143	101	114	118	142
gene:PF3D7_1319600	13	810187	815088	+	4902	39118	12171	13870	10580	15234	10648
gene:PF3D7_1319700	13	815822	818398	-	2577	9428	3555	3928	3289	4428	3418
gene:PF3D7_1319800	13	820741	821178	+	438	24300	8118	8475	8255	9819	7935
