Geneid	Chr	Start	End	Strand	Length	SRR1605330	SRR1605331	SRR1605332	SRR1605333	SRR1605334	SRR1605335	SRR1605336	SRR1605337	SRR1605338	SRR1605339	SRR1605340	SRR1605341	SRR1605342	SRR1605343	SRR1605344	SRR1605345	SRR1605346	SRR1605347
PF3D7_1118500	11	703175	704959	+	1785	365	484	201	185	187	147	277	276	177	202	141	157	273	290	342	429	130	130
PF3D7_1118600	11	705556	707382	-	1827	151	336	150	157	159	137	148	134	106	116	84	84	181	156	110	123	99	80
PF3D7_1118700	11	708526	712863	-	4338	49	159	60	94	736	500	25	34	34	37	220	214	27	28	43	54	382	259
PF3D7_1118800	11	714117	716287	-	2171	5	14	24	38	37	49	9	2	18	16	30	12	6	8	20	27	27	20
PF3D7_1118900	11	716795	718412	+	1618	1	3	13	20	17	17	0	1	10	7	4	6	2	1	8	10	6	12
PF3D7_1119000	11	718650	719765	-	1116	34	70	301	321	141	178	22	19	173	200	103	99	22	20	183	218	167	168
PF3D7_1119100	11	720992	722273	+	1282	86	94	113	155	52	67	108	92	77	78	28	38	107	104	121	128	26	42
PF3D7_1119200	11	722717	723289	-	573	74	79	21	31	7	18	120	100	33	24	11	17	154	172	70	84	6	8
PF3D7_1119300	11	724855	725739	-	885	92	170	188	204	76	89	160	116	180	139	107	96	146	149	160	186	112	79
PF3D7_1119400	11	727896	734339	+	6444	66	130	150	127	178	125	30	31	143	135	99	106	37	39	131	192	138	162
PF3D7_1119500	11	736069	737735	+	1667	33	58	87	158	52	53	55	62	68	81	54	71	77	63	78	84	53	97
PF3D7_1119600	11	738513	741671	-	3159	59	112	177	207	71	105	67	60	163	171	64	34	44	57	218	238	74	39
PF3D7_1119700	11	744874	745932	+	1059	29	70	16	20	101	79	14	13	8	6	51	46	22	18	17	21	54	45
PF3D7_1119800	11	746854	747456	-	603	61	121	95	80	65	51	100	82	38	51	42	46	103	66	68	60	43	65
PF3D7_1119900	11	749152	754401	+	5250	126	210	121	104	137	120	63	54	72	54	69	56	72	73	86	108	133	86
PF3D7_1120000	11	756192	760435	+	4244	571	1045	388	422	456	370	305	316	494	423	135	188	307	403	600	641	194	149
PF3D7_1120100	11	761695	762818	+	1124	2260	2546	2222	2018	442	586	4466	3196	1825	1650	424	357	2441	2168	1202	1396	564	580
PF3D7_1120200	11	765033	765625	+	593	26	110	61	84	110	129	75	39	57	44	129	161	62	69	83	65	162	182
PF3D7_1120300	11	766759	768460	+	1702	23	19	46	60	55	66	9	11	36	39	38	32	10	5	44	51	62	39
PF3D7_1120400	11	769252	770600	-	1349	67	204	50	74	25	39	153	126	33	34	23	28	179	155	76	80	26	23
PF3D7_1120500	11	772539	775042	+	2504	103	162	182	173	66	79	78	87	99	111	64	61	93	84	152	146	84	50
PF3D7_1120600	11	775233	783639	-	8407	4	12	40	18	21	19	0	1	25	28	6	7	0	3	20	24	7	2
PF3D7_1120700	11	784592	788350	-	3759	4	5	23	27	31	20	0	0	19	21	11	13	1	2	24	27	19	12
PF3D7_1120800	11	790011	790262	+	252	3	4	33	33	11	7	1	1	21	42	10	8	1	0	8	21	10	23
PF3D7_1120900	11	790267	790608	+	342	3	6	59	51	22	10	0	1	29	21	10	12	3	1	26	39	10	18
PF3D7_1121000	11	792197	793945	+	1749	23	36	98	109	93	91	25	12	49	67	110	115	9	16	77	85	82	151
PF3D7_1121100	11	794254	799561	-	5308	70	254	94	70	258	203	30	27	97	86	44	65	50	51	88	107	113	64
PF3D7_1121200	11	800781	801458	-	678	1	6	11	19	10	14	2	1	9	14	3	10	1	1	6	4	11	8
PF3D7_1121300	11	801945	807081	-	5137	17	59	106	100	190	193	0	2	81	84	170	103	3	0	115	138	205	72
PF3D7_1121400	11	810210	812290	+	2081	6	7	2	11	15	16	1	0	1	0	8	5	2	0	3	3	17	8
PF3D7_1121500	11	812583	814130	-	1548	0	10	27	6	10	6	1	0	13	21	8	3	1	2	14	16	8	8
PF3D7_1121600	11	815386	816322	-	937	1464	3916	2562	3291	1053	1332	4309	3087	2512	2292	1303	1441	4658	4375	2692	2922	1631	2120
PF3D7_1121700	11	820073	822520	+	2448	92	99	76	82	64	52	57	45	81	82	39	41	73	61	137	172	47	29
PF3D7_1121800	11	823239	829313	-	6075	2	6	0	0	7	3	1	1	1	0	1	1	0	1	0	3	3	0
PF3D7_1121900	11	835889	837466	-	1578	9	15	48	48	52	60	3	3	56	27	46	27	1	1	25	36	53	38
PF3D7_1122000	11	838380	840100	-	1721	3	1	46	31	14	10	2	0	11	24	4	4	3	2	15	31	4	6
PF3D7_1122100	11	840728	842450	-	1723	2	5	79	67	35	31	1	0	23	28	23	15	0	2	17	41	26	16
PF3D7_1122200	11	842991	845547	-	2557	92	191	59	33	110	101	82	81	32	37	38	40	82	88	59	67	58	45
PF3D7_1122300	11	846929	848014	+	1086	34	64	14	26	43	29	33	38	9	12	17	25	40	53	11	15	26	23
PF3D7_1122400	11	849335	852570	+	3236	52	83	98	94	69	74	41	30	73	74	53	46	57	60	113	157	61	58
PF3D7_1122500	11	853355	859225	+	5871	2	12	14	18	43	25	0	0	25	21	11	17	1	4	13	18	21	14
PF3D7_1122600	11	860134	868220	+	8087	2	11	5	4	25	28	1	2	0	1	11	10	1	1	0	2	8	8
PF3D7_1122700	11	868388	869152	-	765	11	28	56	63	83	92	3	6	36	27	109	109	7	12	56	64	106	148
PF3D7_1122800	11	872031	877678	+	5648	33	90	25	21	71	60	24	27	39	40	43	35	22	29	82	123	59	32
PF3D7_1122900	11	878969	895273	+	16305	2	6	4	7	4	2	0	2	4	4	0	1	2	0	7	4	3	0
PF3D7_1123000	11	895967	903370	-	7404	148	354	153	119	616	422	71	68	158	139	172	247	113	112	177	202	330	231
PF3D7_1123100	11	909366	916324	+	6959	257	527	133	117	1218	762	158	139	212	201	395	503	227	257	449	571	631	364
PF3D7_1123200	11	918228	921069	+	2842	13	35	17	30	78	58	17	15	25	14	59	42	12	12	23	33	91	71
PF3D7_1123300	11	921823	923892	+	2070	35	96	78	73	152	122	30	29	70	67	69	73	29	36	62	96	112	60
PF3D7_1123400	11	925728	927524	+	1797	316	547	912	680	234	204	516	424	704	675	180	114	396	402	511	524	254	192
PF3D7_1123500	11	929354	933364	-	4011	157	222	132	143	145	90	98	124	104	95	127	88	104	84	171	231	191	119
PF3D7_1123600	11	936084	938222	+	2139	34	75	86	53	57	50	48	49	74	68	59	64	41	40	130	185	59	48
PF3D7_1123700	11	938950	939612	+	663	8	17	105	131	32	36	3	1	90	94	27	18	5	3	79	83	26	43
PF3D7_1123800	11	940527	944333	+	3807	10	26	26	19	42	38	6	6	17	17	13	15	6	9	14	21	31	10
PF3D7_1123900	11	945470	946148	+	679	278	453	237	252	58	57	887	630	161	174	29	55	753	725	169	203	32	82
PF3D7_1124000	11	948591	950707	+	2117	111	152	225	319	129	233	203	144	179	168	233	280	249	198	264	318	226	310
PF3D7_1124100	11	951382	956343	-	4962	36	96	95	106	96	89	13	19	85	114	34	30	18	27	59	74	71	30
PF3D7_1124200	11	957514	959199	-	1686	35	91	110	110	216	221	29	27	70	57	208	149	36	28	153	148	199	193
PF3D7_1124300	11	962156	963958	+	1803	91	144	276	305	147	148	104	72	239	240	175	148	96	103	395	424	191	154
PF3D7_1124400	11	964675	965360	-	686	48	59	73	115	18	19	111	56	69	44	15	24	109	97	72	94	26	19
PF3D7_1124500	11	966980	968806	+	1827	5	8	24	34	12	27	6	1	24	26	21	15	13	7	75	79	26	13
PF3D7_1124600	11	970105	971376	-	1272	194	457	879	836	1003	955	114	117	559	503	1017	938	132	153	841	927	1192	958
PF3D7_1124700	11	974493	975538	-	1046	85	62	142	140	35	50	54	49	80	92	16	13	80	59	90	103	17	14
PF3D7_1124800	11	976880	977936	-	1057	208	336	300	463	131	188	493	396	241	248	200	191	458	449	515	699	173	136
PF3D7_1124900	11	981945	983086	+	1142	455	481	525	514	101	131	783	591	311	328	82	97	620	557	207	203	120	144
PF3D7_1125000	11	983951	985619	-	1669	32	62	194	281	145	178	27	15	136	137	294	238	41	46	297	373	260	243
PF3D7_1125100	11	986630	988120	+	1491	3	8	109	105	55	49	0	1	56	65	48	24	5	1	48	66	52	31
PF3D7_1125200	11	989159	990301	-	1143	35	36	85	93	19	40	48	46	69	61	39	13	44	54	90	121	25	26
PF3D7_1125300	11	991863	996458	+	4596	67	48	195	207	60	69	28	29	156	148	58	44	11	21	133	202	42	38
PF3D7_1125400	11	997923	999547	-	1625	105	87	190	217	33	27	136	94	135	125	18	20	93	88	150	178	23	18
PF3D7_1125500	11	1001182	1001562	-	381	96	108	121	146	41	41	203	155	74	82	35	39	189	172	107	91	36	46
PF3D7_1125600	11	1003226	1003694	-	469	8	29	39	64	41	43	10	8	50	35	52	55	9	13	42	39	64	96
PF3D7_1125700	11	1004780	1007354	-	2575	249	803	44	48	1150	939	130	134	46	36	810	474	145	147	133	166	995	618
PF3D7_1125800	11	1008409	1010853	-	2445	365	976	30	41	1128	1029	232	236	32	20	1023	637	321	288	142	142	1214	858
PF3D7_1125900	11	1013466	1013747	+	282	86	103	58	68	53	54	130	91	45	60	55	23	91	79	55	70	71	49
PF3D7_1126000	11	1014334	1017375	-	3042	356	480	553	440	205	218	319	248	506	545	142	109	194	223	398	526	191	120
PF3D7_1126100	11	1018366	1022495	-	4130	34	52	86	81	59	47	79	44	79	67	27	28	52	52	50	65	39	54
PF3D7_1126200	11	1023790	1024496	-	707	1264	1863	1560	1895	433	523	3403	2363	1292	1104	505	448	2465	2287	972	1032	573	718
PF3D7_1126300.1	11	1026976	1029544	+	2569	52	42	43	56	81	88	40	40	47	38	67	103	36	27	46	47	76	126
PF3D7_1126400	11	1030679	1031481	+	803	79	68	83	117	17	26	128	98	65	49	13	30	173	153	116	163	15	20
PF3D7_1126500	11	1033062	1037168	+	4107	83	183	137	95	38	32	60	57	68	87	8	10	51	62	53	67	22	13
PF3D7_1126600	11	1037643	1039691	-	2049	27	14	55	63	37	30	14	13	48	52	22	25	18	20	73	111	31	25
PF3D7_1126700	11	1040790	1046087	-	5298	185	695	46	39	2533	1521	65	76	32	21	738	669	85	91	45	58	994	622
PF3D7_1126800	11	1049921	1052665	+	2745	15	5	8	8	7	7	11	6	0	2	5	5	19	11	8	8	9	9
PF3D7_1126900	11	1053642	1054333	-	692	77	103	158	226	53	57	168	142	133	125	67	88	282	232	193	214	57	86
PF3D7_1127000	11	1056198	1058054	-	1857	28	114	31	83	15	22	61	32	26	30	12	23	100	74	175	204	12	14
PF3D7_1127100	11	1060262	1060783	-	522	50	65	522	747	114	174	84	49	523	484	152	151	75	63	369	397	173	197
PF3D7_1127200	11	1062718	1063072	+	355	0	1	0	0	0	0	0	0	0	0	0	1	1	0	3	1	0	0
PF3D7_1127300	11	1063670	1064551	-	882	51	75	54	45	22	15	35	30	26	29	6	9	27	27	13	29	11	8
PF3D7_1127400	11	1065785	1066569	+	785	6	8	46	58	13	17	8	5	27	22	15	16	9	6	43	33	13	15
PF3D7_1127500	11	1067197	1070219	+	3023	21	30	142	164	150	139	10	8	104	92	156	115	13	18	103	130	203	137
PF3D7_1127600	11	1071752	1073813	+	2062	86	271	134	179	454	363	50	60	99	87	343	367	95	94	250	273	389	473
PF3D7_1127700	11	1074626	1076405	-	1780	1	1	1	3	4	2	1	0	0	0	2	0	1	1	5	8	2	1
PF3D7_1127800	11	1077288	1081550	-	4263	47	68	71	63	91	72	26	28	80	90	40	58	43	63	103	129	64	59
PF3D7_1127900	11	1083321	1085062	-	1742	60	92	30	39	222	146	50	44	12	13	133	78	55	53	44	56	173	118
PF3D7_1128000.2	11	1087314	1093105	+	5792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1128000.1	11	1087314	1093105	+	5792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1128100	11	1094909	1095931	-	1023	79	102	311	282	126	139	64	55	263	266	81	71	49	56	191	233	105	106
PF3D7_1128200	11	1097117	1097527	+	411	36	50	93	169	27	36	116	101	75	85	52	44	165	145	133	143	51	77
PF3D7_1128300	11	1098167	1103555	-	5389	1	2	22	42	12	12	4	1	14	21	3	6	3	3	13	20	8	7
PF3D7_1128400	11	1104216	1106505	-	2290	65	89	355	455	108	134	100	62	257	236	105	126	59	73	304	356	120	106
PF3D7_1128500	11	1107786	1109942	+	2157	33	52	55	61	17	25	28	20	36	44	25	12	47	42	57	56	13	12
PF3D7_1128600	11	1110436	1112115	-	1680	0	3	17	8	14	14	0	1	8	11	4	4	1	2	35	52	6	1
PF3D7_1128700	11	1113996	1115477	+	1482	13	16	53	64	83	69	7	5	32	27	51	31	7	8	25	48	68	53
PF3D7_1128900	11	1118249	1120685	+	2437	52	119	77	74	611	376	21	13	59	41	314	277	21	30	59	75	409	381
PF3D7_1129000	11	1121930	1123377	+	1448	65	121	202	309	112	135	107	72	166	131	114	126	158	151	281	249	155	149
PF3D7_1129100	11	1125952	1127310	+	1359	1609	2217	1711	1380	871	874	1640	1330	1389	1360	797	786	1463	1461	1720	2177	971	1105
PF3D7_1129200	11	1128774	1130813	+	2040	145	286	634	832	365	417	214	158	475	481	454	368	211	213	549	626	468	491
PF3D7_1129300	11	1131294	1136834	-	5541	31	56	24	21	207	140	3	5	12	11	89	46	3	8	16	8	120	47
PF3D7_1129400	11	1138075	1139979	-	1905	155	206	205	190	43	60	195	193	201	180	29	41	166	218	255	307	36	35
PF3D7_1129500	11	1141486	1143910	+	2425	12	30	116	77	54	47	14	4	79	82	41	42	11	12	95	158	62	42
PF3D7_1129600	11	1144754	1148770	+	4017	14	37	5	16	102	48	3	7	9	8	26	34	2	9	13	17	31	23
PF3D7_1129700	11	1149976	1150518	-	543	5	16	53	38	24	33	11	9	28	21	44	24	15	12	43	53	33	32
PF3D7_1129800	11	1152379	1153227	+	849	36	46	98	69	15	13	46	35	55	56	45	11	36	28	51	70	27	7
PF3D7_1129900	11	1156437	1158266	+	1830	98	58	136	187	75	80	82	67	116	91	102	90	105	104	172	158	72	82
PF3D7_1130000	11	1159366	1162188	-	2823	29	40	97	153	24	37	20	16	87	74	30	28	11	15	101	112	41	26
PF3D7_1130100	11	1163094	1163357	-	264	489	547	746	824	147	187	914	644	402	439	165	134	679	606	300	367	177	245
PF3D7_1130200	11	1165221	1166171	+	951	2651	2956	3340	3880	632	780	6097	4513	2853	2578	989	1097	5902	5448	3370	3250	1097	1269
PF3D7_1130400	11	1168879	1170198	+	1320	181	338	520	518	526	535	187	162	531	485	534	459	204	195	649	671	581	682
PF3D7_1130500	11	1171680	1175724	+	4045	23	36	145	126	114	104	9	6	115	126	68	73	6	8	53	62	121	109
PF3D7_1130600	11	1176441	1179705	+	3265	50	59	49	51	12	22	48	35	36	42	12	7	38	45	29	25	8	12
PF3D7_1130700	11	1180160	1185616	-	5457	19	34	131	144	114	86	14	6	162	152	45	75	8	7	100	146	69	60
PF3D7_1130800	11	1187604	1189562	+	1959	0	0	9	11	1	4	0	1	5	4	3	1	1	0	5	1	3	4
PF3D7_1130900	11	1190123	1194335	+	4213	5	3	36	40	10	19	2	0	24	23	13	9	0	0	25	45	6	8
PF3D7_1131000	11	1194524	1195036	-	513	5	5	55	59	13	21	0	1	60	41	13	24	6	1	36	40	32	32
PF3D7_1131100	11	1195988	1198309	-	2322	14	26	28	36	82	73	4	2	30	20	59	77	8	5	58	53	84	88
PF3D7_1131200	11	1199253	1201805	+	2553	26	28	32	79	74	68	3	3	34	35	52	56	7	4	24	27	40	57
PF3D7_1131300	11	1201922	1203619	-	1698	2	1	18	20	11	13	1	0	16	10	11	8	1	1	19	21	11	5
PF3D7_1131400	11	1204297	1209587	-	5291	0	2	27	16	17	17	1	1	24	23	3	3	0	1	26	30	5	4
PF3D7_1131500	11	1210686	1211456	-	771	3	3	1	4	10	3	6	0	3	1	6	11	1	2	11	11	5	4
PF3D7_1131600	11	1216521	1224812	+	8292	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PF3D7_1131700	11	1225688	1226474	-	787	2	2	0	4	7	5	0	1	1	0	4	3	0	2	1	4	2	3
PF3D7_1131800	11	1227220	1231950	-	4731	77	143	203	177	353	244	16	14	166	172	178	135	15	15	199	342	267	93
PF3D7_1131900	11	1234061	1236391	-	2331	2	5	4	5	18	12	0	0	0	2	5	4	2	1	3	6	7	2
PF3D7_1132000	11	1239900	1242548	+	2649	40	167	101	99	171	136	30	30	81	81	115	85	24	34	124	138	128	118
PF3D7_1132100	11	1243226	1246618	-	3393	1	3	2	3	3	8	2	2	0	0	1	0	2	2	4	3	5	2
PF3D7_1132200	11	1248310	1250232	-	1923	588	813	979	907	161	226	1240	985	843	801	188	155	745	800	802	903	214	150
PF3D7_1132300	11	1253073	1253894	+	822	34	34	248	205	63	90	11	10	156	169	82	66	14	10	103	144	103	93
PF3D7_1132400	11	1255286	1259671	-	4386	17	38	134	165	159	126	5	3	143	136	84	94	4	11	131	139	125	96
PF3D7_1132500	11	1261759	1266078	+	4320	4	5	0	3	13	11	3	1	1	1	2	3	1	0	2	1	6	4
PF3D7_1132600	11	1266250	1267584	-	1335	109	170	175	214	116	109	86	83	164	154	89	69	112	110	207	225	113	99
PF3D7_1132700	11	1268455	1269456	+	1002	9	20	28	38	36	32	10	8	34	29	33	20	17	14	63	59	30	26
PF3D7_1132800	11	1271204	1271980	+	777	189	310	549	617	757	764	119	108	483	445	747	831	147	171	448	477	955	1558
PF3D7_1132900	11	1273407	1274009	+	603	7	17	53	49	26	35	7	8	34	38	16	22	10	11	41	48	20	25
PF3D7_1133000	11	1275574	1275663	+	90	6	45	13	26	70	58	8	4	9	8	34	43	19	12	4	7	43	38
PF3D7_1133100	11	1277346	1280637	+	3292	96	288	95	69	60	57	73	59	95	94	25	29	88	89	106	133	43	24
PF3D7_1133200	11	1281284	1287633	-	6350	56	195	607	474	952	834	17	13	789	755	416	585	18	16	575	740	503	377
PF3D7_1133300	11	1290501	1291601	+	1101	40	89	70	103	172	182	13	20	31	42	173	119	35	26	57	61	165	170
PF3D7_1133400	11	1293856	1295724	+	1869	438	1071	168	160	2730	2496	250	208	259	206	2059	993	300	318	800	875	2251	1018
PF3D7_1133500	11	1296801	1298199	+	1399	8	8	27	24	31	24	3	1	11	19	14	15	2	3	10	15	15	14
PF3D7_1133600	11	1298474	1300600	-	2127	8	8	12	18	4	6	14	14	8	7	6	2	9	17	5	6	3	3
PF3D7_1133700	11	1302173	1305987	+	3815	1038	1937	49	35	162	96	740	757	68	57	54	72	820	1074	236	349	66	38
PF3D7_1133800	11	1309024	1311793	+	2770	131	259	406	436	314	316	105	82	341	307	241	181	82	104	242	281	313	246
PF3D7_1133900	11	1313257	1317173	+	3917	30	116	91	57	104	76	26	26	81	95	47	41	29	23	102	129	90	46
PF3D7_1134000	11	1320114	1322105	+	1992	237	225	1645	1003	205	262	308	263	1115	1089	207	129	316	282	1029	1239	229	196
PF3D7_1134100	11	1323043	1324314	-	1272	106	127	383	317	172	195	82	61	263	295	243	247	47	42	193	262	264	321
PF3D7_1134200	11	1326747	1332164	+	5418	70	148	64	38	25	26	33	42	45	48	10	19	53	53	75	93	18	7
PF3D7_1134300	11	1333536	1340219	+	6684	13	69	80	67	236	180	2	4	82	65	108	106	5	5	116	129	153	69
PF3D7_1134400	11	1340486	1341680	-	1195	5	7	84	134	34	30	4	2	70	61	22	26	4	6	83	88	23	29
PF3D7_1134500	11	1344303	1349763	+	5461	28	33	34	22	63	42	2	4	30	35	40	36	7	9	41	52	37	36
PF3D7_1134600	11	1350621	1355789	-	5169	8	7	11	10	48	32	1	0	16	23	12	31	2	4	85	91	15	5
PF3D7_1134700	11	1359364	1364113	-	4750	225	483	123	84	66	46	211	209	74	84	41	47	208	251	201	255	50	57
PF3D7_1134800	11	1367186	1368809	+	1624	113	197	149	165	94	96	142	133	118	119	87	117	191	174	203	226	112	117
PF3D7_1134900	11	1369619	1371667	+	2049	2	0	5	5	6	5	0	0	3	2	3	3	0	0	5	3	2	3
PF3D7_1135000.1	11	1372311	1373859	+	1549	6	1	34	18	11	15	0	0	15	18	13	9	1	3	15	14	8	12
PF3D7_1135000.3	11	1373052	1373712	+	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1135000.2	11	1373052	1373859	+	808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1135100	11	1374592	1376661	-	2070	343	696	173	227	1074	890	633	472	109	95	849	846	561	525	362	400	990	1071
PF3D7_1135300	11	1381015	1382244	-	1230	7	13	13	22	8	2	20	6	8	7	12	9	15	15	12	9	7	21
PF3D7_1135400	11	1384378	1385115	-	738	25	30	198	147	49	55	31	40	108	105	64	63	83	64	122	148	72	98
PF3D7_1135500	11	1387091	1388909	-	1819	4	8	68	77	18	28	1	1	44	36	32	23	4	1	88	92	25	26
PF3D7_1135600	11	1390064	1396173	+	6110	1	4	17	19	14	9	0	0	19	22	12	4	1	1	7	8	13	3
PF3D7_1135700	11	1396433	1396764	-	332	28	56	34	57	14	18	80	38	29	41	14	22	63	62	38	52	16	17
PF3D7_1135800	11	1397506	1397985	+	480	13	15	25	35	4	3	30	17	12	11	5	2	19	15	6	8	3	5
PF3D7_1135900	11	1398486	1400601	-	2116	129	272	640	1226	599	731	319	177	485	430	609	705	395	343	586	628	715	1143
PF3D7_1136000	11	1403906	1414512	+	10607	13	39	91	72	314	190	1	3	108	89	75	125	2	3	121	132	126	75
PF3D7_1136100	11	1415406	1417214	+	1809	1	0	12	9	3	3	0	1	3	7	3	1	2	1	3	4	1	0
PF3D7_1136200	11	1417466	1420071	-	2606	170	287	122	166	844	719	90	79	74	53	579	478	129	124	112	88	675	624
PF3D7_1136300	11	1422744	1426201	+	3458	297	557	285	263	252	210	153	162	320	319	150	89	116	138	210	244	174	78
PF3D7_1136400	11	1427011	1429671	-	2661	125	211	139	136	229	174	61	83	84	101	117	130	102	84	92	108	172	140
PF3D7_1136500.2	11	1431881	1435170	-	3290	8	8	8	15	24	14	11	10	4	5	8	7	10	9	9	8	11	16
PF3D7_1136500.1	11	1433141	1435170	-	2030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1136600	11	1441503	1445471	+	3969	155	359	84	81	121	87	104	75	104	101	38	46	158	167	137	182	61	41
PF3D7_1136700.2	11	1446489	1448505	+	2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1136700.1	11	1446489	1448505	+	2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1136800	11	1449690	1451450	-	1761	26	55	85	108	55	76	28	25	65	71	47	36	43	32	62	91	61	60
PF3D7_1136900	11	1456151	1460319	+	4169	216	494	25	53	1235	1091	96	100	17	17	493	368	131	158	160	264	691	343
PF3D7_1137100	11	1462168	1463070	+	903	49	54	74	58	31	20	29	34	40	43	17	26	35	27	59	66	21	22
PF3D7_1137200	11	1463811	1465058	-	1248	55	128	21	39	303	205	7	15	11	17	171	227	18	23	33	57	157	156
PF3D7_1137300	11	1466197	1468266	-	2070	176	306	251	207	128	120	136	106	173	173	127	95	130	144	171	220	97	110
PF3D7_1137400	11	1470600	1471877	-	1278	34	25	85	115	39	32	37	34	82	74	28	26	47	33	109	106	33	26
PF3D7_1137500	11	1473505	1474116	-	612	13	31	129	191	97	117	7	10	110	85	102	101	11	17	167	183	143	149
PF3D7_1137600	11	1474667	1476838	-	2172	0	1	6	3	2	0	0	0	2	3	0	0	0	0	0	7	0	1
PF3D7_1137700	11	1477643	1479850	+	2208	0	0	6	0	1	1	0	1	1	0	0	0	1	0	3	4	1	0
PF3D7_1137800	11	1480900	1481526	-	627	19	53	5	2	15	23	14	4	7	1	20	18	18	14	11	11	10	15
PF3D7_1137900	11	1483375	1485858	+	2484	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
PF3D7_1138000	11	1487594	1496143	+	8550	10	34	20	19	192	124	1	2	15	21	51	74	2	3	29	40	65	55
PF3D7_1138100	11	1497134	1497514	+	381	19	33	19	27	3	8	33	26	15	19	3	7	50	45	9	24	7	8
PF3D7_1138200	11	1498208	1498969	+	762	8	22	41	75	50	49	12	6	32	34	40	50	15	16	43	27	51	95
PF3D7_1138300	11	1499137	1499571	-	435	3	6	22	19	8	13	1	2	12	12	8	4	1	2	12	8	17	8
PF3D7_1138400	11	1501011	1513691	-	12681	21	80	70	54	260	174	3	4	73	71	139	141	3	6	93	129	210	136
PF3D7_1138500	11	1518464	1521238	+	2775	186	447	308	246	378	361	160	117	359	324	248	299	136	186	339	399	422	280
PF3D7_1138600	11	1522359	1524346	-	1988	26	60	88	63	16	30	14	11	67	71	21	17	10	16	43	37	39	32
PF3D7_1138700	11	1525654	1531744	-	6091	59	262	14	14	95	58	38	36	13	19	47	86	56	55	28	46	63	50
PF3D7_1138800	11	1533252	1539856	-	6605	80	155	100	103	156	146	35	29	104	107	51	94	58	64	89	129	111	83
PF3D7_1139100	11	1548186	1553561	+	5376	140	251	60	43	34	32	63	71	62	63	23	22	46	65	80	114	32	14
PF3D7_1139200	11	1554154	1555505	-	1352	11	34	39	33	19	16	12	20	10	16	7	8	8	10	10	19	8	6
PF3D7_1139300	11	1556744	1565045	-	8302	119	44	102	53	65	50	32	52	116	111	27	50	126	145	169	193	34	13
PF3D7_1139500.1	11	1576132	1578978	-	2847	3	5	5	2	1	3	1	1	9	13	0	0	1	3	1	5	2	2
PF3D7_1139500.2	11	1577407	1578978	-	1572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1139600	11	1580594	1582483	+	1890	3	5	8	8	5	1	1	2	2	3	0	0	1	1	1	4	0	2
PF3D7_1139700	11	1582995	1584512	-	1518	45	58	60	70	41	40	16	18	31	27	30	42	16	19	20	24	46	39
PF3D7_1139800	11	1585393	1592034	-	6642	17	47	68	33	54	47	7	6	37	38	31	34	10	6	42	47	44	29
PF3D7_1139900	11	1593966	1594951	+	986	22	57	45	41	17	18	38	30	18	19	20	28	71	63	46	58	15	24
PF3D7_1140000	11	1595767	1597718	+	1952	13	7	2	5	21	18	5	8	1	5	4	7	6	8	6	8	9	10
PF3D7_1140100	11	1598550	1599632	-	1083	32	70	141	167	90	111	56	59	97	113	133	128	80	57	131	153	128	180
PF3D7_1140200	11	1601257	1603078	-	1822	192	196	527	552	333	397	89	97	576	506	439	465	79	90	807	889	476	444
PF3D7_1140300	11	1605321	1606406	+	1086	1	2	6	6	2	3	0	1	4	1	2	1	1	0	8	6	4	0
PF3D7_1140400	11	1608006	1608609	+	604	165	356	150	162	750	662	128	94	72	75	736	835	165	160	214	198	782	1069
PF3D7_1140500	11	1610100	1615809	+	5710	13	18	15	23	80	51	4	1	23	16	24	10	6	5	36	34	31	14
PF3D7_1140600	11	1616416	1621890	-	5475	16	20	9	6	53	35	3	3	2	7	20	20	0	3	5	12	30	15
PF3D7_1140700	11	1623447	1630274	-	6828	46	135	58	32	60	35	22	21	52	48	22	21	35	37	64	96	25	10
PF3D7_1140800	11	1633920	1636331	+	2412	34	83	45	34	53	49	29	26	36	41	36	23	34	33	53	84	27	18
PF3D7_1140900	11	1637103	1643392	-	6290	6	10	51	52	61	54	0	3	29	41	45	50	1	2	103	100	45	31
PF3D7_1141000	11	1644911	1647382	+	2472	1	1	3	0	9	10	0	0	1	4	6	2	0	0	4	11	11	4
PF3D7_1141100	11	1649321	1657012	+	7692	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0
PF3D7_1141200	11	1657507	1657978	-	472	4	13	23	42	15	30	2	3	23	24	23	38	4	8	51	57	33	44
PF3D7_1141300	11	1659070	1662359	-	3290	16	38	144	144	172	184	6	2	143	150	133	80	7	4	136	154	163	101
