Geneid	Chr	Start	End	Strand	Length	SRR3437887	SRR3437888	SRR3437889	SRR3437890	SRR3437891	SRR3437892	SRR3437893	SRR3437894	SRR3437895	SRR3437896	SRR3437897	SRR3437898
PBANKA_113640	11	1351240	1352659	-	1420	125	87	336	340	99	123	132	140	243	254	235	243
PBANKA_113650	11	1353543	1354670	-	1128	28	32	88	113	28	32	48	45	74	75	67	87
PBANKA_113660	11	1355370	1356329	+	960	75	56	177	182	40	42	46	70	101	97	130	149
PBANKA_113670	11	1357402	1368560	+	11159	1175	1183	748	843	715	775	1021	1023	1067	1016	953	1000
PBANKA_113690	11	1369720	1373822	-	4103	1282	1182	1151	1176	1202	1237	1342	1393	1241	1316	879	902
PBANKA_113700	11	1377594	1381043	+	3450	2660	2595	3091	3128	1442	1464	1558	1576	1930	2003	3288	3338
PBANKA_113710	11	1381690	1383891	-	2202	44	58	218	197	150	184	133	153	209	176	235	232
PBANKA_113720	11	1386906	1390593	+	3688	207	209	1030	1073	635	720	843	916	1124	1088	739	782
PBANKA_113730	11	1392134	1398057	+	5924	2360	2475	3543	3637	2658	2803	2592	2672	2539	2674	4554	4774
PBANKA_113740	11	1398888	1400669	+	1782	72	73	123	159	41	47	191	204	159	159	202	208
PBANKA_113750	11	1400911	1401449	-	539	44	44	42	61	9	8	87	85	35	26	71	69
PBANKA_113760	11	1403257	1403661	-	405	17	12	79	69	41	42	50	64	61	65	62	64
PBANKA_113770	11	1405202	1406250	+	1049	119	113	418	385	234	244	312	363	418	434	241	220
PBANKA_113780	11	1407746	1415866	+	8121	796	833	1760	1799	565	592	935	976	1577	1573	867	904
PBANKA_113790	11	1416556	1417380	-	825	300	294	1029	1114	308	304	564	618	639	661	877	893
PBANKA_113800	11	1420373	1420969	+	597	272	264	477	492	398	408	478	468	624	573	334	330
PBANKA_113810	11	1421792	1423408	-	1617	40	47	23	20	37	40	24	30	74	83	36	32
PBANKA_113820	11	1425338	1426765	-	1428	482	562	531	560	93	104	535	604	239	258	586	561
PBANKA_113830	11	1428290	1428871	+	582	261	277	336	311	113	102	189	169	197	224	245	262
PBANKA_113840	11	1430819	1436587	+	5769	2579	2748	5599	5637	3910	4033	3798	3854	4491	4673	5139	5211
PBANKA_113850	11	1437953	1440244	+	2292	67	62	71	76	27	31	22	25	66	59	70	79
PBANKA_113860	11	1440836	1442095	+	1260	2544	2608	679	690	78	71	692	718	190	195	1399	1439
PBANKA_113870	11	1444912	1449165	+	4254	1584	1618	1933	1963	500	471	457	449	631	617	3774	3694
PBANKA_113880	11	1450648	1456944	+	6297	285	269	486	564	593	622	714	668	956	966	189	196
PBANKA_113890	11	1457791	1462533	+	4743	9930	10215	1490	1572	286	290	2334	2357	482	557	2382	2454
PBANKA_113900	11	1463109	1466468	+	3360	659	679	915	910	205	225	207	257	340	343	1241	1317
PBANKA_113910	11	1467183	1470383	+	3201	1622	1596	1392	1470	279	288	447	427	437	461	1390	1460
PBANKA_113920	11	1470708	1472218	-	1511	160	153	351	326	74	74	125	124	138	142	331	341
PBANKA_113930	11	1472859	1473800	+	942	87	90	128	136	30	21	23	30	42	53	134	119
PBANKA_113940	11	1474241	1476936	-	2696	82	91	270	319	53	50	84	88	98	122	318	303
PBANKA_113950	11	1477866	1480375	+	2510	638	714	443	420	71	84	203	218	172	179	415	379
PBANKA_113960	11	1481015	1481557	-	543	88	99	92	81	18	25	36	32	75	87	76	88
PBANKA_113970	11	1482448	1484457	+	2010	1149	1107	927	1003	286	270	362	341	571	602	846	828
PBANKA_113980	11	1485596	1488841	+	3246	405	368	137	137	31	34	147	175	88	85	158	135
PBANKA_113990	11	1490746	1491285	+	540	88	94	474	504	218	255	363	345	435	420	317	329
PBANKA_114000	11	1493482	1495809	+	2328	557	608	437	451	216	240	289	276	314	330	388	410
PBANKA_114010	11	1496845	1502331	-	5487	3801	3790	3056	3112	2180	2219	1983	1900	2670	2692	2341	2384
PBANKA_114020	11	1504097	1507549	-	3453	2260	2347	1420	1374	814	856	922	933	982	971	1163	1145
PBANKA_114030	11	1509455	1518264	+	8810	3501	3626	5223	5417	3371	3462	3191	3198	3460	3570	6364	6682
PBANKA_114040	11	1519548	1521083	+	1536	481	483	850	829	138	151	195	188	212	224	854	874
PBANKA_114050	11	1521913	1524372	+	2460	1639	1769	1160	1167	305	303	314	382	575	603	1149	1184
PBANKA_114060	11	1524985	1526403	-	1419	179	183	552	584	228	287	282	284	432	432	542	498
PBANKA_114070	11	1527286	1528832	-	1547	34	23	71	86	69	77	26	38	147	138	62	84
PBANKA_114080	11	1529469	1530401	+	933	81	77	853	876	320	369	218	197	473	476	1207	1266
PBANKA_114090	11	1530660	1531260	-	601	40	39	240	299	77	65	95	87	121	133	302	307
PBANKA_114100	11	1532178	1532333	+	156	71	58	120	120	31	23	42	33	42	35	80	77
PBANKA_114110	11	1532921	1534975	-	2055	1913	1992	731	735	1633	1631	1763	1729	1134	1118	535	561
PBANKA_114120	11	1536121	1537686	-	1566	29	44	206	224	28	40	83	71	97	92	222	262
PBANKA_114130	11	1538581	1540026	+	1446	79	105	219	227	58	73	66	71	121	116	277	290
PBANKA_114140	11	1541027	1543406	+	2380	389	411	370	376	394	429	509	497	687	719	395	376
PBANKA_114150	11	1543781	1545140	-	1360	127	182	727	832	788	851	1176	1137	1289	1274	448	497
PBANKA_114160	11	1548038	1549689	+	1652	1417	1344	1055	1115	2765	2863	1859	1796	2376	2409	1280	1274
PBANKA_114170	11	1550578	1551355	-	778	3664	3808	3214	3368	3792	3783	5470	5819	4289	4379	2633	2741
PBANKA_114180	11	1553028	1553312	+	285	23	13	97	89	38	50	93	94	91	105	97	98
PBANKA_114190	11	1554563	1555194	+	632	68	59	45	56	81	75	95	108	102	88	50	36
PBANKA_114200	11	1556166	1556609	+	444	39	39	67	75	23	18	26	24	42	43	60	59
PBANKA_114210	11	1557064	1568135	-	11072	9072	9284	4444	4672	2538	2597	2896	2844	3133	3137	3290	3326
PBANKA_114230	11	1570580	1573975	-	3396	1940	2039	3431	3482	4829	5069	4888	4957	2609	2654	3359	3488
PBANKA_114240	11	1576700	1577149	+	450	141	104	235	246	87	102	184	164	144	195	141	169
PBANKA_114250	11	1578295	1579935	-	1641	394	437	344	388	232	222	211	222	361	380	323	356
PBANKA_114260	11	1581802	1582797	+	996	93	85	274	283	58	55	107	130	107	97	272	303
PBANKA_114270	11	1582963	1585239	-	2277	104	106	333	365	233	237	285	301	424	451	225	196
PBANKA_114280	11	1588841	1591307	+	2467	1212	1185	3578	3558	2258	2429	2252	2299	2538	2691	4313	4414
PBANKA_114290	11	1592518	1593501	-	984	213	201	429	388	116	110	150	153	285	262	345	350
PBANKA_114300	11	1594594	1595706	+	1113	195	231	840	873	281	268	334	349	390	419	1261	1288
PBANKA_114310	11	1596915	1598370	+	1456	468	495	229	261	49	30	201	199	86	67	335	401
PBANKA_114320	11	1598515	1599905	-	1391	94	98	135	113	20	32	28	41	70	72	118	145
PBANKA_114330	11	1601200	1604178	+	2979	2220	2237	1446	1398	3148	3250	2493	2552	1906	2051	1565	1591
PBANKA_114340	11	1605356	1606576	+	1221	1154	1150	300	290	121	122	515	507	286	260	240	276
PBANKA_114350	11	1607283	1608435	-	1153	57	53	143	131	311	334	263	284	308	306	105	86
PBANKA_114360	11	1609448	1613104	+	3657	1252	1162	1004	995	669	653	556	577	668	689	1584	1604
PBANKA_114370	11	1614502	1618419	+	3918	225	246	62	64	168	185	79	85	234	262	370	388
PBANKA_114380	11	1619835	1620602	+	768	210	227	417	451	168	135	332	354	240	263	352	333
PBANKA_114390	11	1621162	1621845	-	684	209	209	158	189	78	78	125	140	123	112	135	124
PBANKA_114400	11	1622789	1624037	-	1249	466	471	1227	1250	313	329	513	506	624	619	920	910
PBANKA_114410	11	1625769	1627817	-	2049	235	258	566	511	307	347	422	424	592	563	481	466
PBANKA_114420	11	1629724	1631418	+	1695	201	228	546	533	353	315	366	338	509	513	432	467
PBANKA_114430	11	1631513	1633296	-	1784	787	839	744	752	569	556	646	674	662	720	457	451
PBANKA_114440	11	1634465	1636960	+	2496	452	557	575	587	247	261	310	362	355	363	510	511
PBANKA_114450	11	1637490	1637768	-	279	66	62	176	160	36	42	53	47	42	69	199	168
PBANKA_114460	11	1639045	1640529	-	1485	133	145	418	450	71	76	65	90	130	152	376	435
PBANKA_114470	11	1641894	1646387	-	4494	1491	1511	1336	1436	295	309	365	352	400	400	1835	1769
PBANKA_114480	11	1648334	1649875	+	1542	369	370	377	418	230	230	289	330	351	429	337	364
PBANKA_114490	11	1651304	1654453	+	3150	111	102	234	299	74	76	104	132	189	188	155	145
PBANKA_114500	11	1655195	1656466	-	1272	297	345	133	118	79	88	116	137	180	155	178	188
PBANKA_114510	11	1657766	1664074	+	6309	1929	1950	907	919	534	516	497	505	606	609	1105	1219
PBANKA_114520	11	1664600	1666033	-	1434	656	630	535	536	75	62	586	583	159	173	769	768
PBANKA_114530	11	1667439	1675586	+	8148	110	111	175	225	68	67	145	118	156	164	239	237
PBANKA_114540	11	1676086	1677674	-	1589	142	117	2045	2232	6394	6583	4775	4900	4305	4387	1366	1431
PBANKA_114550	11	1679639	1683004	+	3366	1352	1367	1345	1398	898	983	1047	1088	848	855	1700	1721
PBANKA_114560	11	1683947	1686610	-	2664	761	747	1179	1174	378	324	357	392	443	463	1409	1504
PBANKA_114570	11	1687796	1688868	-	1073	48	68	189	193	177	176	197	202	182	185	208	200
PBANKA_114580	11	1695580	1696372	+	793	5450	5514	5568	5733	7489	7826	7276	7374	4593	4725	4306	4402
PBANKA_114590	11	1697529	1698624	+	1096	697	703	3043	3087	8764	9085	5522	5565	3465	3437	3137	3352
PBANKA_114600	11	1700254	1702342	-	2089	1562	1598	1691	1734	1072	1133	1205	1197	883	871	1673	1724
PBANKA_114610	11	1703672	1704253	-	582	7	10	14	21	18	14	4	1	16	14	17	10
PBANKA_114620	11	1707059	1707842	+	784	21	13	70	90	63	65	7	1	69	74	41	30
PBANKA_114630	11	1710345	1711500	+	1156	14	17	101	98	27	15	78	83	56	37	51	61
PBANKA_114640	11	1713920	1715048	+	1129	4	2	8	12	5	4	10	9	5	8	22	20
PBANKA_114655	11	1721174	1721576	+	403	0	0	3	0	0	0	0	1	1	1	2	1
PBANKA_114660	11	1724434	1725351	+	918	27	42	6	4	0	2	1	0	0	1	7	2
PBANKA_114670	11	1728473	1729717	+	1245	20	18	42	28	6	5	36	30	24	25	28	29
PBANKA_120005	12	3	515	+	513	12	14	98	110	120	141	83	95	266	281	52	68
PBANKA_120010	12	1963	3140	-	1178	4	4	44	38	8	9	37	41	28	29	41	42
PBANKA_120020	12	6144	7061	-	918	158	153	2	4	2	1	2	2	1	1	4	10
PBANKA_120030	12	9248	10542	-	1295	6	3	3	3	3	1	15	9	4	4	4	8
PBANKA_120040	12	12947	14171	-	1225	28	41	79	98	22	21	98	98	57	49	86	79
PBANKA_120060	12	22479	29232	-	6754	1495	1466	1534	1558	4104	4399	4746	4812	1926	1941	1005	1078
PBANKA_120070	12	33944	35233	+	1290	31	29	38	38	40	52	28	35	84	121	42	43
PBANKA_120080	12	37467	39842	+	2376	786	815	935	951	1124	1170	1326	1439	1354	1332	779	756
PBANKA_120090	12	40318	41564	-	1247	202	234	394	419	234	252	325	364	395	379	426	419
PBANKA_120100	12	42760	44313	+	1554	285	260	363	384	65	83	95	98	124	135	454	526
PBANKA_120110	12	46009	48747	+	2739	814	918	495	511	233	215	269	249	243	294	601	553
PBANKA_120120	12	49878	54101	+	4224	2756	2822	2097	2124	919	776	1223	1305	1204	1161	2186	2264
PBANKA_120130	12	55695	56605	+	911	51	49	135	130	88	97	158	171	169	139	96	106
PBANKA_120140	12	58818	61913	+	3096	1673	1633	1155	1125	1467	1409	1876	2013	1204	1239	787	826
PBANKA_120150	12	63346	64040	+	695	16	16	113	108	50	57	70	63	89	111	88	107
PBANKA_120160	12	65733	66474	+	742	92	131	163	155	36	35	67	70	92	101	202	203
PBANKA_120170	12	67158	67616	-	459	39	43	89	101	57	59	69	68	85	77	101	117
PBANKA_120180	12	69427	74574	-	5148	11632	12239	3472	3709	5714	5947	7198	7442	3343	3537	3548	3699
PBANKA_120190	12	75865	76753	-	889	395	385	1073	1062	507	538	583	619	596	634	855	841
PBANKA_120200	12	79580	80416	+	837	1142	1266	2909	2959	9107	9530	4774	4819	8185	8338	2943	3036
PBANKA_120210	12	81608	85048	-	3441	551	550	825	821	164	181	196	227	363	342	1305	1269
PBANKA_120220	12	87840	91421	-	3582	2434	2617	3034	3112	1255	1218	1228	1217	1289	1329	3829	3941
PBANKA_120230	12	93167	94129	+	963	698	654	334	319	61	62	199	242	99	93	488	549
PBANKA_120240	12	94488	95454	-	967	4196	4260	4401	4582	3781	3734	5057	5155	3494	3605	4109	4280
PBANKA_120250	12	97633	105446	-	7814	3441	3543	4280	4490	1495	1504	1390	1449	2213	2261	4025	4210
PBANKA_120260	12	107800	110733	-	2934	7737	7738	4262	4445	3057	3069	4980	5105	2602	2699	5006	5329
PBANKA_120270	12	113644	115791	-	2148	2698	2881	2178	2295	1163	1150	1249	1260	1046	1084	4275	4278
PBANKA_120280	12	119358	119960	-	603	1173	1208	591	644	503	503	668	618	613	611	530	524
PBANKA_120290	12	121327	125131	+	3805	101	108	136	125	263	277	177	147	451	418	81	73
PBANKA_120300	12	125349	126656	-	1308	48	35	108	102	50	58	42	45	122	123	72	70
PBANKA_120310	12	127338	128763	+	1426	52	46	122	93	34	36	29	34	78	72	76	96
PBANKA_120320	12	129322	130275	+	954	105	106	189	213	52	47	47	36	83	71	244	237
PBANKA_120330	12	130541	132652	-	2112	1011	1065	996	1021	251	240	368	355	406	349	948	1083
PBANKA_120340	12	133396	136353	+	2958	288	331	2201	2230	2000	2126	2800	2902	1999	2111	2324	2396
PBANKA_120345	12	136527	137019	-	493	26	23	97	88	53	56	88	113	97	86	82	94
PBANKA_120350	12	137451	138440	-	990	286	294	158	153	32	41	144	165	41	56	151	160
PBANKA_120360	12	139017	140010	-	994	14	31	15	9	5	2	17	10	4	4	16	11
PBANKA_120370	12	141455	145282	-	3828	1787	1867	1426	1476	490	479	821	865	1101	1149	1718	1736
PBANKA_120380	12	147118	148883	-	1766	408	424	1568	1530	1769	1828	1655	1687	1923	2027	1560	1608
PBANKA_120390	12	150086	152390	-	2305	1601	1668	853	906	1242	1282	1934	1876	1355	1413	936	974
PBANKA_120400	12	154666	155443	+	778	58	71	130	127	107	105	201	214	144	156	92	75
PBANKA_120410	12	156409	158112	+	1704	272	267	1070	1145	437	488	470	461	617	634	968	1038
PBANKA_120420	12	158625	160049	-	1425	484	505	1865	1991	319	287	1898	1940	782	740	3213	3161
PBANKA_120430	12	161514	162680	-	1167	94	96	296	353	71	70	104	107	181	202	337	341
PBANKA_120440	12	165204	165844	-	641	819	830	1739	1770	595	597	940	993	828	816	1398	1419
PBANKA_120450	12	168221	169321	-	1101	165	193	184	197	21	22	199	196	48	48	173	181
PBANKA_120460	12	169844	172408	-	2565	61	69	156	155	26	29	72	79	80	98	187	149
PBANKA_120470	12	173006	173866	+	861	106	100	171	188	35	21	32	37	72	79	169	180
PBANKA_120480	12	174222	174803	-	582	284	312	337	350	52	60	117	117	108	140	297	309
PBANKA_120490	12	175860	176907	+	1048	817	843	831	836	153	158	251	275	285	281	861	937
PBANKA_120500	12	178650	179932	+	1283	929	893	843	889	279	286	418	433	435	443	970	917
PBANKA_120510	12	181540	183008	+	1469	178	180	955	1047	677	693	1426	1409	1252	1325	815	758
PBANKA_120520	12	184149	185862	+	1714	118	122	733	732	174	154	481	500	452	456	283	266
PBANKA_120530	12	185960	186738	-	779	165	182	462	451	97	96	363	380	253	250	312	325
PBANKA_120540	12	187615	190003	-	2389	427	406	443	452	261	300	324	330	554	565	382	343
PBANKA_120550	12	193098	195094	+	1997	888	899	376	400	655	680	929	919	529	502	149	174
PBANKA_120560	12	196252	196911	+	660	447	504	715	721	429	449	593	562	552	516	585	587
PBANKA_120570	12	197720	198073	+	354	186	191	112	143	81	99	126	149	121	122	99	111
PBANKA_120580	12	198910	199239	+	330	287	286	348	397	93	103	188	180	146	185	255	328
PBANKA_120590	12	200376	204572	-	4197	2479	2632	1871	1957	1797	1889	1772	1843	1905	1966	1762	1829
PBANKA_120600	12	208527	211016	-	2490	2292	2538	1872	1886	1666	1741	2331	2379	1667	1656	2502	2568
PBANKA_120610	12	213199	214812	+	1614	688	602	781	834	443	447	584	613	739	744	868	889
PBANKA_120620	12	217949	223933	+	5985	4477	4608	9770	10193	5367	5498	5176	5359	5324	5373	8527	8864
PBANKA_120630	12	227320	238080	+	10761	27598	28214	20368	20976	25873	26421	23696	24182	18933	19074	18043	18261
PBANKA_120640	12	238750	239922	-	1173	818	839	787	840	231	277	328	366	371	408	837	836
PBANKA_120650	12	240942	242330	+	1389	67	76	173	169	99	96	130	104	144	152	161	205
PBANKA_120660	12	242903	244631	-	1729	1283	1377	2435	2526	642	667	1040	1012	1028	994	1863	1889
PBANKA_120670	12	247183	250119	+	2937	512	516	692	800	368	375	601	700	661	719	496	526
PBANKA_120680	12	252528	253685	+	1158	340	342	116	110	209	292	158	189	158	162	104	110
PBANKA_120690	12	255348	257505	-	2158	792	813	2188	2317	992	1057	1814	1848	2735	2668	1623	1659
PBANKA_120700	12	259613	261022	-	1410	2365	2455	1058	1067	2763	2775	2851	2945	1799	1741	919	987
PBANKA_120710	12	262675	264112	+	1438	373	384	1037	1030	2989	3213	2535	2658	2633	2664	846	876
PBANKA_120720	12	264968	266022	-	1055	272	255	658	635	225	209	333	365	384	354	514	521
PBANKA_120730	12	267051	267875	+	825	149	155	198	207	95	113	102	120	162	136	216	229
PBANKA_120740	12	268446	269636	+	1191	13	26	20	14	11	7	33	26	30	34	29	23
PBANKA_120750	12	270522	273068	+	2547	306	300	482	504	107	92	110	124	147	173	530	516
PBANKA_120760	12	273595	275361	-	1767	66	71	254	242	63	42	61	63	105	101	246	293
PBANKA_120770	12	276909	277913	+	1005	41	54	281	304	149	159	155	123	290	271	285	289
PBANKA_120780	12	278644	279894	-	1251	368	349	283	300	229	241	289	301	305	347	363	370
PBANKA_120790	12	281821	283011	+	1191	700	736	2674	2888	4987	5079	4445	4455	4823	4989	1780	1728
PBANKA_120800	12	283492	285093	-	1602	324	328	105	93	175	163	254	278	264	284	71	98
PBANKA_120810	12	286682	290577	-	3896	248	266	394	370	64	65	74	76	160	178	459	475
PBANKA_120820	12	291819	300786	-	8968	7754	7993	5588	5702	3229	3258	3655	3715	3779	4018	7023	7075
PBANKA_120830	12	302850	305182	+	2333	63	60	198	218	59	50	81	92	122	129	205	186
PBANKA_120840	12	305277	306070	-	794	58	56	104	124	44	31	50	55	62	76	113	107
PBANKA_120850	12	307092	307952	+	861	92	105	280	280	47	72	120	107	132	148	227	220
PBANKA_120860	12	308625	313424	-	4800	4174	4260	2264	2307	2456	2586	2410	2550	2124	2153	2982	3025
PBANKA_120870	12	316029	316886	+	858	3577	3776	1291	1292	2732	2857	2976	2975	1420	1291	908	937
PBANKA_120880	12	316902	318802	-	1901	923	946	575	607	968	1020	1019	999	486	528	774	771
PBANKA_120890	12	319215	320830	+	1616	81	88	66	74	32	24	67	87	55	51	81	88
PBANKA_120900	12	321693	322458	-	766	394	398	510	553	316	325	330	365	548	517	483	518
PBANKA_120910	12	323980	325505	+	1526	89	73	233	262	85	85	82	90	154	178	267	247
PBANKA_120920	12	325755	326621	-	867	105	110	105	119	17	19	34	37	32	40	138	134
PBANKA_120930	12	327750	329343	+	1594	40	42	108	110	18	20	42	47	47	60	132	148
PBANKA_120940	12	330196	331201	-	1006	339	315	296	329	78	90	506	516	310	334	448	492
PBANKA_120950	12	333440	335909	-	2470	308	284	277	314	235	242	243	235	387	426	342	367
PBANKA_120960	12	337071	337809	+	739	124	121	147	149	156	164	121	151	289	298	153	155
PBANKA_120970	12	338583	340382	+	1800	290	257	309	318	145	181	261	273	287	306	179	194
PBANKA_120980	12	340964	341776	-	813	159	163	743	864	136	185	247	259	316	326	745	731
PBANKA_120990	12	343626	344153	-	528	82	79	144	129	59	74	148	154	165	196	159	156
PBANKA_121000	12	344581	346221	-	1641	147	166	397	363	75	84	127	121	185	214	382	372
PBANKA_121010	12	347921	349027	+	1107	185	185	347	372	126	132	121	144	179	228	404	414
PBANKA_121020	12	352527	355439	+	2913	19507	20110	15960	16663	17499	18155	21785	22354	10688	11105	25130	25386
PBANKA_121030	12	356633	358429	-	1797	182	200	429	396	164	151	216	224	269	290	423	453
PBANKA_121040	12	359711	362894	+	3184	1464	1545	1456	1414	962	961	1139	1243	1044	1005	842	866
PBANKA_121050	12	364013	365236	-	1224	1474	1509	925	936	1366	1347	1373	1557	986	990	814	881
PBANKA_121060	12	366887	367754	+	868	1217	1257	834	898	1345	1330	2399	2521	1121	1264	287	290
PBANKA_121070	12	368785	369705	-	921	247	287	613	551	412	373	514	517	602	578	347	332
PBANKA_121080	12	371512	372668	-	1157	204	243	2144	2215	541	554	331	365	1115	1178	1940	2058
PBANKA_121090	12	374296	376077	-	1782	73	92	374	421	258	293	362	325	531	598	467	444
PBANKA_121100	12	378055	379689	-	1635	232	250	366	391	172	179	218	245	322	307	469	507
PBANKA_121110	12	381367	385487	+	4121	1507	1553	967	1042	454	472	497	507	909	944	997	917
PBANKA_121120	12	386333	388597	+	2265	320	281	545	593	88	73	103	84	85	101	740	822
PBANKA_121130	12	389502	390748	-	1247	182	202	500	498	147	176	282	288	295	324	456	465
PBANKA_121140	12	392636	394790	+	2155	73	73	133	120	34	38	65	53	99	111	124	124
PBANKA_121150	12	395746	399502	-	3757	2587	2586	1151	1254	1873	1910	1707	1740	1119	1183	1403	1392
PBANKA_121160	12	403242	405725	+	2484	1120	1145	1217	1261	782	803	1029	1074	891	958	904	966
PBANKA_121170	12	406535	408334	-	1800	315	331	626	630	182	168	393	376	382	411	348	387
PBANKA_121180	12	409462	413073	-	3612	249	280	400	403	163	194	140	147	285	313	478	475
PBANKA_121190	12	417082	421499	+	4418	8965	9254	4856	4928	3816	3864	3536	3694	4002	4069	3501	3643
PBANKA_121200	12	423305	429706	+	6402	9274	9804	3866	4036	2031	2113	2106	2127	2537	2545	3645	3817
PBANKA_121210	12	430294	431475	+	1182	35	39	184	154	79	86	141	149	128	141	100	92
PBANKA_121220	12	432201	434105	+	1905	388	406	1134	1101	2168	2101	2273	2299	1617	1734	353	397
PBANKA_121230	12	434958	438068	-	3111	1230	1281	1458	1517	271	329	453	454	532	551	1603	1588
PBANKA_121240	12	439589	441426	-	1838	53	46	130	141	220	237	237	232	313	306	66	60
PBANKA_121250	12	442343	446305	+	3963	4492	4643	1578	1502	3386	3407	4723	4660	2487	2457	563	593
PBANKA_121260	12	447562	450257	+	2696	369	378	156	162	51	43	152	140	97	86	171	137
PBANKA_121270	12	452608	458934	+	6327	9423	9521	6419	6711	3852	3952	3809	4009	4107	4222	7826	8045
PBANKA_121280	12	459751	460725	+	975	110	123	329	275	66	74	85	93	106	125	257	246
PBANKA_121290	12	461823	465767	+	3945	1832	1935	657	685	671	677	451	493	689	739	602	611
PBANKA_121300	12	466419	473567	-	7149	13730	14015	11970	11776	13325	13464	12715	13265	9744	9729	13562	13855
PBANKA_121310	12	479822	480673	+	852	26	47	166	170	22	37	70	72	102	98	191	211
PBANKA_121320	12	481022	485132	-	4111	1398	1458	1130	1147	184	179	558	509	184	209	1346	1420
PBANKA_121330	12	485759	491425	-	5667	12769	13314	5099	5227	6506	6491	7052	7177	4385	4355	3341	3333
PBANKA_121340	12	494313	495254	+	942	95	113	164	170	81	87	112	99	100	97	130	135
PBANKA_121350	12	496177	497262	-	1086	373	365	742	769	213	242	327	349	277	273	733	764
PBANKA_121360	12	498364	500998	-	2635	155	164	371	429	125	176	217	240	384	374	412	444
PBANKA_121370	12	501704	503149	+	1446	175	164	244	259	96	96	169	166	180	210	235	218
PBANKA_121380	12	503841	505166	+	1326	248	233	248	261	81	68	91	88	135	145	249	278
PBANKA_121390	12	505633	507234	-	1602	270	268	609	583	108	144	131	123	212	222	656	664
PBANKA_121400	12	508279	510311	-	2033	192	242	660	788	128	116	109	103	208	220	854	916
PBANKA_121410	12	511142	513098	-	1957	64	71	144	187	29	34	72	84	77	88	172	132
PBANKA_121420	12	514310	515798	+	1489	771	829	1701	1823	546	570	1076	1035	1327	1419	1078	1101
PBANKA_121430	12	517612	519171	+	1560	2852	3011	3977	4068	1029	1100	1252	1345	2398	2466	3869	3961
PBANKA_121440	12	521354	522859	+	1506	2818	2864	1111	1206	1769	1870	1912	2011	1451	1521	1015	1050
PBANKA_121450	12	523602	524333	-	732	50	62	55	52	25	27	75	72	33	32	50	38
PBANKA_121460	12	525766	527556	+	1791	150	165	462	505	157	210	219	234	274	281	389	424
PBANKA_121470	12	528411	531296	-	2886	854	923	1072	1031	450	507	747	741	912	895	1344	1329
PBANKA_121480	12	535453	537384	+	1932	472	474	2709	2756	2287	2347	1418	1472	1999	1968	5385	5448
PBANKA_121490	12	537880	540236	-	2357	5358	5599	3399	3511	1807	1825	1892	1862	1680	1735	4294	4385
PBANKA_121500	12	541319	542714	-	1396	420	393	770	824	1432	1394	1016	1057	962	1026	778	806
PBANKA_121510	12	544391	547681	+	3291	880	859	910	973	1178	1215	1937	2005	1262	1372	589	530
PBANKA_121520	12	547880	549103	-	1224	26	40	102	120	54	63	66	72	73	61	108	105
PBANKA_121530	12	549558	550835	-	1278	532	538	358	359	154	133	215	225	179	172	280	299
PBANKA_121540	12	551963	556498	-	4536	9458	9762	9753	10040	4334	4323	5341	5510	6079	6043	7885	8205
PBANKA_121550	12	558014	558592	+	579	230	192	333	386	151	158	146	131	232	224	230	257
PBANKA_121560	12	560276	561558	+	1283	3208	3048	2654	2683	1836	1819	2184	2227	2025	2101	2599	2646
PBANKA_121570	12	562072	563148	-	1077	166	204	145	174	55	60	110	115	107	118	141	165
PBANKA_121580	12	564565	572069	+	7505	6034	6328	3802	3859	1430	1432	1456	1588	2307	2561	3260	3205
PBANKA_121590	12	572649	576437	-	3789	1966	2059	783	829	161	165	389	439	187	204	931	924
PBANKA_121600	12	578288	579199	+	912	291	303	308	302	121	131	142	154	168	160	384	422
PBANKA_121610	12	579524	581992	-	2469	754	813	580	649	383	376	409	402	608	600	736	669
PBANKA_121620	12	584108	585790	+	1683	89	99	263	280	79	64	110	108	192	202	195	197
PBANKA_121630	12	587113	591438	+	4326	825	806	376	385	510	510	456	431	621	609	380	404
PBANKA_121640	12	592086	594005	+	1920	117	126	391	373	72	101	102	100	146	152	378	431
PBANKA_121650	12	595587	596099	+	513	412	445	1463	1549	447	466	807	778	877	859	1191	1204
PBANKA_121660	12	597007	601224	-	4218	2160	2174	2590	2430	2148	2227	2523	2563	3007	2985	1910	1990
PBANKA_121670	12	604074	611258	-	7185	11086	11683	4680	4713	4615	4811	4288	4399	4484	4492	4912	5053
PBANKA_121680	12	614397	620268	+	5872	2618	2752	2867	2861	2793	2945	1844	1842	2011	2035	5651	5886
PBANKA_121690	12	620822	623157	-	2336	2330	2360	1541	1565	1657	1716	1773	1740	1432	1516	1369	1479
PBANKA_121700	12	624405	627020	+	2616	309	325	491	524	160	158	266	290	298	319	614	593
PBANKA_121710	12	627546	628953	-	1408	501	528	523	509	951	927	1010	1129	937	1020	233	218
PBANKA_121720	12	631396	634443	+	3048	1994	2095	1123	1229	1489	1499	1107	1119	1093	1129	909	919
PBANKA_121730	12	635397	637487	+	2091	493	493	332	348	230	223	212	228	427	425	151	153
PBANKA_121740	12	638932	643782	+	4851	4349	4402	2973	2943	2595	2506	2191	2113	3547	3686	1284	1322
PBANKA_121750	12	644133	645919	-	1787	237	248	904	926	474	450	297	307	563	547	1579	1590
