Geneid	Chr	Start	End	Strand	Length	ERR2216044	ERR2216045	ERR2216046	ERR2216047	ERR2216048	ERR2216049	ERR2216050	ERR2216051	ERR2216052	ERR2216053	ERR2216054	ERR2216055	ERR2216056	ERR2216057
PBANKA_120760	12	273595	275361	-	1767	2	4	4	2	77	32	134	104	117	70	36	27	6	13
PBANKA_120770	12	276909	277913	+	1005	3	6	1	5	116	48	284	305	243	157	83	76	216	269
PBANKA_120780	12	278644	279894	-	1251	2	2	2	1	6	6	49	38	77	76	125	108	30	23
PBANKA_120790	12	281821	283011	+	1191	2	2	1	0	4	0	8	5	19	19	441	641	1757	1939
PBANKA_120800	12	283492	285093	-	1602	6	2	0	0	0	0	7	4	10	9	27	24	7	2
PBANKA_120810	12	286682	290577	-	3896	62	78	0	2	22	9	88	45	80	50	29	16	5	0
PBANKA_120820	12	291819	300786	-	8968	212	304	6	2	120	33	481	349	806	472	328	218	68	44
PBANKA_120830	12	302850	305182	+	2333	26	43	0	0	45	6	85	68	89	49	41	28	5	8
PBANKA_120840	12	305277	306070	-	794	153	180	1	1	81	37	107	83	136	88	50	42	12	15
PBANKA_120850	12	307092	307952	+	861	27	30	2	0	21	5	72	40	102	62	39	26	4	0
PBANKA_120860	12	308625	313424	-	4800	9	7	1	3	103	33	136	84	124	86	88	46	469	380
PBANKA_120870	12	316029	316886	+	858	0	0	0	0	45	26	65	49	100	41	74	80	1591	1412
PBANKA_120880	12	316902	318802	-	1901	40	62	0	3	38	17	93	61	151	73	61	65	976	1012
PBANKA_120890	12	319215	320830	+	1616	7	9	0	0	0	1	3	5	5	6	16	11	3	1
PBANKA_120900	12	321693	322458	-	766	3	4	9	4	164	63	134	141	120	92	37	23	70	70
PBANKA_120910	12	323980	325505	+	1526	3	2	1	8	49	17	146	121	180	134	68	70	9	4
PBANKA_120920	12	325755	326621	-	867	0	0	2	1	11	2	24	18	20	6	7	6	1	3
PBANKA_120930	12	327750	329343	+	1594	0	0	2	0	14	5	26	34	66	50	21	11	2	0
PBANKA_120940	12	330196	331201	-	1006	0	0	0	0	1	0	10	6	25	22	14	10	3	0
PBANKA_120950	12	333440	335909	-	2470	1	6	1	1	30	8	74	38	55	33	36	29	5	4
PBANKA_120960	12	337071	337809	+	739	0	2	4	0	26	4	50	47	75	51	61	51	13	20
PBANKA_120970	12	338583	340382	+	1800	5	2	0	0	15	1	53	40	114	69	60	47	5	7
PBANKA_120980	12	340964	341776	-	813	7	3	6	2	241	107	463	437	665	499	174	183	29	10
PBANKA_120990	12	343626	344153	-	528	177	217	1	0	11	2	39	31	90	58	34	28	5	3
PBANKA_121000	12	344581	346221	-	1641	49	46	2	0	29	10	136	83	141	88	56	24	7	8
PBANKA_121010	12	347921	349027	+	1107	29	53	1	2	101	37	132	118	155	105	58	55	11	14
PBANKA_121020	12	352527	355439	+	2913	15	25	27	40	926	358	890	744	743	453	362	234	2979	2950
PBANKA_121030	12	356633	358429	-	1797	40	33	4	1	75	26	181	109	239	165	75	64	12	6
PBANKA_121040	12	359711	362894	+	3184	130	202	1	1	23	7	50	33	49	36	64	53	5	5
PBANKA_121050	12	364013	365236	-	1224	0	0	1	1	42	13	51	43	54	33	130	147	25	12
PBANKA_121060	12	366887	367754	+	868	2	1	1	0	6	1	7	9	128	76	627	626	78	80
PBANKA_121070	12	368785	369705	-	921	1	0	2	1	109	54	300	296	451	474	315	425	36	38
PBANKA_121080	12	371512	372668	-	1157	0	0	5	3	227	87	230	261	231	205	98	79	53	33
PBANKA_121090	12	374296	376077	-	1782	4	8	0	1	45	15	189	256	207	120	93	82	86	144
PBANKA_121100	12	378055	379689	-	1635	1	7	1	3	57	30	95	72	99	64	41	35	36	47
PBANKA_121110	12	381367	385487	+	4121	1	2	2	2	47	21	262	187	315	174	138	121	35	18
PBANKA_121120	12	386333	388597	+	2265	2	4	0	3	62	27	122	75	86	80	41	36	7	1
PBANKA_121130	12	389502	390748	-	1247	2	1	1	1	31	17	124	102	158	113	92	60	108	121
PBANKA_121140	12	392636	394790	+	2155	0	1	7	0	18	7	81	70	78	57	41	24	7	5
PBANKA_121150	12	395746	399502	-	3757	51	57	3	5	126	63	206	158	159	104	113	118	770	629
PBANKA_121160	12	403242	405725	+	2484	27	46	4	2	44	18	193	164	304	130	331	319	43	58
PBANKA_121170	12	406535	408334	-	1800	3	4	1	0	67	27	177	136	287	194	132	100	9	14
PBANKA_121180	12	409462	413073	-	3612	50	65	0	1	11	7	172	80	1352	1159	1045	856	107	64
PBANKA_121190	12	417082	421499	+	4418	78	111	7	3	135	56	430	275	530	314	402	396	248	214
PBANKA_121200	12	423305	429706	+	6402	158	193	2	1	145	62	960	621	1393	884	555	384	91	64
PBANKA_121210	12	430294	431475	+	1182	2	1	0	0	29	17	54	42	73	47	115	97	5	4
PBANKA_121220	12	432201	434105	+	1905	1	2	1	1	3	1	15	4	94	51	670	626	170	102
PBANKA_121230	12	434958	438068	-	3111	1	6	1	0	59	19	169	138	225	142	73	60	15	25
PBANKA_121240	12	439589	441426	-	1838	0	1	0	0	1	1	27	11	61	36	179	174	42	11
PBANKA_121250	12	442343	446305	+	3963	2	11	3	2	0	0	2	11	52	24	780	894	147	125
PBANKA_121260	12	447562	450257	+	2696	3	8	0	0	2	1	16	17	18	17	5	11	0	4
PBANKA_121270	12	452608	458934	+	6327	551	756	14	11	149	80	1076	771	967	506	439	331	130	87
PBANKA_121280	12	459751	460725	+	975	6	12	0	1	73	24	159	128	224	198	91	74	15	23
PBANKA_121290	12	461823	465767	+	3945	18	25	7	2	30	5	50	44	94	56	55	38	341	277
PBANKA_121300	12	466419	473567	-	7149	387	603	11	8	285	117	785	533	1673	1028	1251	902	2074	1615
PBANKA_121310	12	479822	480673	+	852	125	181	7	1	111	55	161	176	174	97	40	42	10	11
PBANKA_121320	12	481022	485132	-	4111	14	29	0	3	24	3	37	25	35	30	25	19	6	1
PBANKA_121330	12	485759	491425	-	5667	1	0	0	1	0	3	19	27	170	98	547	401	54	66
PBANKA_121340	12	494313	495254	+	942	1	0	0	0	9	4	29	22	28	23	25	14	3	0
PBANKA_121350	12	496177	497262	-	1086	54	120	3	4	14	5	51	38	85	60	24	30	21	27
PBANKA_121360	12	498364	500998	-	2635	0	2	6	15	326	177	474	501	388	259	111	77	43	65
PBANKA_121370	12	501704	503149	+	1446	0	1	1	6	129	71	176	167	210	151	89	83	105	102
PBANKA_121380	12	503841	505166	+	1326	20	37	0	0	25	11	241	153	350	215	123	97	12	13
PBANKA_121390	12	505633	507234	-	1602	7	21	4	2	82	46	155	154	198	147	47	64	11	9
PBANKA_121400	12	508279	510311	-	2033	1	1	19	20	998	577	462	549	270	206	105	92	10	29
PBANKA_121410	12	511142	513098	-	1957	0	1	0	0	8	6	16	19	30	19	15	12	1	0
PBANKA_121420	12	514310	515798	+	1489	21	17	5	0	125	59	260	177	527	348	201	162	28	16
PBANKA_121430	12	517612	519171	+	1560	408	570	85	81	3294	1627	2047	2057	1639	1181	501	523	228	266
PBANKA_121440	12	521354	522859	+	1506	23	35	0	1	5	2	40	21	35	30	92	86	19	18
PBANKA_121450	12	523602	524333	-	732	1	0	0	1	3	0	2	1	3	2	4	5	1	0
PBANKA_121460	12	525766	527556	+	1791	21	33	0	1	18	12	136	56	169	87	67	55	6	10
PBANKA_121470	12	528411	531296	-	2886	311	501	1	1	79	48	416	276	684	418	297	202	34	11
PBANKA_121480	12	535453	537384	+	1932	155	281	7	5	162	48	303	158	403	258	185	125	288	279
PBANKA_121490	12	537880	540236	-	2357	207	271	2	1	89	22	433	213	444	300	213	136	354	264
PBANKA_121500	12	541319	542714	-	1396	1	8	2	5	54	19	114	79	118	90	86	89	35	19
PBANKA_121510	12	544391	547681	+	3291	1	1	0	3	9	5	108	78	170	87	349	356	76	65
PBANKA_121520	12	547880	549103	-	1224	0	0	0	0	41	7	21	17	15	9	8	10	0	0
PBANKA_121530	12	549558	550835	-	1278	2	0	0	0	20	4	39	24	53	31	20	28	4	3
PBANKA_121540	12	551963	556498	-	4536	72	97	0	3	95	29	232	141	513	292	400	278	201	170
PBANKA_121550	12	558014	558592	+	579	159	177	3	3	171	80	231	214	389	413	171	184	36	22
PBANKA_121560	12	560276	561558	+	1283	8	4	38	31	1302	467	818	657	843	592	299	299	1115	1323
PBANKA_121570	12	562072	563148	-	1077	21	18	3	3	12	3	46	41	96	61	53	38	1	1
PBANKA_121580	12	564565	572069	+	7505	83	119	23	9	80	36	381	207	587	311	322	224	360	212
PBANKA_121590	12	572649	576437	-	3789	18	23	0	0	4	2	21	12	33	15	20	9	13	3
PBANKA_121600	12	578288	579199	+	912	109	116	2	0	22	11	63	29	42	28	29	7	3	8
PBANKA_121610	12	579524	581992	-	2469	7	4	7	2	47	10	94	64	89	40	26	19	61	57
PBANKA_121620	12	584108	585790	+	1683	0	1	2	2	18	2	232	181	343	190	119	80	9	10
PBANKA_121630	12	587113	591438	+	4326	1	0	4	0	4	3	110	82	200	134	155	87	30	8
PBANKA_121640	12	592086	594005	+	1920	1	0	2	6	51	35	107	81	124	66	48	48	44	36
PBANKA_121650	12	595587	596099	+	513	4	14	25	23	1355	760	1039	1389	974	1071	306	389	318	368
PBANKA_121660	12	597007	601224	-	4218	74	67	118	15	269	53	526	237	652	293	478	206	891	435
PBANKA_121670	12	604074	611258	-	7185	404	625	6	4	67	26	309	219	986	609	829	573	198	163
PBANKA_121680	12	614397	620268	+	5872	558	856	11	4	95	30	487	253	1183	884	825	661	110	58
PBANKA_121690	12	620822	623157	-	2336	3	12	1	1	45	10	190	134	235	142	104	90	548	452
PBANKA_121700	12	624405	627020	+	2616	1	4	0	1	76	24	122	159	228	119	86	48	21	37
PBANKA_121710	12	627546	628953	-	1408	0	0	0	0	2	0	30	12	213	131	532	502	72	57
PBANKA_121720	12	631396	634443	+	3048	4	2	2	0	6	8	111	93	231	173	296	221	63	42
PBANKA_121730	12	635397	637487	+	2091	42	49	3	0	36	7	115	102	244	172	137	99	21	21
PBANKA_121740	12	638932	643782	+	4851	89	131	1	1	53	22	780	559	1034	590	439	323	102	57
PBANKA_121750	12	644133	645919	-	1787	2	2	5	7	116	32	178	104	138	80	44	34	33	21
PBANKA_121760	12	647437	648373	-	937	394	445	15	18	642	463	1296	1440	2626	2567	3289	3590	502	494
PBANKA_121770	12	650715	652218	-	1504	13	17	28	5	169	50	359	332	502	395	198	167	127	38
PBANKA_121780	12	656023	657601	-	1579	0	2	9	2	71	20	108	95	174	73	48	40	8	5
PBANKA_121790	12	658427	659586	+	1160	0	0	0	2	22	13	66	59	98	73	65	69	7	6
PBANKA_121800	12	660231	661664	-	1434	1	2	0	0	18	7	17	26	13	3	115	126	1419	1473
PBANKA_121810	12	666016	675630	+	9615	100	135	1	0	178	61	201	225	157	101	109	80	70	45
PBANKA_121820	12	676881	678488	-	1608	3	4	12	15	551	221	761	688	665	392	198	150	18	19
PBANKA_121830	12	679769	681352	-	1584	0	2	0	1	2	1	51	25	42	39	14	12	3	6
PBANKA_121840	12	682140	683629	-	1490	96	141	3	6	32	12	91	56	194	134	107	110	18	12
PBANKA_121850	12	685393	686883	-	1491	21	20	3	8	175	60	185	188	304	249	126	110	23	15
PBANKA_121860	12	689516	690355	+	840	8	5	2	0	42	10	80	74	94	60	33	31	5	3
PBANKA_121870	12	691409	692731	+	1323	18	17	0	1	6	1	33	21	59	31	23	31	28	13
PBANKA_121880	12	692987	701588	-	8602	7	17	10	8	84	32	165	94	192	121	193	117	348	367
PBANKA_121890	12	703024	703776	-	753	1	1	7	6	304	116	296	317	350	299	92	100	13	18
PBANKA_121900	12	704616	706973	-	2358	36	31	52	13	241	68	560	305	525	231	292	181	334	209
PBANKA_121910	12	708433	709345	-	913	1	3	0	0	7	0	14	15	9	16	7	10	1	3
PBANKA_121920	12	710252	710878	-	627	29	50	3	6	109	61	331	426	505	482	260	260	43	15
PBANKA_121930	12	714324	716834	+	2511	41	60	37	34	1529	629	2082	1722	2063	1340	631	517	163	160
PBANKA_121940	12	718053	718913	-	861	0	1	5	0	26	14	150	123	171	116	58	44	7	9
PBANKA_121950	12	720062	723231	+	3170	84	56	0	1	46	16	135	111	207	139	99	64	115	110
PBANKA_121960	12	725135	728248	+	3114	3	5	0	0	20	12	72	60	100	52	24	12	10	10
PBANKA_121970	12	728942	729688	-	747	7	20	0	0	2	1	43	32	98	42	45	34	7	6
PBANKA_121980	12	730332	737588	-	7257	2	1	3	4	60	22	439	315	700	409	227	180	34	30
PBANKA_121990	12	738873	742407	-	3535	19	23	1	1	68	25	157	96	267	175	116	84	15	6
PBANKA_122000	12	743697	744274	+	578	13	9	0	0	27	12	85	81	98	66	39	36	0	1
PBANKA_122010	12	744825	748455	-	3631	7	11	13	12	87	20	257	147	248	162	127	85	73	56
PBANKA_122020	12	750377	752476	-	2100	6	6	2	0	3	1	10	13	23	24	220	266	1977	2524
PBANKA_122030	12	754826	755959	-	1134	222	287	2	0	16	2	31	28	92	46	42	32	79	61
PBANKA_122040	12	757026	757223	+	198	54	66	1	0	12	3	17	20	19	14	5	9	10	15
PBANKA_122050	12	758273	764338	-	6066	356	447	2	10	100	30	417	266	576	311	596	415	97	54
PBANKA_122060	12	766417	776130	-	9714	219	317	1	0	18	9	225	92	475	275	362	214	113	52
PBANKA_122070	12	777629	779032	+	1404	6	4	2	0	30	8	82	51	105	64	59	48	25	6
PBANKA_122080	12	780778	786363	+	5586	1623	2732	5	4	173	83	586	382	978	630	555	417	109	76
PBANKA_122090	12	787065	788039	-	975	5	9	1	1	72	24	146	106	77	83	44	23	7	3
PBANKA_122100	12	788835	790028	+	1194	3	1	6	12	110	36	222	153	184	101	61	56	9	12
PBANKA_122110	12	790389	791649	-	1261	0	2	4	1	44	12	86	89	86	43	30	16	6	1
PBANKA_122120	12	792943	793748	-	806	204	224	21	21	855	387	571	510	660	517	228	272	1017	1169
PBANKA_122130	12	795636	796319	-	684	52	83	9	3	58	20	84	62	104	80	103	122	279	278
PBANKA_122140	12	797083	798054	-	972	2	1	2	0	36	22	71	53	151	108	53	60	8	3
PBANKA_122150	12	798862	799962	+	1101	14	17	0	1	33	10	96	70	115	73	52	33	15	7
PBANKA_122160	12	801022	804390	-	3369	138	199	12	1	233	81	427	310	524	358	276	204	420	391
PBANKA_122170	12	805981	806499	-	519	11	11	0	0	13	1	50	63	57	31	38	45	186	241
PBANKA_122180	12	808274	811006	+	2733	23	18	1	2	39	9	161	105	136	114	53	28	17	50
PBANKA_122190	12	811954	812334	+	381	3	5	0	0	8	3	26	24	29	25	19	20	7	9
PBANKA_122200	12	812756	814939	-	2184	5	0	0	0	85	33	170	103	140	91	61	42	23	14
PBANKA_122210	12	817604	819556	+	1953	1	2	7	4	53	36	105	85	129	94	189	186	21	21
PBANKA_122220	12	820970	821361	+	392	17	28	2	1	34	12	60	55	53	45	26	18	6	4
PBANKA_122230	12	821778	823176	-	1399	111	172	1	7	54	15	113	59	409	222	327	243	77	72
PBANKA_122240	12	824256	825380	-	1125	91	94	4	1	97	55	264	209	284	229	104	98	21	23
PBANKA_122250	12	828222	829886	+	1665	894	1348	0	0	5	4	24	14	38	19	270	283	101	71
PBANKA_122260	12	831068	835417	-	4350	9	7	2	0	15	18	85	70	151	68	68	49	33	15
PBANKA_122270	12	836437	840000	-	3564	70	100	0	3	41	13	121	87	153	93	129	76	426	383
PBANKA_122280	12	840860	842230	-	1371	118	124	7	9	332	171	466	445	561	361	175	136	40	50
PBANKA_122290	12	843278	844631	+	1354	61	97	6	5	190	75	459	353	641	496	302	224	43	16
PBANKA_122300	12	846115	849767	+	3653	66	129	3	12	149	84	368	208	498	349	257	180	98	76
PBANKA_122310	12	850845	852058	-	1214	3	0	3	6	188	72	354	358	447	396	119	131	18	12
PBANKA_122320	12	852925	854241	-	1317	73	96	3	0	35	9	129	105	153	92	37	41	10	16
PBANKA_122330	12	856030	857116	-	1087	2	0	2	2	37	7	196	158	415	288	162	125	594	598
PBANKA_122340	12	859161	860560	-	1400	11	12	0	1	29	8	65	71	114	60	53	63	15	2
PBANKA_122350	12	862361	865834	+	3474	20	21	5	10	58	25	161	108	201	109	249	217	230	261
PBANKA_122360	12	865949	867441	-	1493	3	7	1	2	65	22	152	153	254	216	109	117	27	27
PBANKA_122370	12	868235	869341	+	1107	0	2	0	1	8	0	24	17	41	17	23	18	3	1
PBANKA_122380	12	871606	874661	+	3056	650	970	11	7	185	116	675	520	959	607	796	726	225	175
PBANKA_122390	12	875219	876310	-	1092	11	13	0	0	18	3	55	34	103	59	44	27	2	6
PBANKA_122400	12	877573	883339	-	5767	110	182	5	2	31	6	142	79	146	78	95	104	46	13
PBANKA_122410	12	884394	887186	+	2793	0	1	1	0	5	0	48	31	87	58	138	147	18	13
PBANKA_122420	12	889813	892263	+	2451	204	221	6	7	71	29	104	84	212	137	534	433	2319	1953
PBANKA_122430	12	893188	893703	-	516	0	0	0	0	7	3	24	14	42	30	14	14	1	2
PBANKA_122440	12	895524	900695	+	5172	1	1	6	3	28	9	270	182	592	389	269	218	51	15
PBANKA_122450	12	900834	905198	-	4365	11	9	1	3	18	1	140	93	199	145	94	71	11	7
PBANKA_122460	12	905647	907197	-	1551	1	0	5	2	18	12	106	68	108	56	47	40	9	3
PBANKA_122470	12	907827	911286	+	3460	6	13	5	5	49	30	170	119	185	116	77	54	10	6
PBANKA_122480	12	911934	913321	+	1388	2	2	1	4	15	8	55	42	80	54	30	24	13	4
PBANKA_122490	12	914037	915785	+	1749	6	7	0	0	3	1	90	50	659	433	409	286	43	35
PBANKA_122500	12	918565	922262	+	3698	160	241	3	3	19	3	190	141	727	485	598	435	49	45
PBANKA_122510	12	924726	927878	+	3153	73	107	1	0	17	15	64	59	117	66	76	48	23	11
PBANKA_122520	12	928302	929466	+	1165	2	0	3	0	20	14	18	7	11	7	6	5	1	1
PBANKA_122530	12	935479	938538	+	3060	21	14	1	0	1	0	4	4	10	4	6	5	5	3
PBANKA_122540	12	939824	940114	-	291	1078	1213	0	2	0	0	15	13	10	16	248	429	1499	1913
PBANKA_122550	12	942287	943930	-	1644	22	10	1	1	2	0	6	4	7	4	5	5	9	5
PBANKA_122560	12	945943	947405	+	1463	8	2	0	1	0	2	74	76	120	102	23	33	2	7
PBANKA_122570	12	948788	950092	+	1305	166	241	4	4	84	40	188	157	296	241	163	151	22	17
PBANKA_122580	12	950780	951412	-	633	5	0	4	1	78	37	415	364	588	430	230	200	39	33
PBANKA_122590	12	952567	958740	+	6174	188	312	6	9	39	21	378	194	384	257	268	190	100	51
PBANKA_122600	12	959523	961455	+	1933	0	2	4	1	51	18	62	40	76	33	69	50	144	165
PBANKA_122610	12	961813	977918	-	16106	496	726	25	34	427	169	1061	611	1314	785	748	522	227	122
PBANKA_122620	12	979579	981621	-	2043	28	44	0	2	100	30	259	184	287	212	78	71	17	9
PBANKA_122630	12	982640	984760	-	2121	89	96	3	1	32	8	66	47	112	42	78	65	432	399
PBANKA_122640	12	986047	988786	-	2740	49	78	9	7	198	61	332	204	331	177	132	101	515	514
PBANKA_122650	12	991860	992740	+	881	3	7	0	6	181	90	277	290	347	302	146	146	42	24
PBANKA_122660	12	993322	994680	-	1359	3	1	2	0	77	41	176	147	182	103	87	63	16	4
PBANKA_122670	12	996461	999910	-	3450	44	93	0	3	59	13	83	51	82	31	150	106	94	45
PBANKA_122680	12	1001700	1004846	-	3147	2	2	0	0	55	37	221	187	303	215	143	138	25	10
PBANKA_122690	12	1006144	1008051	-	1908	30	26	5	0	65	34	219	183	237	194	204	261	26	26
PBANKA_122700	12	1010457	1012679	+	2223	55	129	0	6	30	10	147	80	172	108	267	213	71	30
PBANKA_122710	12	1014398	1016977	+	2580	54	73	9	5	123	45	159	91	94	50	130	83	1734	1422
PBANKA_122720	12	1017611	1019359	-	1749	331	559	6	0	41	11	132	97	228	106	112	76	31	15
PBANKA_122730	12	1020104	1020631	+	528	149	229	3	0	81	25	91	65	129	71	30	24	10	7
PBANKA_122740	12	1021108	1022809	-	1702	152	184	1	1	32	19	107	69	161	139	69	77	2	7
PBANKA_122750	12	1024612	1026154	-	1543	2	2	0	0	0	2	44	30	80	58	33	42	7	4
PBANKA_122760	12	1026641	1032263	-	5623	185	333	1	2	95	44	228	127	224	140	215	158	81	41
PBANKA_122770	12	1033869	1037696	+	3828	5	2	3	0	19	4	94	68	125	82	111	79	21	15
PBANKA_122780	12	1038076	1040682	-	2607	174	304	11	5	166	61	339	159	356	211	342	265	786	684
PBANKA_122790	12	1041460	1044756	+	3297	41	42	2	4	103	44	126	136	158	68	152	109	945	970
PBANKA_122800	12	1045172	1045834	-	663	19	19	2	2	148	53	359	369	503	392	285	275	32	32
PBANKA_122810	12	1050366	1056494	+	6129	34	110	4	9	82	29	839	495	1655	957	1481	1062	252	149
PBANKA_122820	12	1057150	1060788	-	3639	13	21	0	2	40	10	160	164	168	98	62	56	6	9
PBANKA_122830	12	1062927	1076054	-	13128	2342	3447	51	48	2409	1012	4648	2915	3041	1473	1300	977	339	225
PBANKA_122840	12	1080805	1083249	+	2445	115	90	6	3	83	37	734	376	706	448	310	180	57	43
PBANKA_122850	12	1084066	1088645	-	4580	17	34	7	3	52	18	176	98	252	170	135	91	16	34
PBANKA_122860	12	1091031	1091405	+	375	2	7	1	0	81	39	181	153	194	155	59	69	6	12
PBANKA_122870	12	1092572	1094275	+	1704	46	79	1	3	52	28	80	66	77	44	90	88	601	599
PBANKA_122880	12	1096280	1098619	+	2340	6	1	0	0	4	1	23	22	23	10	212	230	47	25
PBANKA_122890	12	1100216	1101127	+	912	3	0	0	0	1	0	8	20	10	8	7	7	13	1
PBANKA_122900	12	1103822	1107252	+	3431	12	25	15	9	39	20	78	98	86	71	394	337	11732	12275
PBANKA_122910	12	1108826	1109629	+	804	55	56	7	7	42	16	136	89	147	111	33	35	27	13
PBANKA_122920	12	1110410	1111456	-	1047	11	23	62	66	1553	696	1077	982	1094	879	419	351	2197	2875
PBANKA_122930	12	1113198	1114901	-	1704	5	9	1	0	24	9	33	11	30	21	55	25	17	12
PBANKA_122940	12	1116399	1117988	+	1590	2	4	0	0	6	0	15	1	49	14	157	86	39	12
PBANKA_122950	12	1118869	1119996	-	1128	8	14	3	0	37	15	81	57	87	48	61	39	14	12
PBANKA_122960	12	1121179	1124984	+	3806	27	34	5	0	28	9	95	51	148	79	159	89	17	17
PBANKA_122970	12	1125701	1126144	+	444	26	27	2	2	29	10	40	38	50	45	20	29	64	83
PBANKA_122980	12	1126499	1127689	-	1191	19	33	2	0	89	47	339	253	398	306	98	95	19	6
PBANKA_122990	12	1128824	1131119	+	2296	44	74	0	0	17	2	81	41	75	29	21	22	8	4
PBANKA_123000	12	1131541	1133580	-	2040	5	7	4	0	6	2	51	42	88	53	33	33	1	2
PBANKA_123005	12	1134217	1139747	-	5531	2	7	3	10	137	43	268	219	547	337	324	206	62	50
PBANKA_123010	12	1140804	1144383	-	3580	29	32	13	65	207	95	467	259	679	446	405	276	165	82
PBANKA_123020	12	1147915	1150053	+	2139	12	20	0	5	4	2	52	61	217	149	246	150	42	20
PBANKA_123030	12	1150719	1158148	-	7430	36	43	16	2	135	71	323	232	370	262	209	155	124	70
PBANKA_123050	12	1158707	1160019	+	1313	23	28	5	3	106	55	196	198	253	204	122	110	759	1027
PBANKA_123060	12	1160224	1163699	-	3476	1	2	3	1	14	8	77	51	84	67	47	28	70	70
PBANKA_123070	12	1164522	1168676	-	4155	0	1	3	2	27	10	139	106	178	115	108	59	23	8
PBANKA_123080	12	1170421	1171590	+	1170	0	2	1	1	64	21	72	71	59	46	43	30	7	5
PBANKA_123090	12	1172130	1174980	+	2851	0	3	3	2	58	26	78	45	29	28	32	19	3	7
PBANKA_123100	12	1175827	1176550	-	724	115	135	61	82	1967	1118	1615	1660	1238	1009	470	402	2419	2737
PBANKA_123110	12	1178055	1179653	+	1599	1	2	2	3	36	17	77	39	65	31	27	19	58	31
PBANKA_123120	12	1179892	1180827	-	936	1	3	3	2	57	15	160	90	129	81	47	30	17	11
PBANKA_123130	12	1182379	1184437	+	2059	3	2	2	4	20	11	98	123	237	106	81	68	9	8
PBANKA_123140	12	1185092	1189069	-	3978	13	29	15	2	79	24	284	132	302	165	155	131	47	37
PBANKA_123150	12	1190687	1194589	+	3903	0	5	8	7	64	25	370	316	545	314	230	158	32	31
PBANKA_123160	12	1196200	1202196	-	5997	10	14	4	1	40	16	1034	511	1929	1162	1167	798	5010	4427
PBANKA_123170	12	1206605	1207539	-	935	134	198	81	86	2772	1309	1935	1813	1997	1434	939	924	3639	3920
PBANKA_123180	12	1209071	1209860	-	790	94	138	46	42	1053	509	715	688	757	692	264	345	926	1326
PBANKA_123190	12	1211200	1212606	-	1407	3	2	0	0	29	6	37	18	16	15	11	3	6	0
PBANKA_123200	12	1213653	1215566	-	1914	11	1	0	0	0	1	8	13	19	14	12	11	25	21
PBANKA_123210	12	1217253	1218393	-	1141	0	2	1	9	308	180	327	389	317	339	315	435	2452	3343
PBANKA_123220	12	1222103	1225637	+	3535	1	3	4	1	230	135	719	477	850	526	352	193	106	70
PBANKA_123230	12	1226372	1228660	-	2289	3	1	0	0	3	1	17	6	10	6	9	8	4	7
PBANKA_123240	12	1229583	1230503	-	921	25	36	0	0	4	1	15	6	14	6	14	10	9	9
PBANKA_123250	12	1233307	1235457	+	2151	103	176	17	10	762	347	1047	878	961	589	270	209	594	708
PBANKA_123260	12	1235895	1236659	-	765	5	7	1	0	0	1	98	55	139	87	67	50	11	9
PBANKA_123270	12	1237835	1239624	-	1790	17	40	48	5	65	7	178	95	245	136	168	89	211	40
PBANKA_123280	12	1240598	1242282	+	1685	16	26	5	3	37	24	147	142	250	236	139	101	10	7
PBANKA_123290	12	1243229	1246802	+	3574	67	89	6	3	108	17	216	148	185	109	112	81	25	17
PBANKA_123300	12	1247672	1248067	-	396	17	29	0	0	20	4	107	98	241	186	120	118	10	5
PBANKA_123310	12	1249091	1250296	-	1206	1	1	2	5	177	59	342	263	423	301	136	136	16	12
PBANKA_123320	12	1251250	1251906	-	657	3	10	3	0	8	2	8	16	12	7	17	14	6	0
PBANKA_123330	12	1253225	1256041	-	2817	181	203	10	10	171	50	364	319	419	307	192	118	148	157
PBANKA_123340	12	1258876	1262175	+	3300	403	619	4	8	63	16	769	475	688	405	235	207	63	36
PBANKA_123350	12	1264099	1268189	-	4091	991	1637	3	5	2	1	32	27	28	32	52	39	13	11
PBANKA_123360	12	1270252	1271469	-	1218	15	17	0	1	4	0	8	7	4	7	11	9	3	2
PBANKA_123370	12	1272267	1273361	-	1095	1163	1731	1	0	0	0	9	8	5	7	19	13	5	0
PBANKA_123380	12	1275484	1276383	+	900	47	55	4	1	52	21	232	213	168	144	50	83	14	9
PBANKA_123390	12	1277328	1277702	+	375	0	3	1	0	72	36	106	89	104	84	28	37	3	5
PBANKA_123400	12	1278207	1279449	-	1243	516	778	6	19	268	152	658	730	1204	1043	673	735	95	95
PBANKA_123410	12	1281834	1283495	+	1662	12	11	0	0	23	7	69	51	117	75	68	52	12	8
PBANKA_123420	12	1284279	1284782	-	504	21	28	51	44	1488	660	953	914	1152	1009	408	494	2041	2489
PBANKA_123430	12	1286897	1292291	-	5395	4	12	12	12	142	65	366	238	604	296	325	178	183	131
PBANKA_123440	12	1295199	1297088	+	1890	1	3	1	3	56	5	104	80	146	111	60	50	26	5
PBANKA_123450	12	1298845	1301155	+	2311	232	251	6	7	150	62	222	215	662	457	367	326	601	639
PBANKA_123460	12	1302714	1305224	-	2511	232	415	2	4	55	21	154	122	189	118	91	52	39	50
PBANKA_123470	12	1308578	1309918	-	1341	8	13	7	32	44	14	95	40	127	70	86	24	28	40
PBANKA_123480	12	1311384	1312484	+	1101	23	17	57	63	1318	706	843	834	802	715	325	341	1996	2700
