"Geneid" "Chr" "Start" "End" "Strand" "Length" "SRR1571697" "SRR1571698" "SRR1571699" "SRR1571700" "SRR1571701" "SRR1571702" "SRR1571703" "SRR1571704" "SRR1571705" "SRR1571706" "SRR1571707" "SRR1571708" "SRR1571709" "SRR1571710" "SRR1571711" "SRR1571712" "SRR1571713" "SRR1571714" "SRR1571715" "SRR5298122" "SRR5298123" "SRR5298124" "SRR5298125" "SRR5298126" "SRR5298127" "SRR5298128" "SRR5298129" "SRR5298130" "SRR5298131" "SRR5298132" "SRR5298133" "SRR5298134" "SRR5298135"
"PVX_082535" "12" 847581 849689 "-" 2109 15 14 17 5 4 9 10 21 34 14 12 1 4 19 44 22 28 36 4 858 1007 2620 2958 689 746 1676 1972 675 773 627 619 28 45
"PVX_082540" "12" 842967 846180 "-" 3214 75 27 38 11 124 493 406 63 72 13 30 59 124 454 470 370 304 336 41 1109 1303 2410 2657 780 906 1588 1718 887 969 701 807 42 63
"PVX_082545" "12" 841759 842277 "-" 519 33 81 85 30 10 13 15 89 98 55 82 17 7 14 34 85 83 102 13 268 241 616 608 167 192 365 401 196 165 178 176 5 10
"PVX_082550" "12" 839219 841645 "+" 2427 194 202 316 148 83 85 87 316 302 207 298 77 52 59 112 347 312 354 50 943 1020 1375 1528 722 770 866 1038 717 841 689 713 40 66
"PVX_082555" "12" 837761 838447 "-" 687 95 98 134 48 28 30 22 137 119 67 108 33 23 24 41 112 109 149 23 228 274 442 510 198 252 293 330 199 225 161 217 8 8
"PVX_082560" "12" 836499 837683 "+" 1185 90 118 224 100 55 47 38 179 211 142 250 67 28 42 58 223 193 208 40 500 473 971 1010 325 378 585 620 416 404 338 327 8 29
"PVX_082565" "12" 833924 835393 "+" 1470 87 38 61 40 18 17 24 86 56 49 56 14 11 11 28 84 75 77 9 606 574 1384 1543 445 481 939 1008 491 482 413 452 18 27
"PVX_082570" "12" 831322 832065 "-" 744 380 237 318 137 53 80 94 434 357 241 402 67 40 76 114 337 328 359 68 293 347 792 890 192 200 482 588 211 251 213 225 7 14
"PVX_082575" "12" 827063 830683 "+" 3621 1004 853 1140 626 494 421 308 1190 1026 652 1148 311 201 201 336 1341 1312 1428 230 1440 1563 2560 2829 1130 1265 1889 2089 1217 1288 1025 1125 358 78
"PVX_082580" "12" 824137 826459 "-" 2323 247 269 383 137 97 116 159 370 358 240 347 49 38 108 179 446 442 467 81 793 812 1986 2289 546 721 1178 1396 639 760 487 561 22 39
"PVX_082585" "12" 820929 823108 "+" 2180 4 6 30 11 8 12 19 16 8 10 25 7 4 9 28 28 19 23 2 758 840 1826 2020 593 606 1342 1538 629 714 482 520 16 38
"PVX_082590" "12" 813840 818789 "-" 4950 205 285 494 363 147 111 125 432 382 304 686 164 75 105 183 569 571 610 85 1823 1876 4290 4409 1341 1397 2958 3205 1419 1554 1215 1234 36 114
"PVX_082595" "12" 812821 813731 "+" 911 21 32 64 50 80 63 42 97 40 38 144 42 23 39 46 92 94 130 21 131 151 328 489 105 130 206 331 80 155 88 131 15 9
"PVX_082600" "12" 810254 810964 "-" 711 199 151 221 98 31 45 72 342 231 159 254 61 28 57 113 222 230 271 42 280 336 770 925 200 268 482 552 233 278 209 235 6 18
"PVX_082605" "12" 808267 809286 "-" 1020 18 38 73 27 9 20 20 30 36 35 57 9 8 10 18 52 69 51 14 395 440 1228 1399 286 319 865 949 323 344 261 299 17 21
"PVX_082610" "12" 804238 807765 "+" 3528 423 235 239 59 22 44 87 421 430 207 184 31 24 70 202 299 265 313 54 1406 1472 2561 2658 1060 1058 1799 2018 1162 1213 927 1062 40 85
"PVX_082615" "12" 802437 802931 "+" 495 45 35 81 80 73 87 100 118 35 47 117 49 45 68 78 124 150 156 31 201 247 529 730 134 156 389 506 147 158 112 152 4 7
"PVX_082620" "12" 799707 800615 "-" 909 131 53 24 1 2 8 12 137 87 27 16 1 3 8 49 53 60 63 5 297 328 818 1038 204 240 484 585 194 267 167 227 5 14
"PVX_082625" "12" 793837 797804 "-" 3968 98 252 412 142 55 46 50 253 335 243 489 53 35 56 98 320 336 362 49 1567 1669 3054 3369 1206 1290 1892 2019 1202 1325 1042 1114 49 96
"PVX_082630" "12" 791579 792949 "+" 1371 43 8 50 126 70 103 146 76 34 15 205 69 41 112 253 189 185 191 36 686 772 1762 2062 585 678 1224 1368 557 624 449 495 41 50
"PVX_082635" "12" 786715 789744 "+" 3030 68 69 217 153 106 154 416 132 88 99 293 78 66 159 333 352 326 340 50 1191 1315 2336 2360 810 975 1475 1666 911 1057 851 911 119 55
"PVX_082640" "12" 782215 784305 "-" 2091 656 650 592 100 44 35 60 1098 1134 510 497 67 21 73 179 642 635 673 110 813 901 2007 2049 672 621 1304 1405 681 690 567 592 20 50
"PVX_082645" "12" 780142 781275 "+" 1134 1330 699 1127 764 289 226 299 1484 1056 634 1265 276 98 176 352 1195 1131 1202 200 512 529 1225 1408 346 386 850 899 394 417 306 340 14 29
"PVX_082650" "12" 777353 778714 "+" 1362 23 10 23 97 645 746 405 590 33 13 94 298 397 531 450 630 629 631 111 423 497 1225 1462 312 369 616 743 246 282 251 267 7 20
"PVX_082655" "12" 775179 776342 "+" 1164 5 1 14 187 1256 1277 528 1395 15 7 239 802 779 884 675 1231 1151 1176 207 395 479 1226 1383 304 358 714 778 273 292 237 263 5 21
"PVX_082660" "12" 773194 773724 "+" 531 16 62 286 99 68 84 81 38 61 152 446 69 31 62 90 229 198 234 40 203 232 540 638 126 170 411 490 163 171 119 161 9 8
"PVX_082665" "12" 771164 772282 "+" 1119 15 4 11 13 230 491 263 110 27 1 21 66 122 268 214 297 295 299 52 274 314 741 908 201 242 690 764 290 325 226 278 10 19
"PVX_082670" "12" 768998 770233 "+" 1236 355 92 155 151 205 608 1448 378 291 123 339 131 168 578 1475 755 654 730 121 489 527 1423 1595 374 403 1010 1098 401 442 310 326 16 28
"PVX_082675" "12" 766598 767959 "+" 1362 4 3 2 4 67 303 171 42 47 5 8 62 122 383 272 209 206 220 33 262 266 676 809 183 223 537 622 209 272 202 246 27 23
"PVX_082680" "12" 764405 765559 "+" 1155 9 2 16 300 689 523 204 708 7 10 289 448 392 350 282 720 710 708 103 271 347 830 1079 176 270 543 598 197 233 166 210 7 13
"PVX_082685" "12" 762152 763318 "+" 1167 27 2 11 246 916 957 449 451 15 4 39 203 259 369 306 653 633 802 113 165 251 504 767 115 171 577 700 221 311 174 261 7 8
"PVX_082690" "12" 761061 761345 "+" 285 1 2 0 0 2 0 4 2 1 0 0 0 1 3 8 0 7 7 1 117 190 383 499 124 134 243 298 106 125 101 104 3 4
"PVX_082695" "12" 758403 759338 "+" 936 6 5 16 162 410 605 352 432 38 11 169 299 300 529 434 588 550 546 98 415 439 1345 1404 309 337 854 974 335 383 317 298 18 31
"PVX_082700" "12" 755053 756315 "+" 1263 10 5 7 75 647 965 396 254 14 6 48 253 429 619 628 600 592 698 128 549 653 1275 1489 370 490 894 1078 488 523 395 406 16 29
"PVX_082710" "12" 751041 752666 "+" 1626 591 243 324 208 235 593 730 723 653 305 428 190 253 650 902 769 809 824 133 681 800 1432 1581 574 599 1050 1132 572 575 469 510 36 54
"PVX_082715" "12" 744226 746094 "-" 1869 52 10 36 17 36 131 314 53 30 26 35 22 33 121 242 128 140 129 24 711 760 1463 1575 554 549 834 1020 574 595 418 506 13 35
"PVX_082720" "12" 741802 743239 "-" 1438 130 79 104 63 33 36 38 166 103 84 176 42 22 50 72 141 121 157 22 632 637 1707 1878 508 516 1095 1206 477 506 393 431 24 36
"PVX_082725" "12" 736865 741610 "+" 4746 172 233 419 240 110 122 108 315 310 253 440 104 49 79 171 399 388 440 59 1699 1842 2851 3213 1380 1376 1776 1927 1465 1467 1144 1348 84 98
"PVX_082730" "12" 734094 736106 "-" 2013 179 158 273 134 88 74 113 276 206 178 385 72 40 79 138 297 334 369 58 761 845 1699 1925 584 625 1162 1361 641 751 542 647 26 39
"PVX_082735" "12" 731600 733270 "+" 1671 7 6 16 7 4 16 40 17 9 8 13 5 4 31 92 30 33 44 4 741 805 1915 2115 583 554 1386 1552 554 640 488 526 14 31
"PVX_082740" "12" 725005 728373 "-" 3369 210 135 241 124 105 149 218 327 205 129 337 128 76 120 270 354 389 384 61 1395 1591 3977 4646 1141 1361 2691 2939 1162 1257 969 1111 31 84
"PVX_082745" "12" 721831 723278 "-" 1448 401 300 459 353 268 243 299 749 508 296 746 279 163 204 396 720 696 791 124 550 645 1610 1769 408 418 1156 1224 436 461 397 433 14 22
"PVX_082750" "12" 718791 719927 "-" 1137 37 27 35 14 11 69 127 40 34 29 40 13 13 64 130 92 82 84 19 594 739 1461 1743 471 525 956 1108 455 526 375 423 17 45
"PVX_082755" "12" 715613 718630 "+" 3018 160 317 631 408 229 246 347 604 496 438 952 254 136 243 397 803 792 807 144 1056 1236 3056 3656 723 883 2084 2484 788 924 679 802 30 49
"PVX_082760" "12" 714190 715447 "-" 1258 24 41 82 52 23 61 79 57 59 42 117 21 26 59 91 103 116 111 11 538 596 1382 1625 401 408 945 1107 422 479 317 340 13 26
"PVX_082765" "12" 712187 714136 "+" 1950 408 117 125 52 176 412 474 426 297 140 164 124 151 452 590 464 457 495 70 839 997 2240 2549 595 741 1457 1748 664 709 510 600 28 32
"PVX_082770" "12" 707978 709442 "-" 1465 528 388 609 147 66 80 162 748 696 403 528 54 47 109 204 519 580 601 79 697 778 1999 2235 542 599 1355 1486 566 555 492 549 21 123
"PVX_082775" "12" 704803 707758 "+" 2956 173 289 505 394 275 187 190 428 316 253 603 225 103 142 224 678 600 647 99 1092 1217 2331 2554 805 855 1477 1752 859 922 745 749 50 90
"PVX_082780" "12" 700563 703688 "+" 3126 152 246 286 57 26 23 27 182 213 160 129 18 16 24 84 192 186 196 36 1221 1359 2765 3200 897 1021 1944 2213 929 1094 797 847 78 88
"PVX_082785" "12" 698517 699601 "-" 1085 28 47 82 15 5 15 28 30 70 43 34 2 4 12 18 60 38 63 11 437 433 1079 1158 273 296 675 752 285 319 232 274 14 20
"PVX_082790" "12" 693715 697050 "-" 3336 380 378 687 396 125 154 161 677 589 356 780 162 67 128 252 733 662 753 136 1319 1501 2141 2457 1049 1113 1508 1670 1115 1113 859 908 49 70
"PVX_082795" "12" 688515 692678 "-" 4164 543 329 403 153 167 246 373 597 498 257 442 126 70 220 428 550 516 552 85 1664 1703 3500 3970 1247 1326 2345 2704 1236 1332 977 1155 37 111
"PVX_082800" "12" 685613 688070 "-" 2458 255 247 341 80 42 74 123 331 388 232 298 40 27 66 128 337 329 292 52 803 873 2220 2588 620 626 1609 1837 691 717 557 604 38 404
"PVX_082810" "12" 678131 684544 "+" 6414 255 178 758 478 774 1278 1451 480 271 352 1059 449 422 931 1517 1527 1461 1603 238 2345 2454 3612 4009 1719 1877 2455 2720 1916 1977 1486 1637 68 141
"PVX_082815" "12" 669195 671847 "-" 2653 67 25 23 15 206 335 341 180 28 25 48 93 140 271 371 300 261 283 38 1054 1210 2210 2469 872 959 1572 1790 841 973 704 766 205 42
"PVX_082820" "12" 667298 668989 "+" 1692 36 8 15 7 115 726 1064 102 200 25 38 47 157 785 1252 502 551 537 96 835 817 734 820 617 687 511 540 646 631 488 547 30 40
"PVX_082825" "12" 661470 662246 "-" 777 48 57 84 28 11 21 37 105 94 61 141 30 16 35 74 97 108 94 15 259 353 827 966 191 241 528 654 219 281 169 183 9 17
"PVX_082830" "12" 655273 660413 "-" 5141 75 57 219 305 317 216 174 316 87 139 517 232 117 142 170 419 453 515 75 1846 2154 4838 5585 1397 1555 3344 3876 1365 1581 1193 1386 70 109
"PVX_082835" "12" 652253 654292 "-" 2040 330 406 697 509 272 138 144 670 650 427 969 246 110 123 183 810 802 904 129 708 875 1533 1906 541 654 1108 1221 583 703 436 604 23 38
"PVX_082840" "12" 650485 651575 "+" 1091 2140 1265 1477 831 419 324 310 3543 2584 1305 2229 595 281 349 692 1847 1956 1958 301 466 533 1390 1532 330 397 951 1137 391 399 302 355 13 11
"PVX_082845" "12" 645244 648061 "-" 2818 1309 1021 1551 1396 790 419 321 2514 1834 1053 2563 749 364 354 477 2208 2143 2346 362 1061 1213 2504 2832 759 939 1755 1930 832 983 754 854 30 57
"PVX_082850" "12" 642303 645181 "+" 2879 59 20 55 19 29 77 281 64 63 30 45 21 21 112 246 122 108 140 17 939 1011 2384 2459 695 778 1635 1927 728 843 640 689 22 40
"PVX_082855" "12" 639203 641359 "-" 2157 32 163 195 63 39 61 99 139 220 153 184 28 19 57 111 226 215 234 40 866 952 2170 2377 685 758 1428 1565 664 739 604 619 28 32
"PVX_082860" "12" 635382 638908 "+" 3527 54 322 602 215 58 42 65 323 548 381 583 82 31 64 136 452 442 489 73 1219 1361 2223 2644 902 1042 1668 1842 996 1076 813 892 72 61
"PVX_082865" "12" 631656 634002 "+" 2347 382 245 408 479 501 600 1136 715 357 285 770 435 270 602 1261 1159 1131 1163 176 1052 1098 1844 2051 777 847 1264 1388 801 828 751 763 30 66
"PVX_082870" "12" 629967 630664 "-" 698 18 16 21 14 23 37 78 35 19 15 42 15 12 33 74 40 53 50 13 224 232 631 716 155 222 428 485 201 195 138 173 7 19
"PVX_082875" "12" 625920 629798 "+" 3879 491 169 215 118 148 661 1753 256 225 138 245 88 131 505 1226 654 724 687 120 1329 1509 3432 4184 965 1021 2407 2849 1097 1235 904 973 42 58
"PVX_082880" "12" 623512 625356 "+" 1845 6 44 117 67 12 20 17 11 36 73 128 21 7 16 26 94 85 100 11 641 786 1872 2196 533 643 1378 1570 611 623 467 559 15 56
"PVX_082885" "12" 607011 608083 "-" 1073 347 289 636 383 114 221 260 446 479 322 785 131 77 248 312 610 631 692 94 370 384 893 997 287 269 573 693 308 321 256 302 29 21
"PVX_082890" "12" 604305 605111 "+" 807 44 75 137 95 83 105 124 172 160 94 216 80 62 77 135 185 213 228 39 333 380 1089 1164 252 300 740 819 244 308 198 220 13 14
"PVX_082895" "12" 602538 603646 "+" 1109 28 85 133 26 10 8 17 93 137 106 87 8 8 16 35 90 107 99 15 449 534 1406 1656 370 414 925 1118 352 384 319 381 14 24
"PVX_082900" "12" 600625 602235 "-" 1611 28 106 121 26 22 23 52 119 145 91 102 26 18 32 67 133 127 119 22 717 865 1878 2207 551 667 1187 1336 545 598 452 530 33 42
"PVX_082905" "12" 595005 600189 "+" 5185 58 37 93 203 527 409 313 515 91 39 206 293 221 272 330 547 486 564 90 2130 2235 4864 5283 1593 1723 3399 3793 1663 1785 1422 1611 91 118
"PVX_082910" "12" 592721 594245 "+" 1525 86 96 203 130 87 92 175 184 132 138 277 92 62 105 189 267 270 290 32 540 560 1626 1861 411 456 1130 1237 476 478 423 364 19 49
"PVX_082915" "12" 589698 592145 "-" 2448 94 86 138 43 25 89 191 141 118 91 130 17 28 120 253 161 172 224 28 898 1076 1314 1609 701 848 882 1124 755 825 517 732 114 68
"PVX_082920" "12" 584446 588555 "+" 4110 30 8 13 7 9 8 15 33 14 19 22 7 2 16 51 30 24 30 2 1635 1702 1530 1619 1262 1369 1072 1167 1323 1409 1103 1127 57 114
"PVX_082925" "12" 582495 584225 "+" 1731 144 119 214 174 79 56 47 279 199 148 326 110 44 64 95 250 255 300 48 881 1039 1634 1940 775 799 1150 1161 727 738 620 751 198 58
"PVX_082930" "12" 581689 581868 "+" 180 33 20 32 24 9 4 6 53 42 25 72 19 6 12 18 55 47 48 11 87 160 276 417 81 103 158 284 66 129 70 89 3 4
"PVX_082935" "12" 577492 580978 "-" 3487 538 352 509 180 57 73 90 549 544 331 473 84 31 103 225 480 459 487 83 1373 1521 3395 3772 1079 1166 2048 2332 1110 1243 986 1098 51 86
"PVX_082940" "12" 570102 576529 "+" 6428 707 161 237 166 272 786 1924 462 389 215 401 192 229 778 2067 967 984 1068 174 2463 2905 5531 6852 1911 2191 3901 4653 1962 2278 1649 1893 58 123
"PVX_082945" "12" 567402 569102 "+" 1701 282 171 257 122 66 76 137 370 291 197 368 85 39 76 147 306 322 332 65 686 774 1952 2100 535 621 1218 1357 544 589 434 529 25 51
"PVX_082950" "12" 562812 564902 "+" 2091 119 71 180 152 95 193 408 107 59 62 333 103 67 138 261 305 302 296 41 847 901 2477 3149 683 728 1707 2056 666 751 540 643 15 40
"PVX_082955" "12" 560529 560723 "-" 195 27 5 43 16 18 44 51 10 14 20 48 12 9 32 36 46 49 52 4 86 137 306 457 80 97 226 303 74 117 64 99 2 12
"PVX_082960" "12" 553985 555727 "-" 1743 1301 589 658 378 228 833 1156 1641 1260 564 843 224 256 1116 1550 1426 1340 1450 220 692 796 2141 2350 577 611 1538 1720 607 644 482 570 39 22
"PVX_082965" "12" 547310 548809 "+" 1500 1827 878 1200 686 292 264 258 3032 1887 1014 1602 424 222 278 519 1626 1581 1784 252 644 745 1906 2303 491 510 1244 1501 487 598 414 510 11 34
"PVX_082970" "12" 543843 546029 "-" 2187 1461 948 1179 643 402 282 323 2483 1739 926 1465 439 225 304 566 1493 1599 1612 269 1014 1157 2647 2844 774 844 1619 1794 736 818 670 709 30 63
"PVX_082975" "12" 540865 542388 "-" 1524 13 7 6 3 0 6 10 3 2 6 10 1 1 4 19 9 11 15 6 520 579 1407 1678 377 435 964 1076 418 451 299 389 45 25
"PVX_082980" "12" 537060 539432 "-" 2373 135 117 192 104 69 73 88 239 170 115 219 39 32 38 106 214 227 224 32 879 951 2256 2546 689 747 1563 1674 735 801 625 629 37 32
"PVX_082985" "12" 535464 536468 "-" 1005 33 18 27 19 26 95 175 46 40 14 51 19 26 66 148 105 76 107 16 391 391 1055 1217 263 307 776 818 326 344 278 315 9 21
"PVX_082990" "12" 533501 534829 "+" 1329 295 83 86 53 67 197 568 196 148 63 114 33 64 265 644 317 322 317 56 563 610 1446 1604 396 443 1008 1121 476 481 374 397 19 43
"PVX_082995" "12" 530207 531969 "+" 1763 284 150 229 196 163 157 193 469 285 184 446 171 87 132 229 387 402 448 73 623 804 1450 1917 471 585 1111 1351 473 582 422 540 9 38
"PVX_083000" "12" 525866 528048 "+" 2183 3518 2202 2897 1387 415 317 424 5057 4281 2105 3922 743 317 429 853 3033 3058 3297 510 883 905 2466 2663 631 733 1716 1970 626 747 583 719 31 42
"PVX_083005" "12" 519646 522369 "-" 2724 95 167 444 212 120 143 248 137 196 239 633 116 59 120 231 417 450 487 77 1122 1264 2106 2281 767 823 1601 1637 914 1013 629 779 21 65
"PVX_083010" "12" 516356 519119 "+" 2764 112 133 205 37 51 52 60 255 289 165 191 45 29 54 112 228 208 237 32 1050 1263 2999 3628 840 934 1990 2306 828 1043 743 780 29 67
"PVX_083015" "12" 514644 515881 "-" 1238 74 106 158 37 11 14 25 145 139 99 100 18 2 16 39 124 97 108 15 520 599 1486 1710 418 465 1015 1041 394 434 357 352 7 31
"PVX_083020" "12" 512034 515295 "+" 3262 768 516 738 197 78 83 131 1151 945 572 683 83 48 95 247 682 643 716 117 1221 1372 3124 3436 910 1010 2147 2254 931 1035 873 888 55 73
"PVX_083025" "12" 508419 509112 "+" 694 19 6 10 5 8 21 58 12 8 6 12 6 6 29 75 23 33 29 4 242 274 632 851 208 229 441 536 184 205 153 188 6 17
"PVX_083030" "12" 502044 505194 "-" 3151 1112 648 908 412 441 3232 6205 1061 1569 670 1127 364 832 4257 7657 3321 3420 3434 605 1285 1374 3795 3966 1035 1039 2669 2819 1071 1113 835 902 37 82
"PVX_083035" "12" 496672 498997 "-" 2326 276 250 435 167 88 119 219 474 480 298 434 82 45 114 258 468 430 486 80 902 1078 2039 2135 767 750 1437 1445 738 831 691 759 25 45
"PVX_083040" "12" 484914 496300 "+" 11387 799 503 868 218 86 149 310 857 913 521 847 122 84 210 521 873 816 860 144 4226 4353 5553 5988 3070 3286 4012 4432 3357 3573 2918 3187 137 236
"PVX_083045" "12" 478506 481634 "-" 3129 1122 3386 6308 1853 510 282 259 2465 3027 3163 5487 818 313 305 453 3862 3747 4129 641 1397 1557 3952 4479 1139 1226 2689 3040 1057 1200 930 1025 52 109
"PVX_083050" "12" 475884 477158 "+" 1275 96 78 180 224 422 437 367 437 149 108 452 312 219 277 364 567 580 635 98 575 687 1551 1754 499 584 935 1069 471 523 426 477 23 45
"PVX_083055" "12" 468909 471074 "-" 2166 204 112 207 108 148 109 157 312 195 112 265 115 55 93 156 264 294 281 52 926 1009 2410 2536 672 775 1505 1698 686 794 620 639 32 30
"PVX_083060" "12" 464458 467184 "+" 2727 160 245 698 630 443 385 415 436 347 428 1292 409 203 284 539 1043 991 1101 173 1138 1323 2295 2724 883 1014 1602 1727 955 972 786 920 27 89
"PVX_083065" "12" 455754 461363 "-" 5610 401 286 668 443 270 387 757 592 461 323 908 249 143 362 735 926 876 929 156 2281 2431 4148 4655 1709 1885 2696 3086 1755 2048 1459 1703 72 125
"PVX_083070" "12" 452695 455009 "-" 2315 80 184 342 194 66 79 115 217 290 218 485 88 64 93 172 360 342 379 58 894 892 2187 2464 688 807 1552 1738 714 713 560 615 26 35
"PVX_083075" "12" 451375 452985 "+" 1611 4 46 108 22 10 17 19 28 68 36 57 3 7 8 31 67 76 90 13 634 693 1074 1298 511 539 858 941 493 599 419 478 9 29
"PVX_083080" "12" 447729 449867 "+" 2139 196 100 130 208 433 685 418 520 168 136 351 282 241 580 550 639 667 656 104 1058 1149 1244 1412 849 865 847 858 758 921 701 734 24 55
"PVX_083085" "12" 422873 444640 "+" 21768 224 170 326 1229 2053 2017 1470 1863 223 159 1318 1038 942 1213 1636 2275 2279 2437 365 9103 9741 8245 9028 6671 7388 5735 6249 7205 7775 6075 6574 244 480
"PVX_083090" "12" 417792 419726 "-" 1935 171 129 195 105 70 71 61 286 181 123 269 80 36 64 112 268 242 279 35 953 988 2092 2351 654 810 1363 1606 714 734 628 694 20 38
"PVX_083095" "12" 413950 417184 "-" 3235 87 212 327 89 38 94 104 296 348 250 326 80 32 89 153 322 335 351 56 1367 1514 3555 4015 983 1104 2398 2669 1100 1167 958 1017 21 73
"PVX_083100" "12" 409193 412262 "-" 3070 320 93 148 113 253 365 297 407 199 116 281 129 191 287 392 428 441 465 70 1299 1346 2326 2393 1015 1154 1561 1596 1020 1148 887 1003 47 83
"PVX_083105" "12" 403444 406379 "-" 2936 805 653 986 823 519 838 717 1697 1343 764 1598 547 433 909 1237 1653 1727 1842 283 1413 1532 2144 2279 1085 1127 1400 1532 1096 1157 900 966 45 55
"PVX_083110" "12" 396182 401993 "+" 5812 266 290 675 840 1471 3482 2258 1315 510 350 1301 1029 1256 3549 3217 3347 3148 3420 524 2051 2373 2501 2858 1520 1694 1760 2041 1755 1844 1254 1440 62 92
"PVX_083115" "12" 386570 389230 "+" 2661 82 95 142 62 42 136 137 143 132 97 145 47 38 140 214 221 173 205 33 1019 1067 2365 2596 750 823 1736 1873 736 868 626 666 35 42
"PVX_083120" "12" 384049 385387 "+" 1339 16 122 145 59 27 24 19 94 169 127 159 22 14 24 55 155 129 149 17 479 585 1481 1639 358 437 987 1198 414 442 320 343 13 27
"PVX_083125" "12" 382258 383883 "-" 1626 7 32 86 35 10 15 25 23 49 60 113 11 10 35 35 83 75 79 8 625 766 1412 1603 518 495 1042 1104 513 585 404 413 14 25
"PVX_083130" "12" 378276 381764 "+" 3489 219 234 377 266 93 84 99 370 377 305 634 151 54 89 153 451 466 495 82 1528 1627 2278 2411 1229 1301 1517 1719 1313 1401 1115 1198 44 210
"PVX_083135" "12" 375354 377414 "-" 2061 190 83 162 95 33 54 110 229 154 108 213 36 35 68 134 170 187 201 23 916 1072 2407 2797 719 790 1662 1934 736 747 598 675 29 52
"PVX_083140" "12" 369580 372360 "-" 2781 376 283 453 251 248 312 558 496 454 290 611 212 115 254 472 717 639 688 113 1123 1170 2286 2463 831 892 1562 1664 876 986 749 749 33 70
"PVX_083145" "12" 366921 368951 "-" 2031 266 242 352 196 143 212 341 377 324 207 447 147 92 171 348 525 457 494 100 663 701 958 980 492 524 580 662 527 562 438 452 28 23
"PVX_083150" "12" 362224 365710 "-" 3487 337 184 230 93 119 413 998 323 338 190 272 87 124 500 995 571 564 590 97 1394 1600 3812 4181 1086 1243 2608 2992 1108 1263 947 1084 43 100
"PVX_083155" "12" 360595 362360 "+" 1766 361 195 314 87 66 303 529 460 453 254 376 68 105 430 751 550 535 601 96 623 704 1725 2055 417 492 1205 1450 476 554 396 426 12 31
"PVX_083160" "12" 356749 358422 "+" 1674 101 55 80 16 18 17 26 127 103 73 82 10 3 21 72 76 82 80 15 723 901 1650 1799 533 595 1187 1316 590 602 469 551 29 34
"PVX_083165" "12" 354321 355583 "+" 1263 49 64 156 110 122 126 105 179 127 116 286 110 73 91 166 247 262 245 42 528 666 1542 1892 426 519 993 1217 425 503 365 481 21 22
"PVX_083170" "12" 347782 353524 "+" 5743 207 173 577 478 335 515 946 422 323 298 999 300 210 482 1021 927 863 1072 162 2226 2350 3625 4072 1671 1784 2408 2664 1771 1913 1537 1529 167 104
"PVX_083175" "12" 345578 346225 "-" 648 43 84 165 69 20 21 25 110 134 78 239 46 16 25 48 141 142 137 32 308 359 810 900 230 285 567 602 278 261 181 263 12 13
"PVX_083180" "12" 341604 342966 "-" 1363 132 43 61 27 296 760 618 167 61 43 85 142 228 760 807 601 566 589 105 568 654 1551 1681 424 490 1087 1223 436 496 416 407 16 19
"PVX_083185" "12" 339353 341048 "+" 1696 123 173 436 198 77 126 178 228 272 237 641 82 37 102 185 373 385 406 72 739 838 1571 1827 573 593 1094 1268 567 644 452 442 22 33
"PVX_083190" "12" 333447 336850 "-" 3404 483 573 862 196 89 111 161 550 683 553 725 98 49 80 222 663 638 750 121 1341 1514 2784 3212 1015 1187 2075 2197 1071 1185 900 1006 490 56
"PVX_083195" "12" 330941 332695 "+" 1755 56 80 161 119 131 131 156 175 131 105 250 84 63 116 227 307 297 276 42 611 738 1888 2182 403 545 1298 1481 541 569 408 463 19 38
"PVX_083200" "12" 327432 329673 "+" 2242 84 17 23 18 46 130 255 80 37 18 43 24 30 92 241 128 125 114 29 934 998 2591 3000 726 793 1714 1947 698 793 623 665 21 60
"PVX_083205" "12" 322369 323754 "-" 1386 685 445 800 830 584 354 452 1524 751 492 1327 536 265 297 491 1325 1359 1349 205 588 654 1605 1797 436 503 1008 1095 542 542 447 421 21 33
"PVX_083210" "12" 320816 321322 "+" 507 22 20 37 8 4 4 13 48 41 22 24 5 3 10 14 26 22 28 5 216 285 586 698 145 235 408 508 180 243 204 189 8 13
"PVX_083215" "12" 315229 316793 "-" 1565 1017 283 387 131 92 195 308 958 549 285 436 146 92 222 422 588 564 597 77 579 712 1757 2059 441 430 1298 1445 486 547 392 432 23 35
"PVX_083220" "12" 295877 312538 "-" 16662 1367 1437 2730 1510 959 1048 1661 2118 2070 1553 3293 803 555 982 1873 3183 3111 3314 495 6143 6625 6244 7001 4709 5001 4065 4505 5046 5330 4108 4408 338 294
"PVX_083225" "12" 292929 295226 "-" 2298 230 205 350 156 63 58 80 292 329 250 381 69 27 49 127 299 316 344 49 784 918 1531 1640 645 690 1005 1131 646 682 571 593 47 45
"PVX_083230" "12" 292006 292545 "+" 540 10 46 107 38 19 22 37 53 74 72 152 19 13 38 57 91 96 107 22 277 283 630 720 200 243 385 478 204 211 193 202 9 9
"PVX_083235" "12" 288630 290717 "+" 2088 293 59 72 52 145 515 1000 177 157 80 145 86 130 506 1047 481 502 500 74 877 909 1961 2042 621 688 1447 1604 683 681 505 624 23 38
"PVX_083240" "12" 285765 287865 "+" 2101 384 91 122 76 318 1289 2190 268 397 182 245 154 328 903 1453 1082 1006 1109 190 924 1048 2357 2582 715 842 1596 1716 744 811 629 699 32 72
"PVX_083245" "12" 282807 283764 "-" 958 60 61 135 54 62 79 128 114 109 101 193 50 29 70 130 179 199 178 20 349 449 943 1143 254 284 724 812 315 335 262 274 12 21
