Geneid	Chr	Start	End	Strand	Length	SRR10438730	SRR10438731	SRR9041561	SRR9041562	SRR9041563	SRR9041564	SRR9041565	SRR9041566
PBANKA_124020	12	1522458	1523867	+	1410	442	448	801	1453	867	2231	1846	1722
PBANKA_124030	12	1524150	1528385	-	4236	1232	1307	114	217	105	218	127	184
PBANKA_124040	12	1529296	1530477	-	1182	347	400	472	578	300	806	604	607
PBANKA_124050	12	1531277	1532044	+	768	304	281	267	317	154	449	574	390
PBANKA_124060	12	1533422	1534315	+	894	341	316	10558	10800	7362	19305	12108	11888
PBANKA_124070	12	1535545	1537237	+	1693	483	560	5166	5400	3123	7967	10870	7897
PBANKA_124080	12	1537393	1539489	-	2097	572	709	236	748	233	326	436	606
PBANKA_124090	12	1540303	1541367	+	1065	335	362	149	414	114	247	383	417
PBANKA_124100	12	1542460	1544647	-	2188	683	786	1677	3673	1184	2002	2728	3594
PBANKA_124110	12	1546287	1547255	-	969	306	343	5104	6155	3155	7597	6146	6805
PBANKA_124120	12	1548621	1549703	+	1083	304	376	644	1185	513	1245	1140	1150
PBANKA_124130	12	1551219	1554761	+	3543	981	1048	3227	6771	3732	5175	3871	5424
PBANKA_124140	12	1556450	1556875	+	426	163	212	504	535	217	969	681	694
PBANKA_124150	12	1557840	1559828	-	1989	564	592	600	979	609	1359	1004	798
PBANKA_124160	12	1560941	1561684	-	744	230	266	362	683	306	654	728	778
PBANKA_124170	12	1562697	1563703	+	1007	330	360	1975	1899	1047	3191	4103	3061
PBANKA_124180	12	1564154	1567082	-	2929	815	910	6045	11166	5501	6779	8767	12641
PBANKA_124190	12	1568761	1569663	-	903	309	339	1943	2241	1160	2868	3522	3202
PBANKA_124200	12	1571410	1573486	-	2077	623	660	2554	3876	1884	3899	4180	4001
PBANKA_124210	12	1574855	1576762	-	1908	592	670	4828	5196	2962	8860	6951	7065
PBANKA_124220	12	1578606	1579139	+	534	181	239	412	666	427	968	961	866
PBANKA_124230	12	1580675	1582121	+	1447	402	452	6735	9626	5121	8823	12572	11783
PBANKA_124240	12	1582545	1585381	-	2837	743	875	9205	9069	4533	12314	11065	11471
PBANKA_124250	12	1588275	1590173	+	1899	490	617	2229	3895	2058	2966	2747	3754
PBANKA_124260	12	1590573	1590947	-	375	170	172	2384	2451	1617	3947	7130	4459
PBANKA_124270	12	1592053	1595589	-	3537	904	1014	1181	2834	1011	2065	1716	2375
PBANKA_124280	12	1597486	1599241	-	1756	522	596	1653	2159	1065	2417	2358	2253
PBANKA_124290	12	1600059	1601747	-	1689	500	545	444	819	441	851	676	822
PBANKA_124300	12	1604549	1606724	+	2176	604	766	3061	4756	2458	3946	5311	5667
PBANKA_124310	12	1607526	1609429	+	1904	524	586	4590	4694	2395	6254	8524	7035
PBANKA_124320	12	1609625	1609933	-	309	115	133	199	270	202	620	649	370
PBANKA_124330	12	1610697	1611305	-	609	218	245	284	405	180	363	525	418
PBANKA_124340	12	1612686	1614263	-	1578	443	513	990	2062	769	1396	1756	1993
PBANKA_124350	12	1615601	1617349	-	1749	499	594	28311	28330	14808	39637	45587	41805
PBANKA_124360	12	1618357	1620468	-	2112	586	618	665	1101	508	904	918	894
PBANKA_124370	12	1622161	1622914	-	754	237	242	262	433	207	475	655	594
PBANKA_124380	12	1624123	1625165	+	1043	301	351	504	1116	576	1476	1228	1363
PBANKA_124390	12	1627239	1632774	+	5536	1387	1533	7113	14285	8663	9616	8250	11948
PBANKA_124400	12	1633714	1634841	+	1128	394	402	923	1185	531	1458	1945	1578
PBANKA_124410	12	1636367	1639258	-	2892	798	837	327	901	446	865	631	873
PBANKA_124420	12	1641320	1646541	+	5222	1264	1479	3315	7777	4660	5546	3668	5843
PBANKA_124430	12	1648168	1649439	-	1272	395	394	1174	2670	1028	1682	2479	2809
PBANKA_124440	12	1651783	1652043	-	261	117	164	2220	2437	1214	2852	4440	3475
PBANKA_124450	12	1654165	1654982	+	818	241	285	450	769	417	1028	806	629
PBANKA_124460	12	1656446	1658002	-	1557	469	510	938	1398	640	2110	1472	1566
PBANKA_124470	12	1660625	1664697	+	4073	1064	1164	1089	2401	1130	1659	1337	1730
PBANKA_124480	12	1664996	1669615	-	4620	1198	1328	181	331	170	216	153	231
PBANKA_124490	12	1670444	1673964	+	3521	877	1039	1125	1532	722	1612	1989	1990
PBANKA_124500	12	1674062	1675476	-	1415	418	415	1021	1082	619	1604	1644	1391
PBANKA_124510	12	1676407	1679364	+	2958	770	923	1465	3653	1797	3453	2814	2992
PBANKA_124520	12	1680463	1682658	+	2196	653	681	51044	49755	29270	89274	86097	75685
PBANKA_124530	12	1683227	1690837	-	7611	1842	2054	2283	4343	2410	3426	2471	2642
PBANKA_124540	12	1692627	1694627	+	2001	615	610	942	2055	833	1351	1492	1750
PBANKA_124550	12	1695783	1703342	-	7560	2041	2113	1619	2835	2250	3480	1655	1333
PBANKA_124560	12	1704600	1705241	-	642	218	264	281	425	167	353	630	618
PBANKA_124570	12	1705720	1707075	+	1356	484	507	345	1100	524	818	1207	1361
PBANKA_124580	12	1707386	1710604	-	3219	992	1133	785	1014	779	1451	861	950
PBANKA_124590	12	1720912	1722339	-	1428	314	371	1963	2360	1233	2666	2114	2534
PBANKA_124592	12	1725156	1725465	+	310	103	124	11	5	9	9	15	6
PBANKA_124600	12	1731555	1732417	+	863	513	539	1229	1332	879	3108	2029	2023
PBANKA_124610.2	12	1733290	1734731	-	1442	328	366	163	238	223	945	496	313
PBANKA_124610.1	12	1733638	1734731	-	1094	0	0	0	0	0	0	0	0
PBANKA_124620	12	1738558	1739004	+	447	248	274	2249	2601	1529	2835	4261	3962
PBANKA_124630	12	1742356	1743481	+	1126	502	568	912	1264	639	1279	935	1739
PBANKA_124640	12	1746362	1747515	+	1154	559	636	1730	2867	1492	2409	2456	4302
PBANKA_124650	12	1749865	1751057	+	1193	434	482	123	143	55	173	180	236
PBANKA_124660	12	1753263	1754193	+	931	357	367	1160	1628	119	289	2488	2609
PBANKA_124670	12	1757239	1758367	+	1129	938	926	691	1176	509	1129	850	1579
PBANKA_124680	12	1760731	1761882	+	1152	334	341	629	787	289	798	608	1176
PBANKA_124700	12	1768220	1770418	+	2199	579	652	68	249	17	71	238	168
PBANKA_124710	12	1771848	1772757	+	910	709	792	1504	1746	402	528	2524	2403
PBANKA_130010	13	2365	3488	-	1124	389	399	406	962	442	403	525	1188
PBANKA_130020	13	6317	7453	-	1137	376	388	505	469	1166	3817	1229	1276
PBANKA_130030	13	12591	13782	+	1192	125	151	1199	1742	1303	2590	1876	1679
PBANKA_130040	13	18254	19359	-	1106	410	487	31	43	26	27	27	73
PBANKA_130050	13	23765	25267	-	1503	413	488	2222	4668	2363	2745	3430	5451
PBANKA_130060	13	28186	30090	+	1905	527	566	945	1814	829	1360	1338	1659
PBANKA_130070	13	31172	36019	-	4848	1244	1287	23800	54695	25281	28456	39845	37741
PBANKA_130080	13	38136	54496	+	16361	3845	4312	855	1069	681	1250	736	572
PBANKA_130090	13	54956	55639	-	684	245	284	1079	1145	721	1598	1902	1516
PBANKA_130100	13	56653	59469	-	2817	734	791	550	1477	655	1146	1005	1289
PBANKA_130110	13	60113	64357	-	4245	1105	1200	184	550	191	332	291	381
PBANKA_130120	13	64781	65185	-	405	121	160	11	43	5	10	27	32
PBANKA_130130	13	66727	67740	-	1014	328	368	6975	11282	5123	6037	8346	9330
PBANKA_130140	13	70595	71717	-	1123	337	396	2581	4814	2295	6171	6710	6793
PBANKA_130150	13	73346	75861	+	2516	648	737	815	1350	670	1154	839	1206
PBANKA_130160	13	76165	78034	-	1870	527	618	4906	5403	2775	6268	10407	9153
PBANKA_130170	13	79844	81652	+	1809	492	514	1382	2439	1478	2348	1970	2378
PBANKA_130180	13	82022	92644	-	10623	2499	2801	4565	9865	6233	3747	3897	5956
PBANKA_130190	13	93338	95896	-	2559	623	724	973	1889	917	1740	1596	2059
PBANKA_130200	13	97897	111266	+	13370	3196	3436	2171	3317	1787	1639	1962	2455
PBANKA_130210	13	111494	112019	-	526	176	221	222	275	119	189	458	440
PBANKA_130220	13	113035	114651	-	1617	471	530	1912	3210	1334	3305	3501	3634
PBANKA_130230	13	121035	127532	+	6498	1548	1718	2290	2892	1321	3587	2227	2697
PBANKA_130240	13	128359	131172	-	2814	711	757	1278	2790	1212	1914	1823	2329
PBANKA_130250	13	132787	133683	+	897	253	279	343	811	431	755	832	854
PBANKA_130260	13	135131	138622	+	3492	938	989	4743	6021	2693	4329	9266	9432
PBANKA_130270	13	142408	145567	+	3160	770	985	5017	7462	3309	8852	13811	11513
PBANKA_130280	13	147230	147817	+	588	199	232	8938	11234	6497	12390	13875	12386
PBANKA_130290	13	149110	150175	+	1066	288	341	540	657	335	969	1022	729
PBANKA_130300	13	151719	159349	+	7631	1859	1841	217	413	179	401	356	317
PBANKA_130310	13	159775	164101	+	4327	1120	1227	829	1844	666	709	1194	1811
PBANKA_130320	13	165569	170768	+	5200	1294	1361	1062	2850	1329	2038	1413	1950
PBANKA_130330	13	171780	172853	-	1074	311	396	4013	7262	3020	4594	6661	8785
PBANKA_130340	13	177514	180141	+	2628	716	739	752	778	589	1066	561	514
PBANKA_130350	13	181580	182122	-	543	195	195	6618	6457	3593	6598	10850	9187
PBANKA_130360	13	182946	184554	-	1609	478	498	588	1215	577	1279	1278	1477
PBANKA_130370	13	187073	188008	+	936	323	326	793	2171	938	1234	1609	2141
PBANKA_130380	13	190214	191358	+	1145	361	372	5542	6693	3901	5057	7258	8877
PBANKA_130390	13	191991	198569	-	6579	1627	1667	22951	39764	25946	31588	18192	21852
PBANKA_130400	13	200654	203605	-	2952	794	782	2086	5228	2057	2723	3930	5795
PBANKA_130410	13	206127	208435	+	2309	0	0	0	0	0	0	0	0
PBANKA_130420	13	206127	213642	+	7516	1251	1321	616	959	448	1021	639	698
PBANKA_130430	13	213967	217777	-	3811	909	1044	2499	4427	2374	3194	2372	2933
PBANKA_130440	13	220928	222364	+	1437	425	490	3947	6118	2564	2739	5585	7746
PBANKA_130450	13	223493	226938	+	3446	831	975	14185	19627	9851	11175	18749	24726
PBANKA_130460	13	227236	229239	-	2004	517	485	1316	1930	914	1829	1906	2351
PBANKA_130470	13	231096	233049	+	1954	545	625	190	313	180	679	434	290
PBANKA_130480	13	233966	235231	+	1266	430	406	250	363	148	728	663	399
PBANKA_130490	13	235526	237199	-	1674	439	478	243	368	214	634	474	424
PBANKA_130500	13	238653	239345	-	693	257	259	9824	10902	5156	11154	14525	16559
PBANKA_130510	13	242495	243635	+	1141	340	402	3951	6184	2996	6150	9067	8295
PBANKA_130520	13	246180	253320	+	7141	1614	1884	45278	100000	41511	63793	45087	58369
PBANKA_130530	13	255543	257024	+	1482	373	429	4966	6990	3470	3552	6526	9165
PBANKA_130540	13	257528	259533	-	2006	533	584	1300	2193	1025	1885	2712	2841
PBANKA_130550	13	260242	262182	-	1941	482	543	2605	5154	3047	4814	3158	3709
PBANKA_130560	13	264555	265910	+	1356	380	379	808	972	532	1418	1241	1148
PBANKA_130570	13	266590	267623	-	1034	316	320	8159	8826	4837	8960	16138	13582
PBANKA_130580	13	268432	268635	+	204	114	149	412	376	246	654	641	580
PBANKA_130590	13	268955	269651	-	697	210	276	3367	5650	2880	4207	7286	8217
PBANKA_130600	13	270530	271382	-	853	305	276	9606	13786	7471	8956	24972	24768
PBANKA_130610	13	272353	275139	-	2787	758	799	311	912	463	562	525	615
PBANKA_130620	13	276029	277523	-	1495	410	422	2559	3701	1716	2332	4131	4875
PBANKA_130630	13	279713	285712	+	6000	1363	1538	1823	4168	2316	2491	1916	2632
PBANKA_130640	13	286568	289697	-	3130	875	861	848	1037	483	913	1916	1555
PBANKA_130650	13	292273	299389	+	7117	1113	1258	120	107	69	204	128	141
PBANKA_130660	13	300779	307215	+	6437	1501	1684	1702	4655	2808	3637	1883	2900
PBANKA_130670	13	307820	309067	-	1248	364	409	117	242	113	167	196	272
PBANKA_130680	13	310737	319727	+	8991	2110	2336	1402	2141	1234	1568	935	1127
PBANKA_130690	13	320127	324104	-	3978	1016	1137	3528	9417	3869	5661	6021	7236
PBANKA_130700	13	325370	326926	-	1557	383	461	7282	15846	7726	13020	10824	15184
PBANKA_130710	13	328220	330182	+	1963	571	599	1074	2469	1208	1733	1935	2766
PBANKA_130720	13	331129	331753	+	625	225	224	306	389	169	668	946	580
PBANKA_130730	13	332132	334722	-	2591	640	677	265	957	289	690	604	709
PBANKA_130740	13	335884	338232	-	2349	608	602	567	1217	515	850	982	1098
PBANKA_130750	13	339495	344807	-	5313	1401	1462	1560	4327	2013	1951	1677	2765
PBANKA_130760	13	345772	346733	-	962	297	357	1314	2419	1134	1959	2869	2908
PBANKA_130770	13	348308	349462	-	1155	346	369	1865	4464	2399	2826	3526	5559
PBANKA_130780	13	350837	353479	+	2643	697	693	1283	3130	1134	1651	1955	2812
PBANKA_130790	13	354240	355385	+	1146	269	308	1249	1208	750	1116	1470	1702
PBANKA_130800	13	355479	377915	-	22437	4921	5470	9506	14951	11854	8230	6368	8135
PBANKA_130810	13	378447	379629	+	1183	355	395	4542	6868	3815	3505	9707	11800
PBANKA_130820	13	380482	381724	+	1243	367	387	2551	3506	1703	4095	4461	4330
PBANKA_130830	13	382652	384433	+	1782	511	513	340	575	272	558	642	688
PBANKA_130840	13	385238	389811	-	4574	1085	1201	800	2087	1231	1437	928	1471
PBANKA_130850	13	392164	393141	+	978	315	362	835	751	443	962	1364	1023
PBANKA_130860	13	394044	395494	-	1451	454	473	75524	117032	52768	40162	97660	157068
PBANKA_130870	13	397995	398543	+	549	200	248	1506	1707	1029	2437	3145	3058
PBANKA_130880	13	399051	400253	-	1203	322	424	1060	2064	1026	1318	1874	2397
PBANKA_130890	13	401165	404371	-	3207	870	924	1116	1385	675	2035	1477	1663
PBANKA_130900	13	405383	407982	+	2600	699	790	532	606	572	1124	648	557
PBANKA_130910	13	408782	410639	+	1858	526	567	297	540	194	493	585	636
PBANKA_130920	13	411502	413925	-	2424	646	717	1195	2776	1566	2239	1923	2467
PBANKA_130930	13	415162	415614	+	453	183	202	436	884	314	1137	1032	1151
PBANKA_130940	13	418241	420330	+	2090	618	594	3768	6884	3238	4863	5545	7640
PBANKA_130950	13	421345	422847	-	1503	408	478	1482	2076	1091	2375	2875	2431
PBANKA_130960	13	424191	428075	-	3885	1028	1079	138	278	95	327	155	208
PBANKA_130970	13	430920	433887	+	2968	858	879	3300	5928	2739	4380	5683	6415
PBANKA_130980	13	435895	437855	-	1961	551	655	1974	3249	1951	3120	2978	3119
PBANKA_130990	13	439201	441108	-	1908	555	623	1904	4285	1870	4294	4206	4500
PBANKA_131000	13	443135	446734	+	3600	934	992	1418	2604	1426	3065	1235	1721
PBANKA_131010	13	447108	448301	-	1194	376	387	120	225	130	335	279	256
PBANKA_131020	13	450772	454485	+	3714	914	1017	366	2338	470	310	477	896
PBANKA_131030	13	455490	459677	+	4188	1009	1099	1340	3331	2335	2801	1596	1844
PBANKA_131040	13	460720	461466	-	747	242	311	3185	5894	2860	4914	8002	8979
PBANKA_131050	13	463141	465061	-	1921	551	631	15357	17667	9772	20603	20923	22921
PBANKA_131060	13	466422	467292	+	871	265	298	3257	3766	1838	4130	4980	5352
PBANKA_131070	13	467763	469788	-	2026	587	642	7739	14197	7071	14728	12737	15787
PBANKA_131080	13	471616	473013	+	1398	512	466	7323	7844	4351	9467	11875	10605
PBANKA_131090	13	473624	474270	-	647	232	264	1136	1489	850	2135	2761	2282
PBANKA_131100	13	474953	476447	+	1495	391	481	1637	2407	1507	2666	2758	2771
PBANKA_131110	13	477443	478055	+	613	226	268	424	611	307	745	1145	1124
PBANKA_131120	13	478425	479801	-	1377	395	456	1487	1600	818	2661	2802	2631
PBANKA_131130	13	481495	482148	+	654	256	238	3594	3592	2044	6021	7246	5531
PBANKA_131140	13	482553	483300	-	748	270	318	11317	10056	7907	23049	25176	17788
PBANKA_131150	13	484604	485629	-	1026	372	394	329	591	326	440	445	510
PBANKA_131160	13	487282	492549	+	5268	1384	1658	2027	4454	2458	3207	2125	2723
PBANKA_131170	13	493913	496759	-	2847	683	833	334	1351	516	669	753	1122
PBANKA_131180	13	499000	502644	-	3645	927	1062	567	1290	653	1010	812	1012
PBANKA_131190	13	504739	505212	+	474	198	228	222	349	156	389	510	455
PBANKA_131200	13	505587	510747	-	5161	1346	1494	3510	6715	2993	3327	5288	7772
PBANKA_131210	13	511685	515497	-	3813	1037	1110	1702	4072	2437	2653	2560	2888
PBANKA_131220	13	518229	520897	-	2669	716	771	2790	5601	2365	5429	3276	4480
PBANKA_131230	13	521806	522480	-	675	228	263	1000	1754	904	2133	1937	1993
PBANKA_131240	13	523687	524559	+	873	224	230	493	891	414	698	1116	1097
PBANKA_131250	13	524618	525693	-	1076	327	341	1077	1934	1010	2385	3119	2871
PBANKA_131260	13	526566	527033	-	468	157	190	1071	1699	740	2163	3165	2542
PBANKA_131270	13	528256	529360	-	1105	354	422	13837	20207	11840	15650	43219	31069
PBANKA_131280	13	531695	535273	+	3579	964	1060	7021	14335	7065	9462	10159	14377
PBANKA_131290	13	536814	537566	+	753	256	266	17482	18322	10236	24482	35236	28868
PBANKA_131300	13	539608	541919	+	2312	602	731	959	1463	723	1496	1288	1203
PBANKA_131310	13	542907	546655	-	3749	918	1026	10849	19436	10815	19617	10171	13678
PBANKA_131320	13	551891	553860	+	1970	572	589	9539	20864	11065	20567	8857	13166
PBANKA_131330	13	555543	557000	-	1458	433	496	1922	3465	1597	3143	4179	4041
PBANKA_131340	13	558338	561601	-	3264	953	957	717	2232	1004	1185	1132	1609
PBANKA_131350	13	562610	563059	+	450	189	184	756	1081	569	979	1476	1579
PBANKA_131360	13	563674	564687	-	1014	341	364	697	1400	619	1103	1492	1671
PBANKA_131370	13	566631	568906	+	2276	646	712	2367	5039	2449	5052	4886	5416
PBANKA_131380	13	570119	571621	-	1503	448	513	1430	3168	1378	2971	2397	3117
PBANKA_131390	13	573427	574088	+	662	206	242	116	400	85	114	280	421
PBANKA_131400	13	574204	576486	+	2283	584	624	746	1237	460	872	919	1111
PBANKA_131410	13	577288	582362	-	5075	1234	1356	825	1993	1085	1697	847	1319
PBANKA_131420	13	584413	589440	-	5028	1290	1461	963	1973	832	1386	1596	1919
PBANKA_131430	13	590627	592222	-	1596	374	449	5814	6894	3174	7079	9051	8862
PBANKA_131440	13	593196	595526	+	2331	540	600	4129	6479	3606	5486	4214	5693
PBANKA_131450	13	596139	597452	-	1314	381	429	776	1075	506	942	1327	1166
PBANKA_131460	13	598393	599953	+	1561	422	469	213	372	175	396	331	342
PBANKA_131470	13	600397	602793	-	2397	623	567	1327	2785	1633	2016	1961	2350
PBANKA_131480	13	605922	608420	+	2499	707	744	5903	10339	3944	5660	10204	10345
PBANKA_131490	13	609600	613712	-	4113	994	1102	11214	21389	10704	15344	9109	13147
PBANKA_131500	13	617616	619813	+	2198	663	624	2210	2534	1391	2769	2197	3302
PBANKA_131510	13	621219	624704	+	3486	864	952	478	1296	537	855	797	840
PBANKA_131520	13	625427	625873	-	447	146	191	301	458	256	703	896	611
PBANKA_131530	13	626663	629538	-	2876	728	811	76721	144788	60566	91866	95368	117156
PBANKA_131540	13	630324	631711	-	1388	389	403	2629	3140	1591	3324	4616	4927
PBANKA_131550	13	635369	638454	+	3086	813	831	1425	3765	1611	2601	3035	3134
PBANKA_131560	13	639652	642609	-	2958	751	790	808	1321	779	1564	1057	1116
PBANKA_131570	13	645082	651327	+	6246	1384	1489	2177	3472	2024	5539	2284	2803
PBANKA_131580	13	652189	653208	+	1020	296	384	87	277	108	249	334	359
PBANKA_131590	13	653977	655554	+	1578	443	477	1117	1591	698	1227	1286	1597
PBANKA_131600	13	656038	657099	-	1062	335	352	235	694	340	606	540	516
PBANKA_131610	13	658633	660912	+	2280	562	576	13429	27612	11213	20590	16273	23171
PBANKA_131620	13	661676	663315	-	1640	483	551	1293	1711	787	1724	2335	2240
PBANKA_131630	13	665804	676331	+	10528	2515	2792	1723	2551	1397	2459	1697	1754
PBANKA_131640	13	677044	679038	+	1995	533	558	3197	4446	1978	3600	6315	7110
PBANKA_131650	13	679728	680948	+	1221	327	378	3850	7641	3535	3262	7970	11093
PBANKA_131660	13	681276	681959	-	684	227	231	743	1631	853	1147	1780	2278
PBANKA_131670	13	682547	685009	-	2463	686	737	82	211	37	186	229	143
PBANKA_131680	13	685859	687940	-	2082	566	601	1722	3437	1582	2090	3437	4121
PBANKA_131690	13	688837	695738	+	6902	1682	1847	1368	2183	1062	1841	1822	2034
PBANKA_131700	13	696532	696762	+	231	123	132	6	51	11	9	31	63
PBANKA_131710	13	697200	702917	+	5718	1382	1469	739	1723	872	1409	927	1061
PBANKA_131720	13	703538	707450	-	3913	997	996	52350	111555	44139	68726	63124	80934
PBANKA_131730	13	708457	713587	-	5131	1305	1456	1127	2430	962	2425	2640	2628
PBANKA_131740	13	715562	716928	+	1367	394	493	3867	7184	3865	6326	7326	8431
PBANKA_131750	13	717636	720488	-	2853	784	768	2150	5462	2265	3535	3468	4916
PBANKA_131760	13	722125	724617	+	2493	620	704	806	1500	697	1274	996	1289
PBANKA_131770	13	725462	726952	+	1491	399	484	468	590	353	768	795	637
PBANKA_131780	13	727504	728059	+	556	208	225	797	773	436	1743	1769	1349
PBANKA_131790	13	728534	732640	-	4107	1030	1199	949	2499	1199	1539	1351	1910
PBANKA_131800	13	734671	737559	+	2889	700	831	216	673	263	527	337	558
PBANKA_131810	13	739330	741660	+	2331	649	734	3068	6554	2474	3605	4345	5806
PBANKA_131820	13	742936	743421	+	486	179	208	5086	7042	3749	5455	10485	10819
PBANKA_131830	13	744317	745018	-	702	217	246	291	401	223	669	631	557
PBANKA_131840	13	746248	747666	+	1419	381	411	579	1364	494	1508	1405	1566
PBANKA_131850	13	748836	749354	+	519	192	203	57538	50488	24992	58247	68733	68847
PBANKA_131860	13	750343	750804	-	462	161	247	139633	114969	62688	142960	144932	152146
PBANKA_131870	13	752056	754631	-	2576	751	752	2788	4757	2169	3948	5605	7557
PBANKA_131880	13	756045	756900	-	856	232	292	19281	13714	7689	23758	23546	21121
PBANKA_131890	13	759162	760564	+	1403	398	458	4394	4775	2241	3883	7434	8552
PBANKA_131900	13	763130	765238	+	2109	539	609	10656	14340	8288	12733	6404	9176
PBANKA_131910	13	766022	767081	-	1060	301	345	2955	5557	2705	3751	6095	6779
PBANKA_131920	13	769462	773143	+	3682	873	1054	2330	3710	1622	3004	2973	3165
PBANKA_131930	13	773747	779440	-	5694	1276	1441	293	464	425	909	367	343
PBANKA_131940	13	781416	784520	-	3105	786	939	1009	2150	1149	1061	1181	1443
PBANKA_131950	13	787415	792565	+	5151	1239	1431	101717	179826	74452	106903	94541	117359
PBANKA_131960	13	793043	795019	-	1977	542	620	479	885	352	671	1184	1259
PBANKA_131970	13	797774	800144	+	2371	614	675	2447	4434	2476	2781	2893	4043
PBANKA_131980	13	800729	802183	-	1455	413	500	478	594	304	927	743	760
PBANKA_131990	13	802987	805683	+	2697	675	707	105	215	100	206	152	198
PBANKA_132000	13	805990	807294	-	1305	361	425	125	148	98	325	251	202
PBANKA_132010	13	808374	811074	-	2701	689	784	9199	17631	7661	9696	10882	17783
PBANKA_132020	13	813161	819988	+	6828	1563	1740	10791	14951	10089	11197	7943	9101
PBANKA_132030	13	820470	821315	-	846	254	278	268	320	179	417	473	393
PBANKA_132040	13	822564	824648	-	2085	561	628	1703	3295	1664	2403	2119	2846
PBANKA_132050	13	828242	830392	-	2151	616	693	1781	2788	1316	3417	1680	2289
PBANKA_132060	13	832427	833481	+	1055	370	354	609	862	432	1094	1361	1323
PBANKA_132070	13	834511	837182	-	2672	736	832	10609	17771	7889	15989	23310	22447
PBANKA_132080	13	838837	841302	+	2466	718	694	131598	170938	72519	141242	125112	155067
PBANKA_132090	13	841960	842480	-	521	176	190	9823	10210	5861	10827	22874	17435
PBANKA_132100	13	844063	845838	-	1776	481	568	1701	3385	1548	2060	2987	3212
PBANKA_132110	13	847917	856853	+	8937	2127	2349	995	2107	1104	1387	1405	1884
PBANKA_132120	13	857491	858783	-	1293	366	363	1992	4530	1949	3109	4191	5156
PBANKA_132130	13	860199	861982	+	1784	508	533	1360	3054	1433	1974	2843	3437
PBANKA_132140	13	863381	867628	+	4248	1034	1172	927	1530	1177	1822	1069	1072
PBANKA_132150	13	868003	869478	-	1476	428	460	2752	5470	2410	1781	2591	5118
PBANKA_132160	13	871419	881444	+	10026	2434	2665	2315	5190	3260	2577	1512	2483
PBANKA_132170	13	883099	884658	+	1560	451	438	2031	4777	1860	3469	4068	4831
PBANKA_132180	13	885952	886128	+	177	98	110	149	324	121	232	455	482
PBANKA_132190	13	886447	886982	+	536	140	167	780	830	397	972	1269	977
PBANKA_132200	13	887162	891814	-	4653	1213	1280	1840	4111	1612	2768	2608	3088
PBANKA_132210	13	892780	893730	-	951	284	385	367	1028	397	687	955	1201
PBANKA_132220	13	895134	899473	+	4340	979	1149	2561	7091	4005	4028	3419	6244
PBANKA_132230	13	900533	904396	+	3864	971	1049	1234	1579	1025	1686	1311	1484
PBANKA_132240	13	904951	906009	-	1059	316	338	2921	6471	2625	2948	4937	7961
PBANKA_132250	13	907663	909882	-	2220	643	646	344	619	344	751	487	477
PBANKA_132260	13	911235	912242	+	1008	312	344	641	1146	568	1489	1952	1580
PBANKA_132270	13	914028	916064	+	2037	560	623	1353	2276	1140	2998	1745	2029
PBANKA_132280	13	917157	919679	+	2523	653	761	1335	2949	1302	1902	2111	2509
PBANKA_132290	13	920620	921219	+	600	230	212	1335	2408	1371	1454	2069	2322
PBANKA_132300	13	922133	923152	-	1020	306	340	256	444	252	644	645	634
PBANKA_132310	13	924711	927581	+	2871	780	860	357	991	428	803	669	894
PBANKA_132320	13	929319	931847	+	2529	675	718	926	2344	855	1083	1382	1900
PBANKA_132330	13	932294	933826	-	1533	412	479	2497	2639	1658	4655	5631	4147
PBANKA_132340	13	934686	935910	-	1225	332	408	4106	7002	3507	6394	9458	9219
PBANKA_132350	13	937205	937786	-	582	177	230	358	531	308	755	694	643
PBANKA_132360	13	939007	939906	+	900	289	321	289	828	435	487	729	874
PBANKA_132370	13	941011	941970	+	960	249	291	481	812	517	920	1249	1219
PBANKA_132380	13	943058	944920	+	1863	489	571	20382	39788	13805	26868	24528	36753
PBANKA_132390	13	945174	946055	-	882	281	237	6562	7737	5177	11780	7017	7319
PBANKA_132400	13	947265	947979	-	715	259	296	2708	2936	1768	4905	7711	4904
PBANKA_132410	13	948823	950418	+	1596	470	513	2146	1656	1037	3234	2918	2451
PBANKA_132420	13	953261	957193	+	3933	1023	1111	479	581	402	958	593	521
PBANKA_132430	13	958619	959071	+	453	199	224	329	536	338	807	783	736
PBANKA_132440	13	960103	961256	-	1154	360	377	5519	5748	3782	10371	15213	10022
PBANKA_132450	13	962488	964290	-	1803	479	562	27	77	29	127	82	65
PBANKA_132460	13	965045	966429	+	1385	420	442	217	346	154	441	550	451
PBANKA_132470	13	967117	969023	+	1907	513	592	970	1244	608	1519	2193	1770
PBANKA_132480	13	971367	973468	+	2102	525	540	1511	2812	1293	1940	2312	2726
PBANKA_132490	13	974631	975182	+	552	250	217	1809	2677	1337	2203	4300	4229
PBANKA_132500	13	976801	977004	+	204	126	143	7625	7716	5137	9576	16246	12446
PBANKA_132510	13	977728	979215	-	1488	425	512	2934	4010	1884	4515	6288	5522
PBANKA_132520	13	980123	981410	-	1288	358	414	8498	7533	4757	10154	16934	12318
PBANKA_132530	13	982118	984464	-	2347	596	677	1868	4311	1772	2226	3482	4756
PBANKA_132540	13	985249	986296	-	1048	372	349	12601	13165	8048	22108	25997	21427
PBANKA_132550	13	987370	991824	+	4455	1087	1261	3566	8477	4047	4537	3870	5701
